t	Sg
0	0
0.001	0
0.002	0.184263546384712
0.0031	0.184263546384712
0.0041	1.17264602856701
0.005	1.88592538927222
0.006	3.24057603884366
0.00700000000000001	5.58131940872851
0.00800000000000001	7.34006145189227
0.009	10.1157114046607
0.0091	9.9129658831612
0.0101	12.83208000492
0.0111	15.3720502506866
0.0121	18.0605506184943
0.0131	20.6148049418845
0.0141	23.5685314414623
0.0151	26.1646805106959
0.0161	29.1458784674762
0.0171	31.8450029378823
0.0180999999999999	34.7346090311496
0.0190999999999999	37.9730246718172
0.0200999999999999	40.7710314665735
0.0210999999999999	43.996674121634
0.0220999999999999	47.3707869650027
0.0230999999999999	50.9614697655341
0.0240999999999999	55.1411558368569
0.0250999999999999	59.2742052983174
0.0260999999999999	64.0673441395743
0.0270999999999999	69.5307258576759
0.0280999999999999	76.1384855519033
0.0290999999999999	83.5968692592176
0.0300999999999999	92.2532506750463
0.0310999999999999	103.045224050729
0.0320999999999999	116.49332304115
0.0330999999999999	133.416935855029
0.0341	155.381540078771
0.0351	183.953121281771
0.036	217.498161343732
0.037	262.169103847223
0.0380000000000001	308.178004403093
0.0390000000000001	350.800287448659
0.0400000000000001	395.304400665008
0.0410000000000001	439.299438294172
0.0420000000000002	482.565913329398
0.0430000000000002	525.227134175369
0.0440000000000002	567.12703586614
0.0450000000000003	608.051410258985
0.0460000000000003	648.325368916291
0.0470000000000003	687.769694738423
0.0480000000000003	720.88590934485
0.0490000000000004	758.316485880918
0.0500000000000004	795.193586659604
0.0510000000000004	831.331913952938
0.0520000000000005	860.742872558891
0.0530000000000005	895.08740048048
0.0540000000000005	929.00960270878
0.0550000000000005	955.993528417616
0.0560000000000006	988.515955896109
0.0570000000000006	1015.20025966346
0.0580000000000006	1033.44440447087
0.0590000000000007	1063.22282797991
0.0600000000000007	1092.70511216745
0.0610000000000007	1121.6193447795
0.0620000000000007	1145.84472166723
0.0630000000000008	1174.24844286947
0.0640000000000008	1202.30871947365
0.0650000000000008	1229.74414492654
0.0660000000000009	1257.09925574565
0.0670000000000009	1284.10159209138
0.0680000000000009	1310.75998930285
0.0690000000000009	1336.64318805037
0.070000000000001	1357.60198161982
0.071000000000001	1383.1463886126
0.072000000000001	1408.37291922955
0.0730000000000011	1433.29110995529
0.0740000000000011	1445.00780185335
0.0750000000000011	1469.14306689765
0.0760000000000012	1492.70416148364
0.0770000000000012	1516.29896615518
0.0780000000000012	1534.31541130021
0.0790000000000012	1551.65010800205
0.0800000000000013	1566.27573373429
0.0810000000000013	1588.60405701908
0.0820000000000013	1604.95968132136
0.0830000000000014	1626.76115984406
0.0840000000000014	1648.34098844864
0.0850000000000014	1655.50926423811
0.0860000000000014	1675.72131452143
0.0870000000000015	1695.85948886351
0.0880000000000015	1715.58229037474
0.0890000000000015	1735.52544595533
0.0900000000000016	1749.68099476891
0.0910000000000016	1762.63402036678
0.0920000000000016	1773.1481345152
0.0930000000000016	1786.33160453624
0.0940000000000017	1794.68138204708
0.0950000000000017	1812.90158204598
0.0960000000000017	1831.08495347978
0.0970000000000018	1848.87946376554
0.0980000000000018	1861.1029741597
0.0990000000000018	1878.69840698785
0.100000000000002	1890.65565874022
0.101000000000002	1902.45517308511
0.102000000000002	1919.66838892655
0.103000000000002	1937.13014486958
0.104000000000002	1944.83948053427
0.105000000000002	1955.37327029072
0.106000000000002	1960.96566227192
0.107000000000002	1976.71364896016
0.108000000000002	1992.81296563433
0.109000000000002	2008.54186121344
0.110000000000002	2024.59693821518
0.111000000000002	2040.25421820221
0.112000000000002	2050.06850572876
0.113000000000002	2059.39572818191
0.114000000000002	2075.13070271117
0.115000000000002	2083.54426029972
0.116000000000002	2098.66803915835
0.117000000000002	2104.16294595458
0.118000000000002	2114.34753245964
0.119000000000002	2128.68789391045
0.120000000000002	2137.10156828159
0.121000000000002	2145.08175462486
0.122000000000002	2148.14603981752
0.123000000000002	2161.98281502903
0.124000000000003	2176.17291553847
0.125000000000003	2182.75408181822
0.126000000000002	2183.89084581857
0.127000000000002	2192.31546771215
0.128000000000002	2205.34583397365
0.129000000000002	2218.76553326559
0.130000000000002	2232.19173615047
0.131000000000002	2245.52023025388
0.132000000000002	2248.90540393817
0.133000000000002	2261.8475684475
0.134000000000002	2275.13616786978
0.135000000000001	2277.50319837589
0.136000000000001	2283.75449785375
0.137000000000001	2291.03000402156
0.138000000000001	2303.15549534348
0.139000000000001	2315.59002232721
0.140000000000001	2327.65584409015
0.141000000000001	2339.72227270934
0.142000000000001	2352.16315868352
0.143000000000001	2359.94596032596
0.144	2371.94981690594
0.145	2384.30732185566
0.146	2396.23870675682
0.147	2408.51795163209
0.148	2413.71481743536
0.1491	2427.07775348803
0.1501	2426.95058471542
0.1511	2438.28802685486
0.1521	2449.60867258458
0.153099999999999	2461.29777561364
0.154099999999999	2472.5641280843
0.155099999999999	2476.21702162715
0.156099999999999	2487.12111973414
0.157099999999999	2498.41580518681
0.158099999999999	2509.30134914629
0.159099999999999	2520.16685920837
0.160099999999999	2531.40641130497
0.161099999999999	2534.67556016621
0.162099999999998	2545.56211948988
0.163099999999998	2548.28929337294
0.164099999999998	2550.79931925818
0.165099999999998	2553.11573112216
0.166099999999998	2562.85712890841
0.167099999999998	2573.05874346001
0.168099999999998	2583.00527650278
0.169099999999998	2592.98655968408
0.170099999999998	2595.12392863207
0.171099999999997	2605.18688529021
0.172099999999997	2614.88449649835
0.173099999999997	2624.40692937021
0.174099999999997	2634.55563545351
0.175099999999997	2638.95798487671
0.176099999999997	2648.46537401049
