t	dT
0	0	0
0.000222653588022716	0.00202247191011563	0.00201999629949444
0.000456439855446567	0.00414606731139807	0.00414999857173469
0.000667960764068147	0.00606741528817151	0.00606999788078817
0.000890614352090863	0.00808988657565627	0.00809000316258747
0.00112440061951471	0.0102134811089001	0.0102320030975736
0.00134705420753743	0.0122359517600886	0.0122075962829117
0.00156970779556014	0.014258422052116	0.0142570779556014
0.00179236138358286	0.0162808919461502	0.0163036138358286
0.00201501497160557	0.0183033613991432	0.0182750748580278
0.00223766855962828	0.020325830364499	0.0203043541559111
0.002460322147651	0.0223482987926524	0.02235322147651
0.00268297573567371	0.0243707666315632	0.0243997573567371
0.00290562932369643	0.0263932338271317	0.0263681466184821
0.00312828291171914	0.0284157003235235	0.0284011120289105
0.00335093649974185	0.0304381660633972	0.0304493649974185
0.00357359008776457	0.0324606309881311	0.0324959008776457
0.00379624367578729	0.0344830950379873	0.0344424367578729
0.00400776458440888	0.0364044350196559	0.0363776458440888
0.0042304181724316	0.0384268971878826	0.038434181724316
0.00445307176045432	0.0404493582994092	0.0404807176045432
0.00467572534847705	0.0424718182909647	0.0424486267423852
0.00489837893649977	0.0444942770985369	0.0444737893649977
0.00512103252452249	0.046516734657406	0.0465303252452249
0.00534368611254521	0.0485391909021907	0.0485768611254521
0.00556633970056793	0.0505616457668607	0.0505233970056793
0.00578899328859065	0.0525840991847596	0.0525699328859065
0.00601164687661338	0.0546065510886104	0.0546264687661338
0.0062343004646361	0.0566290014105562	0.0566515023231805
0.00645695405265882	0.0586514500821676	0.0586195405265882
0.00667960764068154	0.0606738970344329	0.0606660764068154
0.00690226122870426	0.0626963421977962	0.0627226122870427
0.00712491481672699	0.0647187855021498	0.0647445740836349
0.00734756840474971	0.0667412268768366	0.0667156840474971
0.00757022199277243	0.0687636662506837	0.0687624419204967
0.00779287558079515	0.0707861053327618	0.0708187558079515
0.00801552916881788	0.072808362888123	0.0727876458440894
0.0082381827568406	0.0748305903946786	0.0748118275684059
0.00846083634486332	0.076852785823402	0.0768583634486332
0.00868348993288604	0.0788749468891469	0.0789148993288604
0.00890614352090876	0.0808970710470987	0.0808614352090876
0.00912879710893148	0.0829191554829153	0.0829079710893148
0.00935145069695421	0.0849411970979586	0.0849545069695421
0.00957410428497693	0.0869631924904527	0.0869905214248846
0.00979675787299965	0.0889851379330941	0.0889575787299965
0.0100194114610224	0.0910070293472309	0.0910041146102237
0.0102420650490451	0.0930288622737305	0.0930506504904509
0.0104647186370678	0.0950506318403456	0.0950835931853391
0.0106873722250905	0.0970723327255308	0.0970537222509054
0.0109100258131133	0.0990939591183556	0.0991002581311326
0.011132679401136	0.101115504674405	0.10114679401136
0.0113553329891587	0.10313696246713	0.103116664945793
0.0115779865771814	0.105158324934523	0.105149865771814
0.0118006401652041	0.107179583820533	0.107196401652041
0.0120232937532269	0.109200730110871	0.109242937532269
0.0122459473412496	0.111221753962679	0.111209736706248
0.0124686009292723	0.11324264462703	0.113236009292723
0.012691254517295	0.115263390363256	0.11529254517295
0.0129139081053178	0.117283978114912	0.117319540526589
0.0131365616933405	0.119304392012673	0.119285616933405
0.0133592152813632	0.121324616404278	0.121332152813632
0.0135818688693859	0.123344636377616	0.123378688693859
0.0138045224574086	0.125364430427351	0.125404873515748
0.0140271760454314	0.127383974600462	0.127378936499745
0.014249829633454	0.129403242285994	0.12942829633454
0.0144724832214767	0.131422203927667	0.131474832214767
0.0146951368094994	0.133440826707459	0.133445684047497
0.0149177903975221	0.135459074197728	0.135467903975221
0.0151404439855448	0.137476905978977	0.137514439855448
0.0153630975735675	0.139494277220094	0.139560975735675
0.0155857511615902	0.141511138121466	0.141528755807951
0.0158084047496129	0.143527509391152	0.143554047496129
0.0160310583376356	0.145543469693156	0.145600583376356
0.0162537119256583	0.147558791263144	0.147647119256583
0.016476365513681	0.149573395527093	0.149583655136809
0.0167101517811048	0.151687863527902	0.151741517811048
0.0169328053691275	0.153700718267989	0.153788053691275
0.0171554589571502	0.15571256464334	0.155747294785751
0.0173781125451728	0.15772328697143	0.157771125451729
0.0176007661331955	0.159732757489495	0.159807661331955
0.0178234197212182	0.161740828022336	0.161844197212182
0.0180460733092409	0.163747344167331	0.163808403200825
0.0182687268972636	0.165752140160812	0.1658259958699
0.0184913804852863	0.167755082638256	0.167853804852863
0.018714034073309	0.169756071169175	0.169870170366545
0.0189366876613317	0.171754747557349	0.171823564274649
0.0191593412493544	0.173750863835491	0.173853412493544
0.0193819948373771	0.175744152346519	0.175879948373771
0.0196046484253998	0.177734319327356	0.177883242126999
0.0198273020134225	0.179721042733452	0.179823020134225
0.0200499556014451	0.181704008351241	0.181839556014451
0.0202726091894678	0.183682946608376	0.183856091894678
0.0204952627774905	0.185657279423801	0.185786313887453
0.0207179163655132	0.187626738336693	0.187769163655132
0.0209405699535359	0.189590865741108	0.189775129581823
0.0211632235415586	0.191548953912043	0.191762235415586
0.0213858771295813	0.193500418131019	0.193679385647906
0.021608530717604	0.195444648962564	0.195636776458436
0.0218311843056267	0.197381126415963	0.197611843056267
0.0220538378936494	0.199308965551836	0.199578378936494
0.0222764914816721	0.201227299715808	0.20144491481672
0.0224991450696947	0.20313545999172	0.203391450696947
0.0227217986577174	0.20503262916174	0.205327986577174
0.0229444522457401	0.206917613862592	0.207232261228701
0.0231671058337628	0.208789414058371	0.209073952503865
0.0233897594217855	0.21064685424541	0.210977594217855
0.0236124130098082	0.212488597798744	0.212861717088274
0.0238350665978309	0.214313356537058	0.214657799690239
0.0240577201858536	0.216119934877525	0.216487201858536
0.0242803737738763	0.217906852363454	0.218313363964886
0.024503027361899	0.219672726769983	0.220127246257091
0.0247256809499217	0.221415735118243	0.221850564274647
0.0249483345379443	0.223133879966717	0.223595010841499
0.025170988125967	0.22482555548573	0.225328893133703
0.0253936417139897	0.226489274903481	0.227039133711918
0.0256162953020124	0.228122640538221	0.228636657718112
0.0258389488900351	0.229723569892393	0.230281591120281
0.0260616024780578	0.231290410471599	0.231892819824462
0.0262842560660805	0.23282051005386	0.233457024264322
0.0265069096541032	0.234311612657194	0.234935277232825
0.0267295632421259	0.235761284187163	0.236426942694881
0.0269522168301486	0.237167598556916	0.23788551781104
0.0271748704181713	0.238527796545292	0.239267046463599
0.0273975240061939	0.239839803357345	0.240572668043358
