t	T
0	894.5	894.5
0.002	894.41	894.41
0.0041	894.315511466078	894.3155
0.006	894.230018089742	894.23
0.00800000000000001	894.140023648189	894.14
0.0101	894.045535210291	894.04551
0.0121	893.955553152956	893.95552
0.0141	893.865578990592	893.86552
0.0161	893.775623111833	893.77553
0.0180999999999999	893.68568394216	893.68555
0.0200999999999999	893.595812783731	893.59556
0.0220999999999999	893.505993084221	893.50558
0.0240999999999999	893.416219002428	893.4156
0.0260999999999999	893.326495151096	893.32563
0.0280999999999999	893.236913842282	893.23567
0.0300999999999999	893.147422592352	893.14571
0.0320999999999999	893.057942363595	893.05576
0.0341	892.968488035513	892.96582
0.036	892.883577575911	892.88035
0.0380000000000001	892.794145975147	892.79043
0.0400000000000001	892.70480068854	892.70052
0.0420000000000002	892.615644860776	892.61062
0.0440000000000002	892.526675610039	892.52074
0.0460000000000003	892.43770441844	892.43087
0.0480000000000003	892.349002302779	892.34103
0.0500000000000004	892.260376798818	892.25121
0.0520000000000005	892.171829624114	892.16142
0.0540000000000005	892.08345270308	892.07166
0.0560000000000006	891.995094766414	891.98193
0.0580000000000006	891.906996230177	891.89224
0.0600000000000007	891.819122532243	891.80259
0.0620000000000007	891.731417822735	891.713
0.0640000000000008	891.643618181652	891.62347
0.0660000000000009	891.555861809072	891.53401
0.0680000000000009	891.46954136949	891.44462
0.070000000000001	891.384020261777	891.35533
0.072000000000001	891.299784834805	891.26614
0.0740000000000011	891.215557002672	891.17707
0.0760000000000012	891.13131936528	891.08814
0.0780000000000012	891.047075688654	890.99938
0.0800000000000013	890.963292272741	890.9118
0.0820000000000013	890.880611163054	890.82501
0.0840000000000014	890.798505356526	890.73863
0.0860000000000014	890.717706847541	890.65273
0.0880000000000015	890.638413405612	890.56737
0.0900000000000016	890.559534465312	890.48261
0.0920000000000016	890.480633657583	890.39853
0.0940000000000017	890.401808791029	890.31521
0.0960000000000017	890.324827824879	890.23276
0.0980000000000018	890.250248957767	890.15127
0.100000000000002	890.17625620838	890.07087
0.102000000000002	890.104382102897	889.99169
0.104000000000002	890.033006627354	889.91386
0.106000000000002	889.963173905898	889.83755
0.108000000000002	889.896814241396	889.76294
0.110000000000002	889.831392253264	889.69019
0.112000000000002	889.768134421066	889.61953
0.114000000000002	889.706473222276	889.55116
0.116000000000002	889.649788370439	889.48531
0.118000000000002	889.594620369634	889.42222
0.120000000000002	889.540341909079	889.36214
0.122000000000002	889.491039046365	889.30532
0.124000000000003	889.446045612336	889.25203
0.126000000000002	889.40300302638	889.20251
0.128000000000002	889.36196821655	889.15702
0.130000000000002	889.327653064804	889.11578
0.132000000000002	889.296191669506	889.07901
0.134000000000002	889.266754417022	889.04691
0.136000000000001	889.24429775938	889.01962
0.138000000000001	889.223928717789	888.99727
0.140000000000001	889.207405058744	888.97993
0.142000000000001	889.197451012286	888.96763
0.144	889.190636880537	888.96035
0.146	889.184733494041	888.95802
0.148	889.185178367235	888.96051
0.1501	889.190911456438	888.96813
0.1521	889.196095188502	888.97994
0.154099999999999	889.208218511618	888.99592
0.156099999999999	889.222471386306	889.0158
0.158099999999999	889.23887533758	889.03927
0.160099999999999	889.259170891304	889.066
0.162099999999998	889.282353085968	889.09566
0.164099999999998	889.305584139462	889.12791
0.166099999999998	889.331790698713	889.16242
