t	fd_A	fd_V
0	0	0	0
0.002	0	0	0
0.0041	0	1.59242194083808E-23	1.65436122510606E-24
0.006	0	0	2.01422999999995E-10
0.00800000000000001	0	0	4.06226999999974E-10
0.0101	0	0	3.97046694025453E-23
0.0121	0	0	1.85288457211878E-22
0.0141	0	0	4.76456032830544E-22
0.0161	0	0	8.99972506457694E-22
0.0180999999999999	0	0	1.58818677610181E-21
0.0200999999999999	0	0	2.43521972335611E-21
0.0220999999999999	0	0	3.81164826264435E-21
0.0240999999999999	0	0	5.50571415715295E-21
0.0260999999999999	0	0	7.6232965252887E-21
0.0280999999999999	0	0	9.74087889342445E-21
0.0300999999999999	0	0	1.35525271560688E-20
0.0320999999999999	0	0	1.35525271560688E-20
0.0341	0	0	6.7762635780344E-21
0.036	0	0	1.74871999999987E-08
0.0380000000000001	0	0	2.03730999999865E-08
0.0400000000000001	0	0	2.36372999999715E-08
0.0420000000000002	0	0	2.73322999999521E-08
0.0440000000000002	0	0	3.1519699999925E-08
0.0460000000000003	0	0	3.62718999998951E-08
0.0480000000000003	0	0	4.16731999998536E-08
0.0500000000000004	0	1.14590089345881E-08	4.78220999998085E-08
0.0520000000000005	0	1.14308647344861E-08	5.48335999997474E-08
0.0540000000000005	0	1.14029049177621E-08	6.28412999996772E-08
0.0560000000000006	0	1.13750788142155E-08	7.20009999995847E-08
0.0580000000000006	0	1.1347461437631E-08	8.24932999994785E-08
0.0600000000000007	0	3.32043167964027E-08	9.45278999993449E-08
0.0620000000000007	0	3.31244023632954E-08	1.08347999999185E-07
0.0640000000000008	0	1.48550916265033E-07	1.24233999998998E-07
0.0660000000000009	0	4.85633898792586E-07	1.42509999998775E-07
0.0680000000000009	4.62923485284484E-07	7.20461304580193E-07	1.63551999998504E-07
0.070000000000001	6.46884263072781E-06	7.96852276275625E-07	1.87788999998192E-07
0.072000000000001	3.56417064890092E-05	1.33281284901337E-06	2.15716999997783E-07
0.0740000000000011	8.09049802751993E-05	3.77602307124812E-06	2.47902999997299E-07
0.0760000000000012	9.01734087080708E-05	4.28532748400132E-06	2.84997999996689E-07
0.0780000000000012	0.000113095525213517	6.51623589320432E-06	3.27741999996058E-07
0.0800000000000013	0.000146037262486401	9.7412334155323E-06	1.57322000000315E-07
0.0820000000000013	0.000195800619022444	1.38933506458627E-05	1.05672000000092E-06
0.0840000000000014	0.000247581949868442	1.84788340397577E-05	2.97054000000175E-06
0.0860000000000014	0.000310128448854195	2.34542583933134E-05	6.18897000000289E-06
0.0880000000000015	0.000434002454963054	3.36805068070387E-05	1.10603000000044E-05
0.0900000000000016	0.000553928101602961	4.47280491616293E-05	1.79994000000064E-05
0.0920000000000016	0.000685935353855607	5.88132033216148E-05	2.74969000000089E-05
0.0940000000000017	0.000828100386583626	7.57093580046486E-05	4.0129400000012E-05
0.0960000000000017	0.00100159836397745	9.59358531038859E-05	5.6569800000016E-05
0.0980000000000018	0.00122274561011105	0.000121191200385437	7.7598300000021E-05
0.100000000000002	0.00146851230556447	0.000151616015467786	0.000104114000000027
0.102000000000002	0.0017472144032527	0.000186952183854275	0.000137145000000035
0.104000000000002	0.00205580811579401	0.000229148971534773	0.000177863000000044
0.106000000000002	0.00240122360934394	0.000278556801551235	0.000227587000000056
0.108000000000002	0.00279616340802407	0.000335367611855254	0.000287801000000068
0.110000000000002	0.00323412276593872	0.000402614999681481	0.000360153000000084
0.112000000000002	0.00372258705458456	0.000480859840173182	0.000446466000000104
0.114000000000002	0.0042204102038346	0.000564934736829936	0.000548739000000124
0.116000000000002	0.00482034341756244	0.000666826877013813	0.00066914000000015
0.118000000000002	0.00544519897313974	0.000779202257787804	0.000810007000000178
0.120000000000002	0.00612546879774619	0.000908921390044693	0.000973827000000213
0.122000000000002	0.0068582123164368	0.00105138672972507	0.00116000000000025
0.124000000000003	0.00766584955300184	0.00121330076941388	0.00138000000000025
0.126000000000002	0.00853734970152108	0.00139683541607456	0.00163000000000024
0.128000000000002	0.00944288350502728	0.00159660358525345	0.00191000000000044
0.130000000000002	0.0104294182411232	0.00181798973462132	0.0022300000000004
0.132000000000002	0.0114773252180044	0.00206313771691688	0.00259000000000036
0.134000000000002	0.0125601239561464	0.00232781454341683	0.00299000000000031
0.136000000000001	0.0137397604203174	0.00262181444454722	0.00344000000000027
0.138000000000001	0.0149634477820468	0.00293968507553139	0.00393000000000034
0.140000000000001	0.0162503777211797	0.00328515548230717	0.00447000000000027
0.142000000000001	0.0176072531391052	0.00365749058710455	0.00507000000000021
0.144	0.0190098214929699	0.00405557920610146	0.00571000000000019
0.146	0.0204473705538375	0.00447978146865255	0.0064100000000001
0.148	0.0219513982999078	0.00493286483857539	0.00716000000000001
0.1501	0.0235936367794278	0.00543995877718187	0.00799999999999991
0.1521	0.0251834128312244	0.00594990979833083	0.00885999999999982
0.154099999999999	0.0268145861123302	0.00648166558409668	0.00976999999999974
0.156099999999999	0.0284926074855082	0.00704381379633852	0.0107299999999996
0.158099999999999	0.0301812182461505	0.00762435795317301	0.0117399999999995
0.160099999999999	0.0319297848565194	0.00823779006869157	0.0127999999999992
0.162099999999998	0.0336837866018138	0.00886638348657327	0.0138899999999992
0.164099999999998	0.0354588062437105	0.00951932340223783	0.0150299999999991
0.166099999999998	0.0372267822912137	0.0101816865989575	0.0162099999999988
0.168099999999998	0.0390526017565868	0.010875225436107	0.0174299999999985
