t	Rg
0	0	0
0.002	0	0
0.0041	0	1.73918E-06
0.006	0	1.73932E-06
0.00800000000000001	0	1.73964E-06
0.0101	0	1.74032E-06
0.0121	0	1.74134E-06
0.0141	0	1.74286E-06
0.0161	0	1.74499E-06
0.0180999999999999	0	1.74787E-06
0.0200999999999999	0	1.75163E-06
0.0220999999999999	0	1.75642E-06
0.0240999999999999	0	1.76238E-06
0.0260999999999999	0	1.76966E-06
0.0280999999999999	0	1.77844E-06
0.0300999999999999	0	1.78888E-06
0.0320999999999999	0	1.80115E-06
0.0341	0	1.81543E-06
0.036	0	1.83016E-06
0.0380000000000001	0	1.84878E-06
0.0400000000000001	0	1.86997E-06
0.0420000000000002	0	1.89392E-06
0.0440000000000002	0	1.92085000000001E-06
0.0460000000000003	0	1.95097000000001E-06
0.0480000000000003	0	1.98449000000001E-06
0.0500000000000004	0	2.02163000000002E-06
0.0520000000000005	0	2.06264000000002E-06
0.0540000000000005	0	2.10773000000002E-06
0.0560000000000006	0	2.15714000000003E-06
0.0580000000000006	0	2.21113000000004E-06
0.0600000000000007	0	2.26994000000004E-06
0.0620000000000007	0	2.33381000000005E-06
0.0640000000000008	0	2.40302000000006E-06
0.0660000000000009	0	2.47782000000007E-06
0.0680000000000009	0	2.55849000000008E-06
0.070000000000001	0	2.64529000000009E-06
0.072000000000001	0	2.7385000000001E-06
0.0740000000000011	0	2.83841000000011E-06
0.0760000000000012	0	2.94530000000013E-06
0.0780000000000012	0	3.05948000000014E-06
0.0800000000000013	0	3.29150000000016E-06
0.0820000000000013	0	3.55116000000018E-06
0.0840000000000014	0	3.8272100000002E-06
0.0860000000000014	0	4.12027000000022E-06
0.0880000000000015	0	4.43099000000024E-06
0.0900000000000016	0	4.76000000000026E-06
0.0920000000000016	0	5.10797000000029E-06
0.0940000000000017	0	5.47555000000031E-06
0.0960000000000017	0	5.86342000000034E-06
0.0980000000000018	0	6.27226000000037E-06
0.100000000000002	0	6.7027700000004E-06
0.102000000000002	0	7.15566000000044E-06
0.104000000000002	0	7.63163000000048E-06
0.106000000000002	0	8.13142000000051E-06
0.108000000000002	0	8.65574000000055E-06
0.110000000000002	0	9.20536000000061E-06
0.112000000000002	0	9.78101000000064E-06
0.114000000000002	0	1.03835000000007E-05
0.116000000000002	0	1.10135000000007E-05
0.118000000000002	0	1.16719000000008E-05
0.120000000000002	0	1.23594000000008E-05
0.122000000000002	0	1.30769000000009E-05
0.124000000000003	0	1.3825100000001E-05
0.126000000000002	0	1.4604900000001E-05
0.128000000000002	0	1.54171000000009E-05
0.130000000000002	0	1.62626000000009E-05
0.132000000000002	0	1.71422000000008E-05
0.134000000000002	0	1.80567000000007E-05
0.136000000000001	0	1.90071000000006E-05
0.138000000000001	0	1.99941000000006E-05
0.140000000000001	0	2.10188000000005E-05
0.142000000000001	0	2.20819000000004E-05
0.144	0	2.31844000000003E-05
0.146	0	2.43272000000001E-05
0.148	0	2.55112E-05
0.1501	0	2.67997999999999E-05
0.1521	0	2.80712999999997E-05
0.154099999999999	0	2.93867999999996E-05
0.156099999999999	0	3.07472999999994E-05
0.158099999999999	0	3.21538999999992E-05
0.160099999999999	0	3.3607299999999E-05
0.162099999999998	0	3.51086999999988E-05
0.164099999999998	0	3.66589999999986E-05
0.166099999999998	0	3.82591999999984E-05
0.168099999999998	0	3.99101999999982E-05
0.170099999999998	0	4.16130999999979E-05
0.172099999999997	0	4.33687999999977E-05
0.174099999999997	0	4.51783999999974E-05
0.176099999999997	0	4.70426999999971E-05
0.178099999999997	0	4.89628999999968E-05
0.180099999999996	0	5.09398999999965E-05
0.182099999999996	0	5.29745999999961E-05
0.184099999999996	0	5.50679999999958E-05
0.186099999999996	0	5.72211999999954E-05
0.188099999999996	0	5.94349999999951E-05
0.190099999999995	0	6.17104999999947E-05
0.192099999999995	0	6.40483999999943E-05
0.194099999999995	0	6.64497999999939E-05
0.196099999999995	0	6.89154999999935E-05
0.198099999999995	0	7.14463999999929E-05
0.200099999999994	0	7.40432999999925E-05
0.202099999999994	0	7.6707099999992E-05
0.204099999999994	0	7.94383999999914E-05
0.206099999999994	0	8.2237999999991E-05
0.208099999999993	0	8.51065999999904E-05
0.210099999999993	0	8.80446999999899E-05
0.212099999999993	0	9.10530999999893E-05
0.214099999999993	0	9.41320999999887E-05
0.216099999999993	0	9.72821999999881E-05
0.218099999999992	0	0.000100503999999987
0.220099999999992	0	0.000103796999999987
0.222099999999992	0	0.000107161999999986
0.224099999999992	0	0.000110598999999986
0.226099999999991	0	0.000114107999999985
0.228099999999991	0	0.000117688999999984
0.230099999999991	0	0.000121341999999983
0.232099999999991	0	0.000125064999999983
0.234099999999991	0	0.000128858999999982
0.23609999999999	0	0.000132722999999981
0.23809999999999	0	0.00013665699999998
0.24009999999999	0	0.00014065799999998
0.24209999999999	0	0.000144725999999979
0.244099999999989	0	0.000148858999999978
0.246099999999989	0	0.000153056999999977
0.248099999999989	0	0.000157316999999976
0.250099999999989	0	0.000161636999999976
0.252099999999989	0	0.000166014999999975
0.254099999999988	0	0.000170449999999974
0.256099999999988	0	0.000174937999999973
0.258099999999988	0	0.000179475999999972
0.260099999999988	0	0.000184062999999971
0.262099999999987	0	0.000188693999999971
0.264099999999987	0	0.00019336799999997
0.266099999999987	0	0.000198078999999969
0.268099999999987	0	0.000202825999999968
0.270099999999987	0	0.000207603999999968
0.272099999999986	0	0.000212408999999967
0.274099999999986	0	0.000217238999999966
0.276099999999986	0	0.000222087999999966
0.278099999999986	0	0.000226952999999965
0.280099999999985	0	0.000231829999999964
0.282099999999985	0	0.000236714999999964
0.284099999999985	0	0.000241603999999963
0.286099999999985	0	0.000246493999999963
0.288099999999985	0	0.000251378999999962
0.290099999999984	0	0.000256256999999962
0.292099999999984	0	0.000261123999999961
0.294099999999984	0	0.000265976999999961
0.296099999999984	0	0.000270810999999961
0.298099999999983	0	0.00027562399999996
0.300099999999983	0	0.00028041199999996
0.302099999999983	0	0.00028517299999996
0.304099999999983	0	0.00028990299999996
0.306099999999983	0	0.000294600999999959
0.308099999999982	0	0.000299263999999959
0.310099999999982	0	0.000303888999999959
0.312099999999982	0	0.000308474999999959
0.314099999999982	0	0.000313019999999959
0.316099999999982	0	0.000317521999999959
0.318099999999981	0	0.000321979999999958
0.320099999999981	0	0.000326392999999959
0.322099999999981	0	0.000330759999999958
0.324099999999981	0	0.000335078999999958
0.32609999999998	0	0.000339349999999958
0.32809999999998	0	0.000343571999999958
0.33009999999998	0	0.000347745999999958
0.33209999999998	0	0.000351869999999959
0.33409999999998	0	0.000355944999999959
0.336099999999979	0	0.000359969999999959
0.338099999999979	0	0.000363945999999959
0.340099999999979	0	0.000367872999999959
0.342099999999979	0	0.000371749999999959
0.344099999999978	0	0.000375577999999959
0.346099999999978	0	0.000379357999999959
0.348099999999978	0	0.000383089999999959
0.350099999999978	0	0.000386773999999959
0.352099999999978	0	0.000390411999999959
0.354099999999977	0	0.000394002999999959
0.356099999999977	0	0.00039754799999996
0.358099999999977	0	0.00040104799999996
0.360099999999977	0	0.00040450299999996
0.362099999999976	0	0.00040791499999996
0.364099999999976	0	0.00041128299999996
0.366099999999976	0	0.00041460899999996
0.368099999999976	0	0.00041789399999996
0.370099999999976	0	0.000421136999999961
0.372099999999975	0	0.000424340999999961
0.374099999999975	0	0.000427504999999961
0.376099999999975	0	0.000430630999999961
0.378099999999975	0	0.000433717999999961
0.380099999999974	0	0.000436768999999961
0.382099999999974	0	0.000439782999999961
0.384099999999974	0	0.000442761999999961
0.386099999999974	0	0.000445704999999962
0.388099999999974	0	0.000448614999999962
0.390099999999973	0	0.000451490999999962
0.392099999999973	0	0.000454333999999962
0.394099999999973	0	0.000457144999999962
0.396099999999973	0	0.000459923999999962
0.398099999999972	0	0.000462672999999962
0.400099999999972	0	0.000465391999999962
0.402099999999972	0	0.000468080999999963
0.404099999999972	0	0.000470740999999963
0.406099999999972	0	0.000473372999999963
0.408099999999971	0	0.000475976999999963
0.410099999999971	0	0.000478553999999963
0.412099999999971	0	0.000481104999999963
0.414099999999971	0	0.000483629999999963
0.41609999999997	0	0.000486128999999963
0.41809999999997	0	0.000488603999999963
0.42009999999997	0	0.000491053999999963
0.42209999999997	0	0.000493479999999964
0.42409999999997	0	0.000495882999999964
0.426099999999969	0	0.000498262999999964
0.428099999999969	0	0.000500619999999964
0.430099999999969	0	0.000502955999999964
0.432099999999969	0	0.000505269999999964
0.434099999999969	0	0.000507561999999964
0.436099999999968	0	0.000509834999999964
0.438099999999968	0	0.000512086999999964
0.440099999999968	0	0.000514318999999964
0.442099999999968	0	0.000516531999999964
0.444099999999967	0	0.000518724999999964
0.446099999999967	0	0.000520899999999965
0.448099999999967	0	0.000523056999999964
0.450099999999967	0	0.000525194999999965
0.452099999999967	0	0.000527315999999965
0.454099999999966	0	0.000529419999999965
0.456099999999966	0	0.000531506999999965
0.458099999999966	0	0.000533576999999965
0.460099999999966	0	0.000535630999999965
0.462099999999965	0	0.000537667999999965
0.464099999999965	0	0.000539689999999965
0.466099999999965	0	0.000541696999999965
0.468099999999965	0	0.000543687999999965
0.470099999999965	0	0.000545664999999965
0.472099999999964	0	0.000547625999999965
0.474099999999964	0	0.000549573999999965
0.476099999999964	0	0.000551506999999965
0.478099999999964	0	0.000553426999999965
0.480099999999963	0	0.000555331999999965
0.482099999999963	0	0.000557224999999965
0.484099999999963	0	0.000559103999999966
0.486099999999963	0	0.000560970999999965
0.488099999999963	0	0.000562823999999965
0.490099999999962	0	0.000564664999999966
0.492099999999962	0	0.000566493999999966
0.494099999999962	0	0.000568310999999965
0.496099999999962	0	0.000570115999999965
0.498099999999961	0	0.000571908999999966
