t	T
0	894.5	894.5
0.002	894.41	894.41
0.0041	894.315500003016	894.3155
0.006	894.23000001281	894.23
0.00800000000000001	894.140000030946	894.14
0.0101	894.045500059455	894.0455
0.0121	893.955500096638	893.9555
0.0141	893.865500144795	893.8655
0.0161	893.775500205256	893.7755
0.0180999999999999	893.685500279481	893.6855
0.0200999999999999	893.59550036904	893.5955
0.0220999999999999	893.50550047559	893.5055
0.0240999999999999	893.415500600856	893.4155
0.0260999999999999	893.325500746627	893.3255
0.0280999999999999	893.235500914736	893.2355
0.0300999999999999	893.145501107061	893.1455
0.0320999999999999	893.055501325513	893.0555
0.0341	892.965501572038	892.9655
0.036	892.880001834036	892.88
0.0380000000000001	892.790002141002	892.79
0.0400000000000001	892.700002481936	892.7
0.0420000000000002	892.610002858885	892.61
0.0440000000000002	892.520003273918	892.52
0.0460000000000003	892.430003729125	892.43
0.0480000000000003	892.340004226616	892.34
0.0500000000000004	892.250004768522	892.25
0.0520000000000005	892.160005356992	892.16
0.0540000000000005	892.070005994195	892.07
0.0560000000000006	891.980006682318	891.98
0.0580000000000006	891.890007423566	891.89
0.0600000000000007	891.800008220163	891.8
0.0620000000000007	891.710009074349	891.71
0.0640000000000008	891.620009988383	891.62
0.0660000000000009	891.53001096454	891.53
0.0680000000000009	891.440012005112	891.44
0.070000000000001	891.350013112407	891.35001
0.072000000000001	891.260014288753	891.26001
0.0740000000000011	891.170016037467	891.17001
0.0760000000000012	891.080019847076	891.08001
0.0780000000000012	890.990024122831	890.99001
0.0800000000000013	890.900028896118	890.90001
0.0820000000000013	890.81003420165	890.81002
0.0840000000000014	890.720040077581	890.72002
0.0860000000000014	890.630046565694	890.63002
0.0880000000000015	890.540053711625	890.54003
0.0900000000000016	890.450061565128	890.45003
0.0920000000000016	890.360070180385	890.36004
0.0940000000000017	890.27007961635	890.27005
0.0960000000000017	890.18008993713	890.18005
0.0980000000000018	890.090101212415	890.09006
0.100000000000002	890.000113517943	890.00007
0.102000000000002	889.910126936015	889.91008
0.104000000000002	889.820141556061	889.8201
0.106000000000002	889.730157475251	889.73011
0.108000000000002	889.640174799178	889.64013
0.110000000000002	889.550193642586	889.55015
0.112000000000002	889.460214130182	889.46017
0.114000000000002	889.370236400358	889.3702
0.116000000000002	889.280260625108	889.28022
0.118000000000002	889.190287003689	889.19025
0.120000000000002	889.100315756762	889.10029
0.122000000000002	889.010347128629	889.01033
0.124000000000003	888.920381389777	888.92038
0.126000000000002	888.830418839662	888.83043
0.128000000000002	888.740459809789	888.74049
0.130000000000002	888.650504667092	888.65056
0.132000000000002	888.560553817663	888.56064
0.134000000000002	888.470607710844	888.47073
0.136000000000001	888.380665684213	888.38083
0.138000000000001	888.290731056358	888.29094
0.140000000000001	888.200797807545	888.20107
0.142000000000001	888.110866033683	888.11121
0.144	888.02093583782	888.02138
0.146	887.931007330394	887.93156
0.148	887.841080629539	887.84178
0.1501	887.746830364915	887.74753
0.1521	887.6571316382	887.6578
0.154099999999999	887.567438550383	887.5681
0.156099999999999	887.477751931495	887.47845
0.158099999999999	887.388072581925	887.38884
0.160099999999999	887.298401286719	887.29928
0.162099999999998	887.208738826968	887.20977
0.164099999999998	887.119085989243	887.12033
0.166099999999998	887.029443573705	887.03096
