t	fsi_A	fsi_V
0	0	0	0
0.002	0	0	0
0.0041	1	0.0134630434095286	1
0.006	1	0.0547838115921194	0.999962034279249
0.00800000000000001	1	0.122815390146913	0.999922217226418
0.0101	1	0.211953290677548	1
0.0121	1	0.30415023879502	1
0.0141	1	0.39567500652046	1
0.0161	1	0.481275890122656	1
0.0180999999999999	1	0.558060806404811	1
0.0200999999999999	1	0.624972717956097	0.999999999999999
0.0220999999999999	1	0.682154548192242	0.999999999999999
0.0240999999999999	1	0.730411464435334	0.999999999999999
0.0260999999999999	1	0.770833774947812	0.999999999999999
0.0280999999999999	1	0.8045664142589	0.999999999999999
0.0300999999999999	1	0.832685574612651	0.999999999999998
0.0320999999999999	1	0.856143891659811	0.999999999999997
0.0341	1	0.875755180476478	0.999999999999998
0.036	1	0.891443581656808	0.997153279334465
0.0380000000000001	1	0.905401059304767	0.996782524158645
0.0400000000000001	1	0.917191363131618	0.996394139296732
0.0420000000000002	1	0.927192759867947	0.995987335209822
0.0440000000000002	1	0.935713156309311	0.995564654180545
0.0460000000000003	1	0.943003236518532	0.995128905308825
0.0480000000000003	1	0.949267394259275	0.994682075045945
0.0500000000000004	1	0.954672670632017	0.99422934535946
0.0520000000000005	1	0.959355982486622	0.993770587490074
0.0540000000000005	1	0.963429931811917	0.993309477463231
0.0560000000000006	1	0.966987459431372	0.992846839370088
0.0580000000000006	1	0.97010556850483	0.992398331117374
0.0600000000000007	1	0.972848304608263	0.991943613767921
0.0620000000000007	1	0.975269143978117	0.991499738992965
0.0640000000000008	1	0.977412911411176	0.991075123064921
0.0660000000000009	1	0.979317324444091	0.990652807410187
0.0680000000000009	1	0.981014240319598	0.990254735312794
0.070000000000001	1	0.98253066618503	0.989866994284593
0.072000000000001	1	0.983889580250119	0.989503421855707
0.0740000000000011	1	0.981672611552925	0.989155090842436
0.0760000000000012	1	0.984819507572274	0.988827722711165
0.0780000000000012	1	0.9872048958218	0.988528693781429
0.0800000000000013	1	0.989060044788798	0.992943957826201
0.0820000000000013	1	0.990533509755483	0.970584102299854
0.0840000000000014	1	0.991724561883536	0.93824168775166
0.0860000000000014	1	0.992701758424725	0.899919887928752
0.0880000000000015	1	0.993513782557848	0.858456542980492
0.0900000000000016	1	0.994196040047068	0.815840364542297
0.0920000000000016	1	0.994774818998827	0.773427370093577
0.0940000000000017	1	0.995269994768433	0.732144812899267
0.0960000000000017	1	0.99569683663873	0.692574129865978
0.0980000000000018	1	0.996067243382886	0.655065071750934
0.100000000000002	1	0.99639060614634	0.619811327013243
0.102000000000002	1	0.996674422453683	0.586887891692036
0.104000000000002	1	0.996924740543387	0.556286925899845
0.106000000000002	1	0.997146485851005	0.527953449313676
0.108000000000002	1	0.997343704240874	0.501792887596396
0.110000000000002	1	0.997519745517674	0.477692422940521
0.112000000000002	1	0.997677403492695	0.455528998835348
0.114000000000002	0.999360465660441	0.996869868566759	0.435174345979492
0.116000000000002	0.997032989187926	0.993590742293045	0.416499925228034
0.118000000000002	0.993185014295182	0.988164268467412	0.399383115455389
0.120000000000002	0.988000507781012	0.980924756925158	0.383704307247862
0.122000000000002	0.981654081327178	0.972178788180016	0.369349312773858
0.124000000000003	0.974310222259075	0.962205260419905	0.356214183110289
0.126000000000002	0.966122737220321	0.951255857232407	0.344199796714716
0.128000000000002	0.957234449059413	0.939555941333613	0.333216121769174
0.130000000000002	0.947777098074481	0.927305754476871	0.323177359121556
0.132000000000002	0.937871416670045	0.914681840084484	0.314008042895435
0.134000000000002	0.927627347770952	0.901838615731463	0.305638032542114
0.136000000000001	0.914062822977347	0.883770328611955	0.298001992915689
0.138000000000001	0.892305365974722	0.855253177369756	0.291039264375626
0.140000000000001	0.868898031060174	0.822177231477386	0.284697593115501
0.142000000000001	0.844300812839578	0.786043667887034	0.278926470861085
0.144	0.818908138936461	0.748069025761152	0.273679063802499
0.146	0.793054588628122	0.709224675645796	0.268916903138073
0.148	0.767020855859038	0.670273630843251	0.264600918065925
0.1501	0.732645018626583	0.674394961452191	0.260510324284773
0.1521	0.700128204608643	0.674957123635964	0.257003644179925
0.154099999999999	0.669157772609404	0.660335298097342	0.253846274954343
0.156099999999999	0.63977206874452	0.636630174539447	0.251011992715028
0.158099999999999	0.611956744890108	0.607769864721268	0.248475069260402
0.160099999999999	0.585666898360015	0.576304046510165	0.246215039841687
0.162099999999998	0.560840498643569	0.543890623837643	0.244209369799398
0.164099999999998	0.537406648663783	0.511601566828303	0.242441814491686
0.166099999999998	0.515290708212977	0.480119278504117	0.240894100272363
0.168099999999998	0.494310519430688	0.474902230781896	0.239548470021088
0.170099999999998	0.474782049931043	0.463090053332082	0.23839135461227
0.172099999999997	0.456307554943658	0.446424385248227	0.237409076437022
0.174099999999997	0.438839239597805	0.427009217454789	0.236588515150072
0.176099999999997	0.431254216863977	0.418696789544713	0.235920094412942
0.178099999999997	0.423714007503216	0.408982709912327	0.235388123968209
0.180099999999996	0.415332381436572	0.396610819540654	0.234989042545153
0.182099999999996	0.408272762950753	0.384894665783968	0.23470671235638
0.184099999999996	0.405867059176681	0.379266792462214	0.234538222275392
0.186099999999996	0.402231221982827	0.371312488426251	0.234471415547511
0.188099999999996	0.397548662825383	0.361519138897145	0.234499574196802
0.190099999999995	0.392819483121511	0.359743682818634	0.234616692452862
0.192099999999995	0.387318403750306	0.35589130446542	0.234814890850612
0.194099999999995	0.384285170179063	0.35331193754603	0.235088836159499
0.196099999999995	0.382805731156738	0.360060935221038	0.235431576184648
0.198099999999995	0.379931687805096	0.363105314629512	0.235838121792097
