t	Cl
0	5	5
0.002	5	5
0.0041	5.00000000008836	5
0.006	5.00000000037579	5
0.00800000000000001	5.00000000090333	5
0.0101	5.00000000172562	5
0.0121	5.00000000279007	5
0.0141	5.00000000415954	5
0.0161	5.00000000586864	5
0.0180999999999999	5.00000000795566	5
0.0200999999999999	5.00000001046202	5
0.0220999999999999	5.00000001343177	5
0.0240999999999999	5.00000001691124	5
0.0260999999999999	5.00000002094887	5
0.0280999999999999	5.00000002559511	5
0.0300999999999999	5.00000003090236	5
0.0320999999999999	5.00000003692506	5
0.0341	5.00000004371974	5
0.036	5.00000005094321	5
0.0380000000000001	5.0000000594144	5
0.0400000000000001	5.00000006883788	5
0.0420000000000002	5.00000007927997	5
0.0440000000000002	5.00000009080992	5
0.0460000000000003	5.00000010350018	5
0.0480000000000003	5.00000011742659	5
0.0500000000000004	5.00000013266872	5
0.0520000000000005	5.00000014931004	5
0.0540000000000005	5.00000016743829	5
0.0560000000000006	5.00000018714568	5
0.0580000000000006	5.00000020852929	5
0.0600000000000007	5.0000002316913	5
0.0620000000000007	5.0000002567394	5
0.0640000000000008	5.00000028378706	5
0.0660000000000009	5.00000031295396	5
0.0680000000000009	5.00000034436632	5
0.070000000000001	5.00000037815732	5
0.072000000000001	5.00000041446749	5
0.0740000000000011	5.00000045092881	5
0.0760000000000012	5.00000049205409	5
0.0780000000000012	5.00000053819723	5
0.0800000000000013	5.00000058969372	5
0.0820000000000013	5.00000064691455	5
0.0840000000000014	5.00000071026753	5
0.0860000000000014	5.00000078019915	5
0.0880000000000015	5.00000085719702	5
0.0900000000000016	5.00000094179264	5
0.0920000000000016	5.00000103456468	5
0.0940000000000017	5.00000113614261	5
0.0960000000000017	5.00000124721082	5
0.0980000000000018	5.00000136851305	5
0.100000000000002	5.00000150085743	5
0.102000000000002	5.00000164512184	5
0.104000000000002	5.00000180225998	5
0.106000000000002	5.00000197330781	5
0.108000000000002	5.00000215939075	5
0.110000000000002	5.00000236173145	5
0.112000000000002	5.00000258165832	5
