t	fsi_A	fsi_V
0	0	0	0
0.002	0	0	0
0.0041	1	0.0108514212002751	1
0.006	1	0.0444325661066708	0.999962034279249
0.00800000000000001	1	0.100700847912211	0.999922217226418
0.0101	1	0.176428854868862	1
0.0121	1	0.25737467741816	1
0.0141	1	0.340642027276513	1
0.0161	1	0.421434053129084	1
0.0180999999999999	1	0.496570627974691	1
0.0200999999999999	1	0.564329687657536	1
0.0220999999999999	1	0.62410202528092	1
0.0240999999999999	1	0.676020767998021	0.999999999999999
0.0260999999999999	1	0.720650486106766	0.999999999999999
0.0280999999999999	1	0.758761795706641	0.999999999999998
0.0300999999999999	1	0.791185037052628	0.999999999999998
0.0320999999999999	1	0.818724700198648	0.999999999999998
0.0341	1	0.842115493322493	0.999999999999998
0.036	1	0.861084350009049	0.997151659122003
0.0380000000000001	1	0.8781641996012	0.996782524158645
0.0400000000000001	1	0.892750183264645	0.996394139296731
0.0420000000000002	1	0.905242752865895	0.99598587661221
0.0440000000000002	1	0.91597644504481	0.995564654180545
0.0460000000000003	1	0.925229804228306	0.99512891182917
0.0480000000000003	1	0.933234421402332	0.994683346364366
0.0500000000000004	1	0.940182834437431	0.994229352295601
0.0520000000000005	1	0.946235259534275	0.993770594536658
0.0540000000000005	1	0.951525234098587	0.993310544184564
0.0560000000000006	1	0.956164297815886	0.99284683937009
0.0580000000000006	1	0.96024585030534	0.992398331117374
0.0600000000000007	1	0.963848317718346	0.991935210599492
0.0620000000000007	1	0.967037746778796	0.991507530249619
0.0640000000000008	1	0.969869928358474	0.991068052592977
0.0660000000000009	1	0.972392136476957	0.990652868210076
0.0680000000000009	1	0.974644553881512	0.990248886684002
0.070000000000001	0.999990821904312	0.972439940512462	0.989866994284593
0.072000000000001	1	1.14972842059517	0.989503472372729
0.0740000000000011	1	1.27510099773605	0.989155137699626
0.0760000000000012	1	1.36718747271069	0.988831631726181
0.0780000000000012	1	1.43687635876991	0.988528772885703
0.0800000000000013	1	1.49090530762637	0.992944017120343
0.0820000000000013	1	1.53363676652138	0.970579969397797
0.0840000000000014	1	1.56800261754913	0.938237112612163
0.0860000000000014	1	1.59603581784625	0.899913034910242
0.0880000000000015	1	1.61918394534075	0.858447986644575
0.0900000000000016	1	1.63850158541179	0.815826958341789
0.0920000000000016	1	1.65477245018102	0.773419173030911
0.0940000000000017	1	1.66858920925343	0.732134708405553
0.0960000000000017	1	1.6804070377865	0.692560017838085
0.0980000000000018	1	1.69058036145439	0.655050699265283
0.100000000000002	1	1.6993885866233	0.619797073856726
0.102000000000002	1	1.70705444716466	0.586873849928409
0.104000000000002	1	1.7137573019728	0.556273398560889
0.106000000000002	1	1.71964291641274	0.527937594860726
0.108000000000002	1	1.72483075493948	0.501777347901194
0.110000000000002	1	1.7294194857115	0.47767643929313
0.112000000000002	1	1.73349118357676	0.455512018196718
0.114000000000002	1	1.73711457269648	0.435158982228227
0.116000000000002	0.999393731867262	1.73877836726814	0.416484494153513
0.118000000000002	0.997315180438188	1.73635215527565	0.399365613752972
0.120000000000002	0.993927455431996	1.73039398504003	0.383686176178064
0.122000000000002	0.989397759093526	1.72144980015397	0.369331737446892
0.124000000000003	0.983883795157176	1.71001942214192	0.356196757247045
0.126000000000002	0.977533222794735	1.6965568652995	0.344181469050421
0.128000000000002	0.970483338650377	1.68147141401646	0.333197981163326
0.130000000000002	0.962860956811041	1.66512929818144	0.323160651596476
0.132000000000002	0.95478245695692	1.64785581794445	0.313992490712502
0.134000000000002	0.946353972172598	1.62993778658038	0.305622646629798
0.136000000000001	0.937671689752721	1.61162617832064	0.297985115213132
0.138000000000001	0.928822240608138	1.5931388859127	0.291024835448442
0.140000000000001	0.919883155397573	1.57466350967639	0.284683297546224
0.142000000000001	0.910923368134006	1.55636011550234	0.278913646183944
0.144	0.902003750630512	1.5383639133086	0.273667766847181
0.146	0.893177663671602	1.52078781980258	0.268907918457911
0.148	0.88449151316127	1.50372487996561	0.264593491291461
0.1501	0.875565350461969	1.48644339940431	0.260506624491172
0.1521	0.867284718541132	1.47065131225348	0.257002792905389
0.154099999999999	0.8592482684492	1.45555606988048	0.253849027518896
0.156099999999999	0.851479722047242	1.44119162890092	0.251017647927117
0.158099999999999	0.843998452786267	1.42758177817643	0.248486703883787
0.160099999999999	0.836819929429013	1.41474156161567	0.24623190462674
0.162099999999998	0.829956130795331	1.4026785513976	0.244234745268516
0.164099999999998	0.823415931111683	1.39139398146376	0.24247325759355
0.166099999999998	0.817205456116753	1.38088375171668	0.240933306743399
0.168099999999998	0.811328410521108	1.3711393135634	0.23959813432953
0.170099999999998	0.805786377757788	1.36214844734835	0.238453834704618
0.172099999999997	0.800579093209145	1.35389594190808	0.237484850854218
0.174099999999997	0.795704692268496	1.3463641860132	0.236679044852106
0.176099999999997	0.791159934706469	1.33953368089372	0.236025908421194
0.178099999999997	0.786940406873172	1.33338348241175	0.235515667678944
0.180099999999996	0.783040703288524	1.32789158078371	0.235135359012012
0.182099999999996	0.779454589163033	1.32303522508448	0.234878553213705
0.184099999999996	0.776175145357231	1.31879119910894	0.234735375049138
0.186099999999996	0.773194897236022	1.31513605453199	0.234699692768111
0.188099999999996	0.770505928809449	1.31204630670762	0.234762792722866
0.190099999999995	0.76809998347793	1.3094985978846	0.234918521899352
0.192099999999995	0.765968552621258	1.30746983209492	0.23515921016346
0.194099999999995	0.764102953189173	1.30593728549263	0.235480305058618
0.196099999999995	0.762494395369257	1.30487869548369	0.235876928667685
0.198099999999995	0.761134041326833	1.30427233159255	0.236342158217895
