t	Rg
0	0	0
0.002	0	0
0.0041	0	1.73918E-06
0.006	0	1.73932E-06
0.00800000000000001	0	1.73964E-06
0.0101	0	1.74032E-06
0.0121	0	1.74134E-06
0.0141	0	1.74286E-06
0.0161	0	1.74499E-06
0.0180999999999999	0	1.74787E-06
0.0200999999999999	0	1.75163E-06
0.0220999999999999	0	1.75642E-06
0.0240999999999999	0	1.76238E-06
0.0260999999999999	0	1.76966E-06
0.0280999999999999	0	1.77844E-06
0.0300999999999999	0	1.78888E-06
0.0320999999999999	0	1.80115E-06
0.0341	0	1.81543E-06
0.036	0	1.83016E-06
0.0380000000000001	0	1.84878E-06
0.0400000000000001	0	1.86997E-06
0.0420000000000002	0	1.89392E-06
0.0440000000000002	0	1.92085000000001E-06
0.0460000000000003	0	1.95097000000001E-06
0.0480000000000003	0	1.98449000000001E-06
0.0500000000000004	0	2.02163000000002E-06
0.0520000000000005	0	2.06264000000002E-06
0.0540000000000005	0	2.10773000000002E-06
0.0560000000000006	0	2.15715000000003E-06
0.0580000000000006	0	2.21113000000004E-06
0.0600000000000007	0	2.26994000000004E-06
0.0620000000000007	0	2.33382000000005E-06
0.0640000000000008	0	2.40302000000006E-06
0.0660000000000009	0	2.47783000000007E-06
0.0680000000000009	0	2.55849000000008E-06
0.070000000000001	0	2.64529000000009E-06
0.072000000000001	0	2.7385000000001E-06
0.0740000000000011	0	2.83841000000011E-06
0.0760000000000012	0	2.94531000000013E-06
0.0780000000000012	0	3.05949000000014E-06
0.0800000000000013	0	3.29151000000016E-06
0.0820000000000013	0	3.55117000000018E-06
0.0840000000000014	0	3.82723000000019E-06
0.0860000000000014	0	4.12030000000022E-06
0.0880000000000015	0	4.43102000000024E-06
0.0900000000000016	0	4.76004000000026E-06
0.0920000000000016	0	5.10801000000029E-06
0.0940000000000017	0	5.47560000000031E-06
0.0960000000000017	0	5.86349000000035E-06
0.0980000000000018	0	6.27235000000037E-06
0.100000000000002	0	6.70288000000041E-06
0.102000000000002	0	7.15579000000044E-06
0.104000000000002	0	7.63179000000048E-06
0.106000000000002	0	8.13160000000051E-06
0.108000000000002	0	8.65597000000056E-06
0.110000000000002	0	9.2056200000006E-06
0.112000000000002	0	9.78133000000064E-06
0.114000000000002	0	1.03838000000007E-05
0.116000000000002	0	1.10139000000007E-05
0.118000000000002	0	1.16724000000008E-05
0.120000000000002	0	1.23600000000009E-05
0.122000000000002	0	1.30776000000009E-05
0.124000000000003	0	1.3826000000001E-05
0.126000000000002	0	1.4605900000001E-05
0.128000000000002	0	1.54183000000009E-05
0.130000000000002	0	1.62640000000009E-05
0.132000000000002	0	1.71438000000008E-05
0.134000000000002	0	1.80587000000007E-05
0.136000000000001	0	1.90093000000007E-05
0.138000000000001	0	1.99968000000006E-05
0.140000000000001	0	2.10219000000005E-05
0.142000000000001	0	2.20855000000004E-05
0.144	0	2.31886000000003E-05
0.146	0	2.43321000000002E-05
0.148	0	2.55169E-05
0.1501	0	2.68064999999999E-05
0.1521	0	2.80790999999997E-05
0.154099999999999	0	2.93957999999996E-05
0.156099999999999	0	3.07577999999994E-05
0.158099999999999	0	3.21659999999992E-05
0.160099999999999	0	3.3621499999999E-05
0.162099999999998	0	3.51250999999988E-05
0.164099999999998	0	3.66779999999986E-05
0.166099999999998	0	3.82810999999984E-05
0.168099999999998	0	3.99355999999981E-05
0.170099999999998	0	4.16423999999979E-05
0.172099999999997	0	4.34025999999976E-05
0.174099999999997	0	4.52172999999973E-05
0.176099999999997	0	4.70875999999971E-05
0.178099999999997	0	4.90145999999968E-05
0.180099999999996	0	5.09993999999965E-05
0.182099999999996	0	5.30429999999961E-05
0.184099999999996	0	5.51466999999957E-05
0.186099999999996	0	5.73114999999954E-05
0.188099999999996	0	5.95385999999951E-05
0.190099999999995	0	6.18291999999947E-05
0.192099999999995	0	6.41843999999942E-05
0.194099999999995	0	6.66053999999938E-05
0.196099999999995	0	6.90934999999934E-05
0.198099999999995	0	7.16496999999928E-05
0.200099999999994	0	7.42753999999924E-05
0.202099999999994	0	7.69716999999919E-05
0.204099999999994	0	7.97398999999913E-05
0.206099999999994	0	8.25811999999908E-05
0.208099999999993	0	8.54969999999903E-05
0.210099999999993	0	8.84882999999897E-05
0.212099999999993	0	9.1556699999989E-05
0.214099999999993	0	9.47031999999884E-05
0.216099999999993	0	9.79293999999878E-05
0.218099999999992	0	0.000101235999999987
0.220099999999992	0	0.000104624999999986
0.222099999999992	0	0.000108097999999986
0.224099999999992	0	0.000111655999999985
0.226099999999991	0	0.000115298999999984
0.228099999999991	0	0.000119030999999983
0.230099999999991	0	0.000122850999999983
0.232099999999991	0	0.000126761999999982
0.234099999999991	0	0.000130764999999981
0.23609999999999	0	0.00013485999999998
0.23809999999999	0	0.000139050999999979
0.24009999999999	0	0.000143336999999978
0.24209999999999	0	0.000147720999999977
0.244099999999989	0	0.000152203999999976
0.246099999999989	0	0.000156787999999975
0.248099999999989	0	0.000161472999999974
0.250099999999989	0	0.000166261999999973
0.252099999999989	0	0.000171155999999972
0.254099999999988	0	0.000176156999999971
0.256099999999988	0	0.000181264999999969
0.258099999999988	0	0.000186482999999968
0.260099999999988	0	0.000191812999999967
0.262099999999987	0	0.000197253999999966
0.264099999999987	0	0.000202810999999964
0.266099999999987	0	0.000208482999999963
0.268099999999987	0	0.000214272999999961
0.270099999999987	0	0.00022018099999996
0.272099999999986	0	0.000226210999999958
0.274099999999986	0	0.000232362999999957
0.276099999999986	0	0.000238638999999955
0.278099999999986	0	0.000245039999999954
