t	Sv
0	0	0
0.002	0	0
0.0041	9.78516941590736E-06	9.0844E-06
0.006	1.00131729888397E-05	9.08583E-06
0.00800000000000001	1.04268445935175E-05	9.08925E-06
0.0101	1.10571314781541E-05	9.09634E-06
0.0121	1.18475885796685E-05	9.107E-06
0.0141	1.28265940861675E-05	9.12286E-06
0.0161	1.39966495990107E-05	9.14522E-06
0.0180999999999999	1.53598636511978E-05	9.17543E-06
0.0200999999999999	1.69180179986254E-05	9.21496E-06
0.0220999999999999	1.86726359027827E-05	9.26538E-06
0.0240999999999999	2.06250444972493E-05	9.32834999999999E-06
0.0260999999999999	2.27764272213541E-05	9.40564999999999E-06
0.0280999999999999	2.51278653373559E-05	9.49918999999999E-06
0.0300999999999999	2.7680369353052E-05	9.61100999999999E-06
0.0320999999999999	3.04349019751625E-05	9.74329999999999E-06
0.0341	3.33923943876039E-05	9.89842999999999E-06
0.036	3.63908335035054E-05	1.00597E-05
0.0380000000000001	3.97467058314714E-05	1.02654E-05
0.0400000000000001	4.33081930056511E-05	1.05021E-05
0.0420000000000002	4.70761808624114E-05	1.07729000000001E-05
0.0440000000000002	5.10515522780348E-05	1.10814000000001E-05
0.0460000000000003	5.5235188179422E-05	1.14316000000001E-05
0.0480000000000003	5.96279679840971E-05	1.18278000000001E-05
0.0500000000000004	6.42307696749229E-05	1.22747000000002E-05
0.0520000000000005	6.90444696504649E-05	1.27777000000002E-05
0.0540000000000005	7.40699424464342E-05	1.33425000000003E-05
0.0560000000000006	7.93080603918441E-05	1.39755000000004E-05
0.0580000000000006	8.47596932414744E-05	1.46838000000005E-05
0.0600000000000007	9.0425707811106E-05	1.54752000000006E-05
0.0620000000000007	9.63069676316711E-05	1.63584000000007E-05
0.0640000000000008	0.000102404332631521	1.73430000000008E-05
0.0660000000000009	0.000108718658851399	1.8439500000001E-05
0.0680000000000009	0.000115250798193681	1.96596000000012E-05
0.070000000000001	0.000122002717958164	2.10162000000014E-05
0.072000000000001	0.000144304359209045	2.25234000000017E-05
0.0740000000000011	0.000167788107725929	2.41969000000019E-05
0.0760000000000012	0.000192508229521418	2.60537000000022E-05
0.0780000000000012	0.000218524902819366	2.81128000000026E-05
0.0800000000000013	0.000245903076303867	3.25385000000031E-05
0.0820000000000013	0.00027471255204271	3.78749000000038E-05
0.0840000000000014	0.00030502814023919	4.39922000000045E-05
0.0860000000000014	0.000336929867115044	5.09876000000054E-05
0.0880000000000015	0.000370503225338468	5.89678000000064E-05
0.0900000000000016	0.000405839460965054	6.80501000000075E-05
0.0920000000000016	0.000443035893554178	7.83631000000089E-05
0.0940000000000017	0.000482196267795285	9.00475000000103E-05
0.0960000000000017	0.000523431136055629	0.000103257000000012
0.0980000000000018	0.000566858271960407	0.000118159000000014
0.100000000000002	0.000612603115534166	0.000134937000000016
0.102000000000002	0.0006607992505928	0.000153788000000019
0.104000000000002	0.00071158891498819	0.000174929000000022
0.106000000000002	0.000765123544114197	0.000198591000000025
0.108000000000002	0.000821564348475263	0.000225029000000029
0.110000000000002	0.000881082929476683	0.000254515000000033
0.112000000000002	0.000943861950913078	0.000287345000000038
0.114000000000002	0.0010100958800953	0.000323835000000043
0.116000000000002	0.00108065013454506	0.000364328000000049
0.118000000000002	0.00115691119740258	0.000409193000000056
0.120000000000002	0.00123932473105833	0.000458824000000063
0.122000000000002	0.00132835287012198	0.000513647000000071
0.124000000000003	0.00142448875486444	0.000574116000000081
0.126000000000002	0.0015282582312034	0.000640718000000085
0.128000000000002	0.0016402216192802	0.000713976000000085
0.130000000000002	0.00176097555246518	0.000794446000000084
0.132000000000002	0.00189115488865808	0.000882723000000083
0.134000000000002	0.00203143469578114	0.000979442000000079
0.136000000000001	0.00218253231339211	0.00109
0.138000000000001	0.00234520949237608	0.00120000000000011
0.140000000000001	0.00252027461470541	0.00133
0.142000000000001	0.0027085849952891	0.00146000000000007
0.144	0.00291104926796396	0.00161000000000005
0.146	0.0031286298577124	0.00178000000000003
0.148	0.00336234554122343	0.00196
0.1501	0.00362629253360585	0.00215999999999998
0.1521	0.00389652216814454	0.00236999999999995
0.154099999999999	0.00418637026603045	0.00259999999999987
0.156099999999999	0.00449711191405183	0.00283999999999991
0.158099999999999	0.00483009290944522	0.00310999999999978
0.160099999999999	0.00518673290195385	0.00339999999999974
0.162099999999998	0.00556852864008852	0.00370999999999969
0.164099999999998	0.00597705732397564	0.00403999999999964
0.166099999999998	0.00641398006721187	0.00439999999999961
0.168099999999998	0.00688104547017856	0.00478999999999956
0.170099999999998	0.00738009330730406	0.00520999999999952
0.172099999999997	0.0079130583307966	0.00565999999999921
0.174099999999997	0.0084819741934046	0.00613999999999943
0.176099999999997	0.00908897749279633	0.00665999999999908
0.178099999999997	0.0097363119401856	0.00721999999999901
0.180099999999996	0.0104263326558643	0.00780999999999895
0.182099999999996	0.0111615105943374	0.00844999999999888
0.184099999999996	0.0119444371017907	0.00912999999999881
0.186099999999996	0.0127778286086542	0.00985999999999875
0.188099999999996	0.0136645314600618	0.0106499999999982
0.190099999999995	0.014607526887035	0.0114799999999982
0.192099999999995	0.0156099361212588	0.0123699999999981
0.194099999999995	0.0166750256563454	0.0133199999999975
0.196099999999995	0.0178062126585152	0.0143399999999974
0.198099999999995	0.0190070705296566	0.0154199999999967
0.200099999999994	0.0202813346257557	0.0165699999999966
0.202099999999994	0.0216329081337161	0.0177899999999964
0.204099999999994	0.0230658681096205	0.0190999999999957
0.206099999999994	0.0245844716815094	0.0204799999999955
0.208099999999993	0.026193162419781	0.0219499999999954
0.210099999999993	0.0278965768783394	0.0235199999999945
0.212099999999993	0.0296995513096432	0.0251799999999937
0.214099999999993	0.0316071285568237	0.0269399999999935
0.216099999999993	0.0336245651260642	0.0287999999999933
0.218099999999992	0.0357573384424473	0.0307799999999923
0.220099999999992	0.0380111542924891	0.0328799999999913
0.222099999999992	0.0403919544565918	0.0350899999999911
0.224099999999992	0.0429059245346526	0.03743999999999
0.226099999999991	0.0455595019680713	0.0399299999999889
0.228099999999991	0.0483593842613973	0.0425499999999886
0.230099999999991	0.0513125374068534	0.0453299999999874
0.232099999999991	0.0544262045149657	0.0482599999999861
0.234099999999991	0.0577079146545078	0.0513599999999849
0.23609999999999	0.0611654919049557	0.0546199999999845
0.23809999999999	0.0648070646246163	0.0580699999999821
0.24009999999999	0.0686410749375592	0.0617099999999808
0.24209999999999	0.0726762884424421	0.0655399999999793
0.244099999999989	0.0769218041462673	0.0695799999999778
0.246099999999989	0.0813870646260502	0.0738299999999762
0.248099999999989	0.0860818664213078	0.0783099999999747
0.250099999999989	0.0910163706601989	0.083019999999973
0.252099999999989	0.0962011139220532	0.0879799999999714
0.254099999999988	0.101647019338922	0.0931999999999684
0.256099999999988	0.107365407938669	0.0986799999999668
0.258099999999988	0.113368010231976	0.104439999999965
0.260099999999988	0.11959956753343	0.110499999999962
0.262099999999987	0.126205650086114	0.116859999999959
0.264099999999987	0.133133676518607	0.123529999999957
0.266099999999987	0.140397135768822	0.130539999999953
0.268099999999987	0.148009987957838	0.137889999999951
0.270099999999987	0.155986677486412	0.145599999999948
0.272099999999986	0.164342146387511	0.153689999999943
0.274099999999986	0.173091847935542	0.16215999999994
0.276099999999986	0.182251760512642	0.171039999999935
0.278099999999986	0.191838401732008	0.180339999999931
0.280099999999985	0.201868842817856	0.190069999999929
0.282099999999985	0.212360723241189	0.200269999999923
0.284099999999985	0.22333226561004	0.210939999999918
0.286099999999985	0.234802290812387	0.222099999999913
0.288099999999985	0.246790233409336	0.233769999999909
0.290099999999984	0.259316157275603	0.245979999999903
0.292099999999984	0.261997781113982	0.258739999999897
0.294099999999984	0.275402263721256	0.272069999999891
0.296099999999984	0.289403993961963	0.285999999999884
0.298099999999983	0.304025661991296	0.300559999999876
0.300099999999983	0.31929066976215	0.31574999999987
0.302099999999983	0.335223148158627	0.331609999999863
0.304099999999983	0.351847974344274	0.348159999999856
0.306099999999983	0.369190789315916	0.365429999999847
0.308099999999982	0.387278015652792	0.383439999999838
0.310099999999982	0.406136875449457	0.402229999999828
0.312099999999982	0.425795408419596	0.42180999999982
0.314099999999982	0.446282490156471	0.44221999999981
0.316099999999982	0.467548279564019	0.4634899999998
0.318099999999981	0.489780596999081	0.485649999999788
0.320099999999981	0.512933194861796	0.508729999999777
0.322099999999981	0.537038467618325	0.532759999999765
0.324099999999981	0.562129737646438	0.557769999999754
0.32609999999998	0.588241273946958	0.583809999999739
0.32809999999998	0.612050805407	0.610899999999726
0.33009999999998	0.637675274718634	0.639089999999712
0.33209999999998	0.666927836724784	0.668399999999697
0.33409999999998	0.697345413200057	0.698879999999683
0.336099999999979	0.728967278414438	0.730569999999664
0.338099999999979	0.76183376640022	0.76349999999965
0.340099999999979	0.795986289148336	0.79772999999963
0.342099999999979	0.83146735455052	0.833279999999614
0.344099999999978	0.868320584036568	0.870209999999594
0.346099999999978	0.906590729852236	0.908559999999574
0.348099999999978	0.946323691919359	0.948369999999555
0.350099999999978	0.987566534215607	0.989699999999533
0.352099999999978	1.02539859102867	1.03258999999951
0.354099999999977	1.06970146279183	1.07708999999949
0.356099999999977	1.11566114664215	1.12325999999946
0.358099999999977	1.16332954437882	1.17112999999944
0.360099999999977	1.20418520479325	1.22077999999941
0.362099999999976	1.25525169544166	1.27223999999938
0.364099999999976	1.30818685755144	1.32557999999936
0.366099999999976	1.36304753853241	1.38085999999933
0.368099999999976	1.41989186437404	1.43812999999929
0.370099999999976	1.47877924691744	1.49744999999926
0.372099999999975	1.53977038964649	1.55887999999923
0.374099999999975	1.6015180362335	1.62248999999919
0.376099999999975	1.66085740131069	1.68832999999916
0.378099999999975	1.7283893551509	1.75647999999912
