t	Sg	Sg	Sg
0	0	0	0
0.0001	0	0	0
0.0002	0	0	0
0.0003	0	0	0
0.0004	0	0	0
0.0005	0	0	0
0.0006	0	0	0
0.0007	0	0	0
0.0008	0	0	0
0.0009	0	0	0
0.001	0	0	0
0.0011	0	0	0
0.0012	0	0	0
0.0013	0	0	0
0.0014	0	0	0
0.0015	0	0	0
0.0016	0	0	0
0.0017	0	0	0
0.0018	0	0	0
0.0019	0	0	0
0.002	0	0	0
0.0021	0	0	0
0.0022	0	0	0
0.0023	0	0	0
0.0024	9.08384653621942	0.00908389432440482	9.08389437219301E-06
0.0025	9.08384442158263	0.00908389432228064	9.08389437219089E-06
0.0026	9.0838739399085	0.00908392397450082	9.08392402454517E-06
0.0027	9.08390636816511	0.00908395654574802	9.08395659593553E-06
0.0028	9.08394186700126	0.00908399219702052	9.08399224736062E-06
0.0029	9.08398059950551	0.00908403109176767	9.08403114227013E-06
0.003	9.0840227311546	0.00908407339583851	9.08407344651346E-06
0.0031	9.08406842976473	0.00908411927743351	9.08411932829146E-06
0.0032	9.0841178654458	0.00908416890705897	9.08416895811084E-06
0.0033	9.08417121055797	0.00908422245748399	9.08422250874109E-06
0.0034	9.08422863967065	0.00908428010369965	9.0842801551737E-06
0.0035	9.0842903295236	0.00908434202288039	9.08434207458354E-06
0.0036	9.08435645898989	0.00908440839434729	9.08440844629214E-06
0.0037	9.08442720904081	0.00908447939953314	9.08447945173272E-06
0.0038	9.08450276271235	0.0090845552219492	9.08455527441704E-06
0.0039	9.08458330507331	0.00908463604715356	9.08463609990365E-06
0.004	9.08466902319476	0.00908472206272081	9.08472211576764E-06
0.0041	9.08476010612102	0.00908481345821322	9.08481351157179E-06
0.0042	9.08485674484174	0.00908491042515305	9.08491047883888E-06
0.0043	9.08495913226525	0.00908501315699613	9.08501321102528E-06
0.0044	9.08506746319301	0.00908512184910651	9.08512190349559E-06
0.0045	9.08518193429513	0.00908523669873211	9.0852367534983E-06
0.0046	9.0853027440868	0.00908535790498146	9.08535796014253E-06
0.0047	9.08543009290573	0.00908548566880126	9.08548572437557E-06
0.0048	9.08556418289045	0.00908562019295487	9.08562024896139E-06
0.0049	9.08570521795939	0.00908576168200161	9.08576173845995E-06
0.005	9.08585340379081	0.00908591034227683	9.08591039920723E-06
0.0051	9.08600894780343	0.00908606638187276	9.08606643929613E-06
0.0052	9.0861720591378	0.00908623001062002	9.08623006855795E-06
0.0053	9.08634294863834	0.00908640144006986	9.08640149854462E-06
0.0054	9.08652181524768	0.00908658088347696	9.08658094251155E-06
0.0055	9.08650703075744	0.00908676855572835	9.086768615401E-06
0.0056	9.08670242385077	0.00908676854022965	9.0867686153855E-06
0.0057	9.08690645286979	0.00908697331949644	9.08697339540552E-06
0.0058	9.08711933695182	0.00908718698235315	9.08718705904382E-06
0.0059	9.08734129684426	0.00908740975033241	9.08740982783378E-06
0.006	9.08757255489059	0.00908764184657919	9.08764192492119E-06
0.0061	9.08781333501679	0.00908788349583745	9.08788357505079E-06
0.0062	9.08806386271819	0.00908813492443715	9.08813500455335E-06
0.0063	9.08832436504686	0.00908839636028169	9.08839644133312E-06
0.0064	9.08859507059926	0.00908866803283584	9.08866811485571E-06
0.0065	9.08887620950443	0.00908895017311401	9.08895025613639E-06
0.0066	9.08916801341251	0.00908924301366887	9.08924309772874E-06
0.0067	9.08947071548363	0.00908954678858048	9.08954687371369E-06
0.0068	9.08978455037715	0.00908986173344561	9.08986181968895E-06
0.00690000000000001	9.09010975424128	0.00909018808536755	9.09018817275872E-06
0.00700000000000001	9.09044656470304	0.00909052608294615	9.09052617152384E-06
0.00710000000000001	9.09079522085851	0.00909087596626828	9.09087605607211E-06
0.00720000000000001	9.09115596326341	0.0090912379768985	9.0912380679691E-06
0.00730000000000001	9.09152903392403	0.00909161235787013	9.09161245024913E-06
0.00740000000000001	9.09191467628838	0.00909199935367657	9.09199944740662E-06
0.00750000000000001	9.09231313523767	0.00909239921026294	9.09239930538773E-06
0.00760000000000001	9.0927246570781	0.00909281217501792	9.0928122715822E-06
0.00770000000000001	9.09314948953287	0.00909323849676599	9.09323859481558E-06
0.00780000000000001	9.09358788173448	0.00909367842575979	9.09367852534162E-06
0.00790000000000001	9.09404008421729	0.00909413221367288	9.09413231483498E-06
0.00800000000000001	9.09450634891032	0.00909460011359265	9.0946002163842E-06
0.00810000000000001	9.09498692913031	0.00909508238001351	9.09508248448483E-06
0.00820000000000001	9.095482079575	0.00909557926883032	9.09557937503289E-06
0.00830000000000001	9.09599205631667	0.00909609103733205	9.09609114531856E-06
0.0084	9.09651711679588	0.00909661794419567	9.09661805402002E-06
0.0085	9.09705751981546	0.00909716024948028	9.09716036119757E-06
0.0086	9.09761352553467	0.00909771821462139	9.097718328288E-06
0.0087	9.09818539546365	0.00909829210242552	9.09829221809908E-06
0.0088	9.09877339245803	0.00909888217706491	9.09888229480433E-06
0.0089	9.09937778071372	0.00909948870407249	9.09948882393801E-06
0.009	9.09999882576193	0.00910011195033705	9.10011207239023E-06
0.0091	9.10063679446446	0.00910075218409859	9.10075230840233E-06
0.0092	9.10129195500899	0.00910140967494383	9.10140980156239E-06
0.0093	9.1019645769048	0.009102084693802	9.10208482280105E-06
0.0094	9.10265493097847	0.00910277751294073	9.10277764438733E-06
0.0095	9.10336328936989	0.00910348840596214	9.1034885399248E-06
0.0096	9.10408992552839	0.0091042176477992	9.10421778434784E-06
0.0097	9.10483511420907	0.00910496551471208	9.10496565391814E-06
0.0098	9.10559913146931	0.00910573228428489	9.10573242622128E-06
