t	T	T	T
0	894.5	894.5	894.5
0.0001	894.4955	894.4955	894.4955
0.0002	894.491	894.491	894.491
0.0003	894.4865	894.4865	894.4865
0.0004	894.482	894.482	894.482
0.0005	894.4775	894.4775	894.4775
0.0006	894.473	894.473	894.473
0.0007	894.4685	894.4685	894.4685
0.0008	894.464	894.464	894.464
0.0009	894.4595	894.4595	894.4595
0.001	894.455	894.455	894.455
0.0011	894.4505	894.4505	894.4505
0.0012	894.446	894.446	894.446
0.0013	894.4415	894.4415	894.4415
0.0014	894.437	894.437	894.437
0.0015	894.4325	894.4325	894.4325
0.0016	894.428	894.428	894.428
0.0017	894.4235	894.4235	894.4235
0.0018	894.419	894.419	894.419
0.0019	894.4145	894.4145	894.4145
0.002	894.41	894.41	894.41
0.0021	894.4055	894.4055	894.4055
0.0022	894.401	894.401	894.401
0.0023	894.3965	894.3965	894.3965
0.0024	894.392	894.392	894.392
0.0025	894.3875	894.3875	894.3875
0.0026	894.383002124566	894.383000002078	894.383000000002
0.0027	894.378504333211	894.378500004238	894.378500000004
0.0028	894.374006625905	894.37400000648	894.374000000006
0.0029	894.369509002619	894.369500008805	894.369500000009
0.003	894.365011463323	894.365000011211	894.365000000011
0.0031	894.360514007986	894.360500013699	894.360500000013
0.0032	894.356016636579	894.35600001627	894.356000000016
0.0033	894.351519349074	894.351500018922	894.351500000019
0.0034	894.34702214544	894.347000021656	894.347000000021
0.0035	894.342525025648	894.342500024472	894.342500000024
0.0036	894.338027989671	894.33800002737	894.338000000027
0.0037	894.33353103748	894.33350003035	894.33350000003
0.0038	894.329034169045	894.329000033412	894.329000000033
0.0039	894.32453738434	894.324500036555	894.324500000036
0.004	894.320040683335	894.320000039781	894.320000000039
0.0041	894.315544066004	894.315500043088	894.315500000043
0.0042	894.311047532318	894.311000046477	894.311000000046
0.0043	894.306551082251	894.306500049947	894.30650000005
0.0044	894.302054715776	894.302000053499	894.302000000053
0.0045	894.297558432866	894.297500057133	894.297500000057
0.0046	894.293062233493	894.293000060849	894.29300000006
0.0047	894.288566117633	894.288500064646	894.288500000064
0.0048	894.284070085258	894.284000068525	894.284000000068
0.0049	894.279574136344	894.279500072485	894.279500000072
0.005	894.275078270864	894.275000076527	894.275000000076
0.0051	894.270582488794	894.270500080651	894.27050000008
0.0052	894.266086790108	894.266000084856	894.266000000084
