t	fd	fd	fd
0	0	0	0
0.0001	0	0	0
0.0002	0	0	0
0.0003	0	0	0
0.0004	0	0	0
0.0005	0	0	0
0.0006	0	0	0
0.0007	0	0	0
0.0008	0	0	0
0.0009	0	0	0
0.001	0	0	0
0.0011	0	0	0
0.0012	0	0	0
0.0013	0	0	0
0.0014	0	0	0
0.0015	0	0	0
0.0016	0	0	0
0.0017	0	0	0
0.0018	0	0	0
0.0019	0	0	0
0.002	0	0	0
0.0021	0	0	0
0.0022	0	0	0
0.0023	0	0	0
0.0024	0	0	0
0.0025	2.32789671513581E-07	2.33840956813823E-10	2.33842009481221E-13
0.0026	2.27559315546018E-07	2.28725861022474E-10	2.28738878522899E-13
0.0027	2.22123483184854E-07	2.23410147644018E-10	2.23435613986364E-13
0.0028	2.16482388847941E-07	2.1789402301721E-10	2.17932383738334E-13
0.0029	2.10636248674021E-07	2.12177695120348E-10	2.12229391287644E-13
0.003	2.04585280466696E-07	2.06261373397948E-10	2.06326841424957E-13
0.0031	1.98329703640762E-07	2.00145268898444E-10	2.00224981285667E-13
0.0032	1.91869739171087E-07	1.93829594023413E-10	1.93923978275512E-13
0.0033	1.85205609543366E-07	1.87314562639426E-10	1.8742408452246E-13
0.0034	1.78337538707234E-07	1.80600389902578E-10	1.80725466848991E-13
0.0035	1.71265752030692E-07	1.73687292343784E-10	1.73828335566584E-13
0.0036	1.63990476256719E-07	1.66575487688431E-10	1.66732949878862E-13
0.0037	1.56511939460921E-07	1.59265194854316E-10	1.59439475337521E-13
0.0038	1.48830371010935E-07	1.51756634059105E-10	1.51948175607284E-13
0.0039	1.40946001526994E-07	1.44050026533155E-10	1.44259267189701E-13
0.004	1.32859062843773E-07	1.36145594626669E-10	1.3637291393026E-13
0.0041	1.24569787973365E-07	1.28043561719307E-10	1.28289385830456E-13
0.0042	1.16078411069267E-07	1.19744152292369E-10	1.20008901502962E-13
0.0043	1.07385167391433E-07	1.11247591785561E-10	1.11531622686321E-13
0.0044	9.84902932722222E-08	1.02554106499875E-10	1.02857825323002E-13
0.0045	8.93940260831622E-08	9.36639237955711E-11	9.39877297533413E-14
0.0046	8.00966042025885E-08	8.45772717639289E-11	8.4921556812744E-14
0.0047	7.05982669840796E-08	7.52943794950994E-11	7.56595277927813E-14
0.0048	6.08992547255563E-08	6.58154768019293E-11	6.62018644030669E-14
0.0049	5.09998086392314E-08	5.6140794245527E-11	5.65487887338961E-14
0.005	4.09001708218662E-08	4.62705633022664E-11	4.67005232195609E-14
0.0051	3.06005842259221E-08	3.62050160047027E-11	3.665729060233E-14
0.0052	2.01012926312979E-08	2.59443851766961E-11	2.64193138970501E-14
0.0053	9.40254061743849E-09	1.54889043407063E-11	1.59868874470249E-14
0.0054	0	4.83880761879479E-12	5.36016496681009E-15
0.0055	1.62707020165073E-06	0	0
0.0056	1.61648513068108E-06	1.7056329081592E-09	1.70563818721113E-12
0.0057	1.60571818266112E-06	1.69515610841254E-09	1.6951855797185E-12
0.0058	1.59476959825497E-06	1.68450297643974E-09	1.68455697864158E-12
0.0059	1.58363961873264E-06	1.6736737418941E-09	1.67375254956922E-12
0.006	1.57232848594415E-06	1.66266863500076E-09	1.66277256769319E-12
0.0061	1.56083644229417E-06	1.65148788642487E-09	1.65161725398438E-12
0.0062	1.54916373071708E-06	1.64013172713066E-09	1.64028682944933E-12
0.0063	1.53731059465214E-06	1.62860038846733E-09	1.62878151510172E-12
0.0064	1.52527727801921E-06	1.61689410220485E-09	1.61710153193418E-12
0.0065	1.51306402519485E-06	1.60501310045287E-09	1.60524710089041E-12
0.0066	1.50067108098828E-06	1.59295761551347E-09	1.5932184428376E-12
0.0067	1.48809869061823E-06	1.58072788003854E-09	1.58101584131801E-12
0.0068	1.4753470996896E-06	1.56832412694673E-09	1.56863945512084E-12
0.00690000000000001	1.46241655417073E-06	1.55574658940063E-09	1.55608950472046E-12
0.00700000000000001	1.44930730037054E-06	1.54299550071848E-09	1.54336627601544E-12
0.00710000000000001	1.43601958491645E-06	1.53007109441464E-09	1.530469990962E-12
0.00720000000000001	1.42255365473206E-06	1.51697360417737E-09	1.51740080378672E-12
0.00730000000000001	1.40890975701533E-06	1.50370326391535E-09	1.50415900250428E-12
0.00740000000000001	1.39508813921695E-06	1.49026030753157E-09	1.49074480828107E-12
0.00750000000000001	1.38108904901898E-06	1.47664496917551E-09	1.47715844196867E-12
0.00760000000000001	1.36691273431347E-06	1.46285748294436E-09	1.46340012407844E-12
0.00770000000000001	1.35255944318158E-06	1.44889808307086E-09	1.44947007475617E-12
0.00780000000000001	1.33802942387295E-06	1.43476700375988E-09	1.4353685868973E-12
0.00790000000000001	1.32332292478477E-06	1.42046447938606E-09	1.42109580763225E-12
0.00800000000000001	1.30844019444178E-06	1.40599074418066E-09	1.40665203088013E-12
0.00810000000000001	1.29338148147582E-06	1.39134603243147E-09	1.39203740098443E-12
0.00820000000000001	1.27814703460592E-06	1.37653057831247E-09	1.37725221278837E-12
0.00830000000000001	1.26273710261843E-06	1.36154461601562E-09	1.36229668558952E-12
0.0084	1.24715193434742E-06	1.34638837965587E-09	1.34717103814583E-12
0.0085	1.23139177865535E-06	1.33106210325134E-09	1.33187548865118E-12
0.0086	1.21545688441346E-06	1.31556602062299E-09	1.31641033536491E-12
0.0087	1.19934750048303E-06	1.29990036561607E-09	1.30077571555416E-12
0.0088	1.18306387569597E-06	1.28406537175817E-09	1.28497184557499E-12
0.0089	1.16660625883659E-06	1.26806127248282E-09	1.2689990245901E-12
0.009	1.14997489862237E-06	1.25188830102972E-09	1.25285746947386E-12
0.0091	1.13317004368605E-06	1.23554669051106E-09	1.23654739639137E-12
0.0092	1.11619194255674E-06	1.21903667372388E-09	1.22006902077463E-12
0.0093	1.09904084364219E-06	1.20235848321476E-09	1.20342255729867E-12
0.0094	1.0817169952106E-06	1.18551235134939E-09	1.18660821985777E-12
0.0095	1.06422064537274E-06	1.16849851020864E-09	1.16962631062535E-12
0.0096	1.04655204206421E-06	1.15131719157026E-09	1.15247695370385E-12
0.0097	1.02871143302785E-06	1.1339686267996E-09	1.13516045145676E-12
0.0098	1.01069906579631E-06	1.1164530471034E-09	1.11767701627645E-12
0.0099	9.92515187674828E-07	1.09877068333354E-09	1.10002685965588E-12
0.01	9.74160045723981E-07	1.08092176587537E-09	1.08221019216508E-12
0.0101	9.55633886742646E-07	1.06290652481552E-09	1.06422722342769E-12
0.0102	9.36936957251019E-07	1.04472518983224E-09	1.04607825771937E-12
0.0103	9.18069503474137E-07	1.02637799017783E-09	1.0277634080001E-12
0.0104	8.99031771324974E-07	1.00786515475855E-09	1.00928297840118E-12
0.0105	8.7982400638803E-07	9.89186912022514E-10	9.90637176379189E-13
0.0106	8.60446453903073E-07	9.70343489942369E-10	9.7182620832708E-13
0.0107	8.40899358748707E-07	9.51335116098333E-10	9.5285027955091E-13
0.0108	8.2118296542646E-07	9.32162017462367E-10	9.33709695459192E-13
0.0109	8.01297518044701E-07	9.12824420581683E-10	9.14404660962626E-13
0.011	7.81243260302789E-07	8.93322551565514E-10	8.94935276743335E-13
0.0111	7.61020435475441E-07	8.73656635863971E-10	8.75301847531034E-13
