t	fd	fd	fd
0.0112	7.40629286397031E-07	8.53826898457416E-10	8.55504574696897E-13
0.0113	7.20070055446206E-07	8.33833563843477E-10	8.35543764246551E-13
0.0114	6.99342984530415E-07	8.13676855810622E-10	8.15419510131324E-13
0.0115	6.78448315070899E-07	7.93356997633347E-10	7.95132117692605E-13
0.0116	6.57386287987345E-07	7.72874212059463E-10	7.74681785102248E-13
0.0117	6.36157143683001E-07	7.52228721187894E-10	7.54068709214006E-13
0.0118	6.14761122030016E-07	7.31420746341947E-10	7.33293085540673E-13
0.0119	5.93198462354362E-07	7.10450508495085E-10	7.12355219656115E-13
0.012	5.7146940342163E-07	6.89318227816575E-10	6.91255193810808E-13
0.0121	5.49574183422176E-07	6.68024123765044E-10	6.69993312635317E-13
0.0122	5.27513039957063E-07	6.4656841530093E-10	6.48569767888606E-13
0.0123	5.05286210023544E-07	6.24951320532666E-10	6.26984749874796E-13
0.0124	4.82893930001242E-07	6.03173056813265E-10	6.0523856347167E-13
0.0125	4.60336435637863E-07	5.81233841075507E-10	5.8333139783912E-13
0.0126	4.37613962035505E-07	5.59133889237936E-10	5.61263440614379E-13
0.0127	4.1472674363695E-07	5.36873416657195E-10	5.39034877889557E-13
0.0128	3.91675014211852E-07	5.14452637760721E-10	5.16645894189203E-13
0.0129	3.68459006843268E-07	4.91871766510281E-10	4.94096793112216E-13
0.013	3.4507895391455E-07	4.69131015789814E-10	4.71387636224146E-13
0.0131	3.21535087095876E-07	4.46230597872807E-10	4.48518725721213E-13
0.0132	2.97827637330882E-07	4.23170724167631E-10	4.25490241462702E-13
0.0133	2.73956834824037E-07	3.99951605326778E-10	4.02302485977111E-13
0.0134	2.49922909027511E-07	3.76573451235489E-10	3.78955637567135E-13
0.0135	2.25726088628534E-07	3.53036470748105E-10	3.55449872812185E-13
0.0136	2.01366601536747E-07	3.2934087205079E-10	3.3178536654637E-13
0.0137	1.76844674871669E-07	3.05486862526016E-10	3.07962291836487E-13
0.0138	1.52160534950017E-07	2.81474648483607E-10	2.8398094890021E-13
0.0139	1.27314407273924E-07	2.57304435531935E-10	2.59841509022974E-13
0.014	1.02306516518495E-07	2.32976428309076E-10	2.35544141657344E-13
0.0141	7.71370865198679E-08	2.08490830599932E-10	2.11089014401237E-13
0.0142	5.18063402631297E-08	1.83847845192807E-10	1.86476425580895E-13
0.0143	2.63144998707391E-08	1.59047674131995E-10	1.61706540834133E-13
0.0144	6.61786590947704E-10	1.34090518441867E-10	1.36779523879267E-13
0.0145	0	1.08976578247921E-10	1.11695536493544E-13
0.0146	1.76236847276296E-05	8.37060526299371E-11	8.64548747524261E-14
0.0147	1.76044155872421E-05	5.82791398821435E-11	6.10576982962471E-14
0.0148	1.75850477052982E-05	3.26960372302339E-11	3.55041647601607E-14
0.0149	1.75655812865538E-05	6.95694081734064E-12	9.79442975278132E-15
0.015	1.75460165349753E-05	0	0
0.0151	1.75263536537294E-05	1.92289822901753E-08	1.92290641938002E-11
0.0152	1.75065928451726E-05	1.92100488481508E-08	1.92101602841232E-11
0.0153	1.74867343108409E-05	1.91910237400046E-08	1.91911645705931E-11
0.0154	1.746677825144E-05	1.91719071488994E-08	1.91720772271201E-11
0.0155	1.7446724866835E-05	1.91526992572089E-08	1.91528984266153E-11
0.0156	1.74265743560408E-05	1.9133400246406E-08	1.91336283409807E-11
0.0157	1.7406326917212E-05	1.91140102971328E-08	1.91142671672901E-11
0.0158	1.73859827476335E-05	1.90945295891396E-08	1.90948150757299E-11
0.0159	1.73655420437109E-05	1.90749583013301E-08	1.90752722354443E-11
0.016	1.73450050009612E-05	1.90552966117002E-08	1.9055638841228E-11
0.0161	1.7324371814003E-05	1.90355446973572E-08	1.90359150604469E-11
0.0162	1.73036426765479E-05	1.90157027345112E-08	1.90161010593935E-11
0.0163	1.72828177813912E-05	1.89957708984956E-08	1.89961970304904E-11
0.0164	1.72618973204028E-05	1.89757493637051E-08	1.89762031381901E-11
0.0165	1.72408814845183E-05	1.89556383036155E-08	1.89561195458414E-11
0.0166	1.72197704637306E-05	1.89354378908038E-08	1.89359464434044E-11
0.0167	1.71985644470811E-05	1.89151482968584E-08	1.89156839644318E-11
0.0168	1.7177263622651E-05	1.88947696925109E-08	1.88953323250344E-11
0.0169	1.71558681775533E-05	1.88743022474618E-08	1.88748916564843E-11
0.017	1.71343782979242E-05	1.88537461305133E-08	1.88543621452086E-11
0.0171	1.71127941689151E-05	1.88331015095073E-08	1.88337439484015E-11
0.0172	1.70911159746845E-05	1.88123685512897E-08	1.88130372508362E-11
0.0173	1.70693438983902E-05	1.879154742179E-08	1.87922422076917E-11
0.0174	1.70474781221815E-05	1.87706382858995E-08	1.87713589729558E-11
0.0175	1.70255188271913E-05	1.87496413075814E-08	1.87503877286825E-11
0.0175999999999999	1.70034661935288E-05	1.87285566497453E-08	1.87293286267894E-11
0.0176999999999999	1.6981320400272E-05	1.87073844743909E-08	1.87081818179756E-11
0.0177999999999999	1.69590816254605E-05	1.86861249424541E-08	1.86869474814949E-11
0.0178999999999999	1.6936750046088E-05	1.86647782138897E-08	1.86656257659225E-11
0.0179999999999999	1.69143258380955E-05	1.86433444476655E-08	1.86442168185882E-11
0.0180999999999999	1.68918091763642E-05	1.86218238016972E-08	1.86227208158675E-11
0.0181999999999999	1.68692002347091E-05	1.86002164328724E-08	1.86011379029143E-11
0.0182999999999999	1.68464991858718E-05	1.85785224971057E-08	1.85794682236113E-11
0.0183999999999999	1.68237062015139E-05	1.85567421492428E-08	1.85577119513797E-11
0.0184999999999999	1.68008214522112E-05	1.8534875543116E-08	1.85358692588675E-11
0.0185999999999999	1.67778451074468E-05	1.85129228315085E-08	1.85139402556124E-11
0.0186999999999999	1.67547773356051E-05	1.84908841661807E-08	1.84919251120079E-11
0.0187999999999999	1.67316183039657E-05	1.84687596978022E-08	1.84698239976512E-11
0.0188999999999999	1.67083681786977E-05	1.84465495760101E-08	1.844763704965E-11
0.0189999999999999	1.66850271248536E-05	1.84242539494363E-08	1.84253644037836E-11
0.0190999999999999	1.66615953063638E-05	1.84018729655758E-08	1.84030061944942E-11
0.0191999999999999	1.66380728860309E-05	1.83794067709097E-08	1.83805625870883E-11
0.0192999999999999	1.66144600255248E-05	1.83568555108371E-08	1.83580337460387E-11
0.0193999999999999	1.65907568853766E-05	1.83342193296703E-08	1.83354198024214E-11
0.0194999999999999	1.65669636249742E-05	1.83114983706636E-08	1.83127208859452E-11
0.0195999999999999	1.6543080402557E-05	1.82886927760091E-08	1.82899371578519E-11
0.0196999999999999	1.6519107375211E-05	1.82658026868007E-08	1.82670687454403E-11
0.0197999999999999	1.64950446988642E-05	1.82428282430626E-08	1.82441158078779E-11
0.0198999999999999	1.64708925282818E-05	1.82197695837128E-08	1.82210784700256E-11
0.0199999999999999	1.6446651017062E-05	1.8196626846593E-08	1.81979568553417E-11
0.0200999999999999	1.64223203176313E-05	1.81734001684313E-08	1.81747511196589E-11
0.0201999999999999	1.63979005812411E-05	1.81500896849066E-08	1.81514613839568E-11
0.0202999999999999	1.63733919579625E-05	1.8126695530578E-08	1.8128087801928E-11
0.0203999999999999	1.63487945966834E-05	1.81032178388815E-08	1.81046304920473E-11
0.0204999999999999	1.63241086451043E-05	1.80796567421607E-08	1.80810896058428E-11
0.0205999999999999	1.62993342497348E-05	1.80560123716643E-08	1.80574652592595E-11
0.0206999999999999	1.627447155589E-05	1.80322848575441E-08	1.80337575667932E-11
0.0207999999999999	1.62495207076872E-05	1.80084743288165E-08	1.80099666765057E-11
0.0208999999999999	1.6224481848043E-05	1.79845809134311E-08	1.79860927355245E-11
0.0209999999999999	1.61993551186698E-05	1.79606047381975E-08	1.79621358546627E-11
0.0210999999999999	1.61741406600732E-05	1.79365459288185E-08	1.79380961432602E-11
0.0211999999999999	1.61488386115494E-05	1.79124046098881E-08	1.79139737449101E-11
0.0212999999999999	1.61234491111821E-05	1.78881809048536E-08	1.78897688022505E-11
0.0213999999999999	1.60979722958406E-05	1.78638749361216E-08	1.78654814208719E-11
0.0214999999999999	1.60724083011773E-05	1.78394868248759E-08	1.78411117048693E-11
0.0215999999999999	1.60467572616253E-05	1.78150166912933E-08	1.78166597932829E-11
0.0216999999999999	1.60210193103971E-05	1.77904646543238E-08	1.7792125787554E-11
0.0217999999999999	1.59951945794818E-05	1.77658308318714E-08	1.7767509824417E-11
0.0218999999999999	1.59692831996444E-05	1.77411153407208E-08	1.77428120396243E-11
0.0219999999999999	1.59432853004237E-05	1.77163182965353E-08	1.77180325307767E-11
0.0220999999999999	1.59172010101311E-05	1.76914398138194E-08	1.76931713939493E-11
0.0221999999999999	1.58910304558492E-05	1.76664800059545E-08	1.76682287612112E-11
0.0222999999999999	1.58647737634314E-05	1.7641438985273E-08	1.76432047259269E-11
0.0223999999999999	1.58384310575E-05	1.7616316862946E-08	1.76180994178074E-11
0.0224999999999999	1.58120024614466E-05	1.75911137490202E-08	1.75929129655571E-11
0.0225999999999999	1.57854880974307E-05	1.75658297524168E-08	1.75676454586217E-11
0.0226999999999999	1.57588880863798E-05	1.75404649809702E-08	1.75422970233251E-11
0.0227999999999999	1.57322025479887E-05	1.75150195413899E-08	1.75168677463617E-11
0.0228999999999999	1.57054316007201E-05	1.74894935392602E-08	1.74913577516603E-11
0.0229999999999999	1.56785753618043E-05	1.74638870790402E-08	1.74657671231497E-11
0.0230999999999999	1.56516339472395E-05	1.74382002641035E-08	1.744009598235E-11
0.0231999999999999	1.56246074717923E-05	1.74124331967389E-08	1.741434441041E-11
0.0232999999999999	1.55974960489985E-05	1.7386585978033E-08	1.73885125264291E-11
0.0233999999999999	1.55702997911635E-05	1.7360658708068E-08	1.73626004484726E-11
0.0234999999999999	1.55430188093638E-05	1.73346514857646E-08	1.73366082536766E-11
0.0235999999999999	1.55156532134479E-05	1.7308564409003E-08	1.7310536017592E-11
0.0236999999999999	1.54882031120376E-05	1.72823975744633E-08	1.72843838947049E-11
0.0237999999999999	1.54606686125294E-05	1.72561510777877E-08	1.72581519176676E-11
0.0238999999999999	1.54330498210967E-05	1.72298250135419E-08	1.72318402388834E-11
0.0239999999999999	1.54053468426912E-05	1.72034194751768E-08	1.72054489286262E-11
0.0240999999999999	1.53775597810451E-05	1.71769345550293E-08	1.71789780555707E-11
0.0241999999999999	1.53496887386734E-05	1.71503703443658E-08	1.71524277691661E-11
0.0242999999999999	1.53217338168765E-05	1.71237269334255E-08	1.71257981356149E-11
0.0243999999999999	1.52936951157423E-05	1.70970044112991E-08	1.70990892195148E-11
0.0244999999999999	1.52655727341497E-05	1.70702028660137E-08	1.70723011256023E-11
0.0245999999999999	1.52373667697714E-05	1.70433223845772E-08	1.70454339575593E-11
0.0246999999999999	1.52090773190767E-05	1.70163630528561E-08	1.70184877758915E-11
0.0247999999999999	1.51807044773353E-05	1.69893249557462E-08	1.69914626818005E-11
0.0248999999999999	1.51522483386211E-05	1.6962208177007E-08	1.69643587754313E-11
0.0249999999999999	1.51237089958154E-05	1.69350127993496E-08	1.69371761131871E-11
0.0250999999999999	1.50950865406115E-05	1.69077389044827E-08	1.69099147927279E-11
0.0251999999999999	1.50663810635185E-05	1.68803865730309E-08	1.68825749106567E-11
0.0252999999999999	1.50375926538659E-05	1.68529558846245E-08	1.68551565192672E-11
0.0253999999999999	1.50087213998083E-05	1.68254469177738E-08	1.68276597126754E-11
0.0254999999999999	1.497976738833E-05	1.67978597500899E-08	1.68000845403086E-11
0.0255999999999999	1.49507307052502E-05	1.6770194458072E-08	1.67724311376171E-11
0.0256999999999999	1.49216114352282E-05	1.67424511171985E-08	1.67446995515361E-11
0.0257999999999999	1.4892409661769E-05	1.67146298020199E-08	1.67168898273799E-11
0.0258999999999999	1.48631254672287E-05	1.66867305859875E-08	1.66890020976303E-11
0.0259999999999999	1.48337589328207E-05	1.66587535416354E-08	1.66610364051124E-11
0.0260999999999999	1.48043101386216E-05	1.66306987404519E-08	1.66329927910301E-11
0.0261999999999999	1.47747791635776E-05	1.6602566252975E-08	1.66048713849079E-11
0.0262999999999999	1.47451660855113E-05	1.65743561487526E-08	1.6576672225466E-11
0.0263999999999999	1.47154709811281E-05	1.65460684963934E-08	1.6548395395162E-11
0.0264999999999999	1.46856939260236E-05	1.65177033634829E-08	1.65200409298582E-11
0.0265999999999999	1.46558349946904E-05	1.64892608167249E-08	1.64916089552864E-11
0.0266999999999999	1.46258942605262E-05	1.64607409218577E-08	1.64630995048379E-11
0.0267999999999999	1.45958717958411E-05	1.64321437437064E-08	1.64345126102882E-11
0.0268999999999999	1.45657676718655E-05	1.64034693460972E-08	1.6405848394454E-11
0.0269999999999999	1.45355819587586E-05	1.63747177920028E-08	1.63771068866516E-11
0.0270999999999999	1.45053147256167E-05	1.63458891434573E-08	1.63482881613055E-11
0.0271999999999999	1.44749660404818E-05	1.63169834616099E-08	1.63193922918128E-11
0.0272999999999999	1.44445359703507E-05	1.62880008067328E-08	1.62904193034349E-11
0.0273999999999999	1.44140245811842E-05	1.62589412381819E-08	1.62613693144453E-11
0.0274999999999999	1.43834319379162E-05	1.62298048144992E-08	1.62322423476742E-11
0.0275999999999999	1.43527581044639E-05	1.6200591593279E-08	1.62030384720557E-11
0.0276999999999999	1.43220031437374E-05	1.61713016313184E-08	1.61737577076129E-11
0.0277999999999999	1.42911671176498E-05	1.61419349846271E-08	1.61444001689746E-11
0.0278999999999999	1.42602500871283E-05	1.6112491708292E-08	1.61149658737603E-11
0.0279999999999999	1.42292521121241E-05	1.60829718566303E-08	1.60854548865003E-11
0.0280999999999999	1.41981732516241E-05	1.60533754831512E-08	1.60558672707327E-11
0.0281999999999999	1.41670135636616E-05	1.60237026406141E-08	1.60262030890083E-11
0.0282999999999999	1.41357731053283E-05	1.59939533808917E-08	1.59964624028961E-11
0.0283999999999999	1.4104451932786E-05	1.5964127755176E-08	1.59666452236888E-11
0.0284999999999999	1.40730501012785E-05	1.59342258138905E-08	1.59367516106116E-11
0.0285999999999999	1.40415676651442E-05	1.59042476066513E-08	1.59067816219233E-11
0.0286999999999999	1.40100046778286E-05	1.58741931824263E-08	1.58767353149226E-11
0.0287999999999999	1.39783611918977E-05	1.58440625894473E-08	1.58466127459541E-11
0.0288999999999999	1.39466372590503E-05	1.58138558752213E-08	1.58164139704144E-11
0.0289999999999999	1.39148329301326E-05	1.57835730865414E-08	1.57861389922443E-11
0.0290999999999999	1.38829482551515E-05	1.57532142695489E-08	1.57557878645633E-11
0.0291999999999999	1.38509832832885E-05	1.57227794697968E-08	1.57253606904863E-11
0.0292999999999999	1.38189380629147E-05	1.56922687320589E-08	1.56948574705573E-11
0.0293999999999999	1.37868126416053E-05	1.56616821005965E-08	1.56642782551322E-11
0.0294999999999999	1.37546070661543E-05	1.56310196189671E-08	1.56336230936601E-11
0.0295999999999999	1.37223213825905E-05	1.56002813301918E-08	1.56028920346915E-11
0.0296999999999999	1.36899556361927E-05	1.55694672766651E-08	1.55720851258859E-11
0.0297999999999999	1.36575098715059E-05	1.55385775002725E-08	1.55412023618597E-11
0.0298999999999999	1.36249841323574E-05	1.55076120422485E-08	1.55102438404754E-11
0.0299999999999999	1.35923784618738E-05	1.54765709433992E-08	1.54792096067699E-11
0.0300999999999999	1.35596929024977E-05	1.54454542439602E-08	1.54480996521379E-11
0.0301999999999999	1.35269274960052E-05	1.54142619836636E-08	1.54169140724949E-11
0.0302999999999999	1.3494082283523E-05	1.53829942018061E-08	1.53856528571304E-11
0.0303999999999999	1.34611573055474E-05	1.53516509371586E-08	1.53543161007101E-11
0.0304999999999999	1.34281526019617E-05	1.53202322281411E-08	1.53229037904543E-11
0.0305999999999999	1.33950682120551E-05	1.52887381126257E-08	1.52914159659837E-11
0.0306999999999999	1.33619041745419E-05	1.52571686281663E-08	1.52598527201665E-11
0.0307999999999999	1.3328660527581E-05	1.52255238119087E-08	1.52282140371904E-11
0.0308999999999999	1.32953373087952E-05	1.51938037006611E-08	1.51965000087796E-11
0.0309999999999999	1.32619345552916E-05	1.51620083308028E-08	1.51647106171506E-11
0.0310999999999999	1.32284523036819E-05	1.513013773852E-08	1.51328458980295E-11
0.0311999999999999	1.31948905901036E-05	1.509819195955E-08	1.51009059415103E-11
0.0312999999999999	1.31612494502405E-05	1.50661710294737E-08	1.50688907269326E-11
0.0313999999999999	1.31275289193451E-05	1.50340749835143E-08	1.50368003433639E-11
0.0314999999999999	1.30937290322601E-05	1.50019038567216E-08	1.50046347682824E-11
0.0315999999999999	1.30598498234408E-05	1.49696576839364E-08	1.49723940897794E-11
0.0316999999999999	1.30258913269777E-05	1.49373364997537E-08	1.49400783397116E-11
0.0317999999999999	1.29918535766203E-05	1.49049403386551E-08	1.49076874928547E-11
0.0318999999999999	1.29577366057997E-05	1.48724692349727E-08	1.48752216359354E-11
0.0319999999999999	1.29235404476535E-05	1.48399232228532E-08	1.48426807988359E-11
0.0320999999999999	1.28892651350492E-05	1.48073023363918E-08	1.48100650108075E-11
0.0321999999999999	1.28549107006098E-05	1.47746066096544E-08	1.47773743004845E-11
0.0322999999999999	1.28204771767386E-05	1.47418360765846E-08	1.47446087534024E-11
0.0323999999999999	1.27859645956448E-05	1.47089907711981E-08	1.47117683397132E-11
0.0324999999999999	1.27513729893695E-05	1.46760707274326E-08	1.46788531442322E-11
0.0325999999999999	1.27167023898125E-05	1.46430759792856E-08	1.46458631355389E-11
0.0326999999999999	1.26819528287587E-05	1.46100065608382E-08	1.46127983977907E-11
0.0327999999999999	1.26471243379061E-05	1.45768625062787E-08	1.45796589566657E-11
0.0328999999999999	1.26122169488927E-05	1.45436438498684E-08	1.45464448373313E-11
0.0329999999999999	1.25772306933256E-05	1.45103506260245E-08	1.451315612352E-11
0.0330999999999999	1.25421656028094E-05	1.44769828693443E-08	1.44797927805849E-11
0.0331999999999999	1.25070217089751E-05	1.44435406146316E-08	1.44463548917692E-11
0.0332999999999999	1.24717990435101E-05	1.44100238969214E-08	1.44128424808069E-11
0.0333999999999999	1.24364976381882E-05	1.43764327515065E-08	1.4379255571007E-11
0.0334999999999999	1.24011175248999E-05	1.43427672140238E-08	1.43455941852707E-11
0.0335999999999999	1.23656587356841E-05	1.43090273203612E-08	1.43118584065236E-11
0.0336999999999999	1.23301213027588E-05	1.42752131068051E-08	1.42780481967125E-11
0.0337999999999999	1.2294505258554E-05	1.42413246100685E-08	1.42441636384954E-11
0.0338999999999999	1.22588106357437E-05	1.42073618672591E-08	1.4210204814876E-11
0.0339999999999999	1.22230374672789E-05	1.41733249159072E-08	1.41761716865683E-11
0.0341	1.21871857864216E-05	1.41392137941173E-08	1.41420643364296E-11
0.0342	1.21512556267786E-05	1.41050285404758E-08	1.41078827859384E-11
0.0343	1.21152470223361E-05	1.40707691940799E-08	1.40736271183422E-11
0.0344	1.20791600074947E-05	1.40364357946921E-08	1.40392973550926E-11
0.0345	1.20429946171053E-05	1.40020283827097E-08	1.40048935174325E-11
0.0346	1.20067508865054E-05	1.39675469991334E-08	1.39704156264177E-11
0.0347	1.19704288515555E-05	1.39329916857875E-08	1.39358637658898E-11
0.0348	1.19340285486764E-05	1.3898362485101E-08	1.39012379570554E-11
0.0349	1.18975500148875E-05	1.38636594404556E-08	1.38665382210013E-11
0.035	1.18609932878446E-05	1.38288825959035E-08	1.38317646423736E-11
0.0351	1.18243584058795E-05	1.37940319963907E-08	1.37969172425517E-11
0.0352	1.17876454080391E-05	1.37591076877922E-08	1.37619961069955E-11
0.0353	1.17508543341258E-05	1.37241097169468E-08	1.37270012574765E-11
0.0354	1.17139852247382E-05	1.36890381316937E-08	1.36919327157668E-11
0.0355	1.16770381213123E-05	1.36538929808433E-08	1.36567905685067E-11
0.0356	1.16400130661636E-05	1.36186743142784E-08	1.36215748380135E-11
0.0357	1.16029101025297E-05	1.35833821829915E-08	1.35862856120036E-11
0.0358	1.15657292746132E-05	1.35480166391877E-08	1.35509229134463E-11
0.0359	1.15284706276258E-05	1.35125777361924E-08	1.35154868312453E-11
0.036	1.14911342078325E-05	1.34770655286211E-08	1.34799773891324E-11
0.0361	1.14537200625968E-05	1.3441480072419E-08	1.34443946110248E-11
0.0362	1.14162282404263E-05	1.34058214247693E-08	1.34087385875838E-11
0.0363	1.13786587910191E-05	1.33700896443319E-08	1.33730094104333E-11
0.0364	1.1341011765311E-05	1.33342847912189E-08	1.33372071051734E-11
0.0365	1.13032872155228E-05	1.32984069269027E-08	1.33013317649683E-11
0.0366	1.1265485195209E-05	1.32624561144585E-08	1.32653834165315E-11
0.0367	1.12276057593067E-05	1.3226432418541E-08	1.32293621546923E-11
