t	La
0	0	0
0.002	0	0
0.0041	203.798464850322	348.09555
0.006	206.744677978331	348.12288
0.00800000000000001	211.982694460872	348.18826
0.0101	219.722677980851	348.324
0.0121	229.060179467786	348.52761
0.0141	240.121789568716	348.83071
0.0161	252.706271172276	349.25732
0.0180999999999999	266.617390626166	349.83306
0.0200999999999999	281.673634079293	350.585
0.0220999999999999	297.71315921298	351.54157
0.0240999999999999	314.595260655154	352.73258
0.0260999999999999	332.199653632564	354.18909
0.0280999999999999	350.42460387789	355.9434
0.0300999999999999	369.184596959405	358.02903
0.0320999999999999	388.407960187521	360.48065
0.0341	408.034653441219	363.33408
0.036	427.007637692217	366.27623
0.0380000000000001	447.283314076611	369.99577
0.0400000000000001	467.835575023271	374.227220000001
0.0420000000000002	488.633943027932	379.010630000001
0.0440000000000002	509.652512689421	384.387080000001
0.0460000000000003	530.869167514348	390.398640000002
0.0480000000000003	552.264939649517	397.088400000002
0.0500000000000004	573.823486362664	404.500410000003
0.0520000000000005	595.530661400641	412.679670000004
0.0540000000000005	616.794625773192	421.672110000005
0.0560000000000006	616.794625773192	431.524570000006
0.0580000000000006	616.794625773192	442.284770000007
0.0600000000000007	616.794625773192	454.001270000009
0.0620000000000007	616.794625773192	466.72348000001
0.0640000000000008	616.794625773192	480.501550000012
0.0660000000000009	616.794625773192	495.386390000013
0.0680000000000009	1233.58925154638	511.429610000015
0.070000000000001	1233.58925154638	528.683430000018
0.072000000000001	1233.58925154638	547.20066000002
0.0740000000000011	1233.58925154638	567.034590000022
0.0760000000000012	1233.58925154638	588.238900000025
0.0780000000000012	1233.58925154638	610.867590000028
0.0800000000000013	1233.58925154638	652.050540000031
0.0820000000000013	1233.58925154638	703.352300000035
0.0840000000000014	1233.58925154638	757.772320000039
0.0860000000000014	1850.38387731958	815.407000000043
0.0880000000000015	1850.38387731958	876.350090000047
0.0900000000000016	1850.38387731958	940.692070000051
0.0920000000000016	1850.38387731958	1008.51937000006
0.0940000000000017	1850.38387731958	1079.91350000006
0.0960000000000017	1850.38387731958	1154.95012000007
0.0980000000000018	1850.38387731958	1233.69796000007
0.100000000000002	1850.38387731958	1316.21760000008
0.102000000000002	1850.38387731958	1402.56024000008
0.104000000000002	1850.38387731958	1492.76621000009
0.106000000000002	1850.38387731958	1586.8634900001
0.108000000000002	2467.17850309277	1684.8660500001
0.110000000000002	2467.17850309277	1786.77217000011
0.112000000000002	2467.17850309277	1892.56261000012
0.114000000000002	3083.97312886596	2002.19886000013
0.116000000000002	3083.97312886596	2115.62135000013
0.118000000000002	3083.97312886596	2232.74780000014
0.120000000000002	3083.97312886596	2353.47160000015
0.122000000000002	3238.17178530926	2477.66063000016
0.124000000000003	3083.97312886596	2605.15617000016
0.126000000000002	3700.76775463915	2735.77245000016
0.128000000000002	3700.76775463915	2869.29652000015
0.130000000000002	3700.76775463915	3005.48888000014
0.132000000000002	3700.76775463915	3144.08463000012
0.134000000000002	3700.76775463915	3284.79547000011
0.136000000000001	4317.56238041235	3427.31236000009
0.138000000000001	4317.56238041235	3571.30885000008
0.140000000000001	4317.56238041235	3716.44514000007
0.142000000000001	4934.35700618554	3862.37259000005
0.144	4934.35700618554	4008.73865000003
0.146	4934.35700618554	4155.19197000002
0.148	4934.35700618554	4301.38749
0.1501	4934.35700618554	4454.25026999998
0.1521	4934.35700618554	4598.89095999997
0.154099999999999	4934.35700618554	4742.30917999996
0.156099999999999	5551.15163195873	4884.23071999994
0.158099999999999	5551.15163195873	5024.40692999992
0.160099999999999	5551.15163195873	5162.61641999991
0.162099999999998	6167.94625773192	5298.6659099999
0.164099999999998	6167.94625773192	5432.39039999988
0.166099999999998	6167.94625773192	5563.65263999987
0.168099999999998	6784.74088350511	5692.34204999986
0.170099999999998	6784.74088350511	5818.37324999985
0.172099999999997	6784.74088350511	5941.68419999984
0.174099999999997	6784.74088350511	6062.23415999983
0.176099999999997	6784.74088350511	6180.00149999982
0.178099999999997	6784.74088350511	6294.98153999981
0.180099999999996	6784.74088350511	6407.1843099998
0.182099999999996	6784.74088350511	6516.6325299998
0.184099999999996	6784.74088350511	6623.35958999979
0.186099999999996	6784.74088350511	6727.40776999979
0.188099999999996	7401.53550927831	6828.82659999978
0.190099999999995	7401.53550927831	6927.67132999978
0.192099999999995	7401.53550927831	7024.00168999977
0.194099999999995	8018.3301350515	7117.88069999977
0.196099999999995	8018.3301350515	7209.37368999976
0.198099999999995	8018.3301350515	7298.54749999976
0.200099999999994	8018.3301350515	7385.46966999976
0.202099999999994	8018.3301350515	7470.20795999975
0.204099999999994	8018.3301350515	7552.82972999975
0.206099999999994	8018.3301350515	7633.40166999975
0.208099999999993	8635.12476082469	7711.98933999974
0.210099999999993	8635.12476082469	7788.65701999974
0.212099999999993	8635.12476082469	7863.46745999974
0.214099999999993	8635.12476082469	7936.48174999974
0.216099999999993	8635.12476082469	8007.75918999974
0.218099999999992	8635.12476082469	8077.35723999974
0.220099999999992	8635.12476082469	8145.33147999973
0.222099999999992	8635.12476082469	8211.73554999973
0.224099999999992	8635.12476082469	8276.62121999973
0.226099999999991	8635.12476082469	8340.03833999973
0.228099999999991	8635.12476082469	8402.03488999973
0.230099999999991	8635.12476082469	8462.65702999973
0.232099999999991	9251.91938659788	8521.94912999973
0.234099999999991	9251.91938659788	8579.95381999973
0.23609999999999	9251.91938659788	8636.71206999973
0.23809999999999	9251.91938659788	8692.26319999973
0.24009999999999	9251.91938659788	8746.64497999973
0.24209999999999	9868.71401237107	8799.89364999973
0.244099999999989	9868.71401237107	8852.04404999973
0.246099999999989	9868.71401237107	8903.12958999973
0.248099999999989	9868.71401237107	8953.18235999973
0.250099999999989	9868.71401237107	9002.23318999973
0.252099999999989	9868.71401237107	9050.31168999973
0.254099999999988	9868.71401237107	9097.44628999973
0.256099999999988	9868.71401237107	9143.66432999973
0.258099999999988	9868.71401237107	9188.99208999973
0.260099999999988	9868.71401237107	9233.45480999973
0.262099999999987	9868.71401237107	9277.07679999973
0.264099999999987	9868.71401237107	9319.88140999973
0.266099999999987	9868.71401237107	9361.89114999973
0.268099999999987	9868.71401237107	9403.12765999973
0.270099999999987	9868.71401237107	9443.61178999973
0.272099999999986	9868.71401237107	9483.36362999973
0.274099999999986	9868.71401237107	9522.40252999973
0.276099999999986	9868.71401237107	9560.74714999973
0.278099999999986	10485.5086381443	9598.41548999973
0.280099999999985	10485.5086381443	9635.42490999973
0.282099999999985	10485.5086381443	9671.79216999974
0.284099999999985	10485.5086381443	9707.53342999973
0.286099999999985	10485.5086381443	9742.66432999973
0.288099999999985	10485.5086381443	9777.19994999974
0.290099999999984	10485.5086381443	9811.15488999974
0.292099999999984	10485.5086381443	9844.54324999974
0.294099999999984	10485.5086381443	9877.37867999974
0.296099999999984	10485.5086381443	9909.67436999974
0.298099999999983	10485.5086381443	9941.44308999974
0.300099999999983	10485.5086381443	9972.69722999974
0.302099999999983	10485.5086381443	10003.4487499997
0.304099999999983	10485.5086381443	10033.7092799997
0.306099999999983	10485.5086381443	10063.4900499997
0.308099999999982	10485.5086381443	10092.8019699997
0.310099999999982	10485.5086381443	10121.6556299997
0.312099999999982	10485.5086381443	10150.0612799997
0.314099999999982	11102.3032639175	10178.0288799997
0.316099999999982	11102.3032639175	10205.5680999997
0.318099999999981	11102.3032639175	10232.6883199997
0.320099999999981	11102.3032639175	10259.3986599997
0.322099999999981	11102.3032639175	10285.7079799997
0.324099999999981	11102.3032639175	10311.6248899997
0.32609999999998	11102.3032639175	10337.1577499998
0.32809999999998	11102.3032639175	10362.3146999998
0.33009999999998	11102.3032639175	10387.1036599998
0.33209999999998	11102.3032639175	10411.5323099998
0.33409999999998	11719.0978896907	10435.6081599998
0.336099999999979	11719.0978896907	10459.3384899998
0.338099999999979	11719.0978896907	10482.7304099998
0.340099999999979	11719.0978896907	10505.7908299998
0.342099999999979	11719.0978896907	10528.5264799998
0.344099999999978	11719.0978896907	10550.9439199998
0.346099999999978	11719.0978896907	10573.0495399998
0.348099999999978	11719.0978896907	10594.8495899998
0.350099999999978	11719.0978896907	10616.3501199998
0.352099999999978	11719.0978896907	10637.5570599998
0.354099999999977	11719.0978896907	10658.4761899998
0.356099999999977	11719.0978896907	10679.1131399998
0.358099999999977	11719.0978896907	10699.4733999998
0.360099999999977	11719.0978896907	10719.5623499998
0.362099999999976	11719.0978896907	10739.3852099998
0.364099999999976	11719.0978896907	10758.9470999998
0.366099999999976	11719.0978896907	10778.2529999998
0.368099999999976	11719.0978896907	10797.3077899998
0.370099999999976	11719.0978896907	10816.1162099998
0.372099999999975	11719.0978896907	10834.6829199998
0.374099999999975	11719.0978896907	10853.0124599998
0.376099999999975	11719.0978896907	10871.1092699998
0.378099999999975	11719.0978896907	10888.9776599998
0.380099999999974	11719.0978896907	10906.6218899998
0.382099999999974	11719.0978896907	10924.0460999998
0.384099999999974	11719.0978896907	10941.2543199998
0.386099999999974	11719.0978896907	10958.2505199998
0.388099999999974	11719.0978896907	10975.0385599998
0.390099999999973	11719.0978896907	10991.6222399998
0.392099999999973	11719.0978896907	11008.0052499998
0.394099999999973	11719.0978896907	11024.1912199998
0.396099999999973	11719.0978896907	11040.1836799998
0.398099999999972	11719.0978896907	11055.9860999998
0.400099999999972	11719.0978896907	11071.6018799998
0.402099999999972	11719.0978896907	11087.0343299998
0.404099999999972	11719.0978896907	11102.2866999998
0.406099999999972	11719.0978896907	11117.3621699998
0.408099999999971	11719.0978896907	11132.2638499998
0.410099999999971	11719.0978896907	11146.9947999998
0.412099999999971	11719.0978896907	11161.5579899998
0.414099999999971	11719.0978896907	11175.9563499998
0.41609999999997	11719.0978896907	11190.1927299998
0.41809999999997	11719.0978896907	11204.2699399998
