t;Call;
0.000000;7.000000;
0.100000;7.000000;
0.200000;7.000000;
0.300000;7.000000;
0.400000;7.000000;
0.500000;7.000000;
0.600000;7.000000;
0.700000;7.000000;
0.800000;7.000000;
0.900000;7.000000;
1.000000;7.000000;
1.100000;7.000000;
1.200000;7.000000;
1.300000;7.000000;
1.400000;7.000000;
1.500000;7.000000;
1.600000;7.000000;
1.700000;7.000000;
1.800000;7.000000;
1.900000;7.000000;
2.000000;7.000000;
2.100000;7.000000;
2.200000;7.000000;
2.300000;7.000000;
2.400000;7.000000;
2.500000;7.000000;
2.600000;7.000000;
2.700000;7.000000;
2.800000;7.000000;
2.900000;7.000000;
3.000000;7.000000;
3.100000;7.000000;
3.200000;7.000000;
3.300000;7.000000;
3.400000;7.000000;
3.500000;7.000000;
3.600000;7.000000;
3.700000;7.000000;
3.800000;7.000000;
3.900000;7.000000;
4.000000;7.000000;
4.102000;6.975694;
4.202000;6.975694;
4.302000;6.975694;
4.402000;6.975694;
4.502000;6.975694;
4.602000;6.975694;
4.702000;6.975694;
4.802000;6.975694;
4.902000;6.975694;
5.002000;6.975694;
5.102000;6.975694;
5.202000;6.970293;
5.302000;6.949996;
5.402000;6.949996;
5.502000;6.942717;
5.602000;6.925928;
5.702000;6.912062;
5.802000;6.894838;
5.902000;6.873158;
6.002000;6.857307;
6.102000;6.841781;
6.202000;6.825106;
6.302000;6.809862;
6.402000;6.796785;
6.502000;6.776795;
6.602000;6.763376;
6.702000;6.749366;
6.802000;6.730849;
6.902000;6.721041;
7.002000;6.703961;
7.102000;6.687235;
7.202000;6.674141;
7.302000;6.659559;
7.402000;6.647147;
7.502000;6.636173;
7.602000;6.621901;
7.702000;6.611249;
7.802000;6.597620;
7.902000;6.588007;
8.002000;6.573130;
8.102000;6.564108;
8.202000;6.549566;
8.302000;6.540389;
8.402000;6.528871;
8.502000;6.515493;
8.602000;6.507881;
8.702000;6.493016;
8.802000;6.487209;
8.902000;6.473792;
9.002000;6.463992;
9.102000;6.456721;
9.202000;6.442908;
9.302000;6.437431;
9.400000;6.426123;
9.500000;6.418454;
9.600000;6.413684;
9.700000;6.400494;
9.800000;6.394981;
9.900000;6.390191;
10.000000;6.376549;
10.100000;6.371725;
10.200000;6.365024;
10.300000;6.351139;
10.400000;6.346563;
10.500000;6.340355;
10.600000;6.330756;
10.700000;6.321286;
10.800000;6.317843;
10.900000;6.313330;
11.000000;6.300466;
11.100000;6.296883;
11.200000;6.292568;
11.300000;6.286129;
11.400000;6.276105;
11.500000;6.273228;
11.600000;6.269639;
11.700000;6.267873;
11.800000;6.262615;
11.900000;6.259857;
12.000000;6.255824;
12.100000;6.254900;
12.200000;6.254578;
12.300000;6.254578;
12.400000;6.254269;
12.500000;6.253362;
12.600000;6.253061;
12.700000;6.252756;
12.800000;6.252140;
12.900000;6.251539;
13.000000;6.251539;
13.100000;6.250917;
13.200000;6.250917;
13.300000;6.250917;
13.400000;6.250917;
13.500000;6.250917;
13.600000;6.250917;
13.700000;6.250917;
13.800000;6.249575;
13.900000;6.247568;
14.000000;6.247568;
14.100000;6.247568;
14.200000;6.247568;
14.300000;6.247568;
14.400000;6.247568;
14.500000;6.247568;
14.600000;6.246887;
14.700000;6.242424;
14.800000;6.239645;
14.900000;6.234075;
15.000000;6.234075;
15.100000;6.232314;
15.200000;6.228768;
15.300000;6.227707;
15.400000;6.227707;
15.500000;6.224836;
15.600000;6.224836;
15.700000;6.224481;
15.800000;6.224124;
15.900000;6.219457;
16.000000;6.215854;
16.100000;6.210427;
16.200000;6.208978;
16.300000;6.205314;
16.400000;6.203842;
16.500000;6.201242;
16.600000;6.200878;
16.700000;6.200146;
16.800000;6.199049;
16.900000;6.190961;
17.000000;6.186509;
17.100000;6.185016;
17.200000;6.180903;
17.300000;6.179399;
17.400000;6.176760;
17.500000;6.176387;
17.600000;6.176013;
17.700000;6.168116;
17.800000;6.160527;
17.900000;6.159765;
18.000000;6.156685;
18.100000;6.154367;
18.200000;6.151260;
18.300000;6.150488;
18.400000;6.146226;
18.500000;6.135142;
18.600000;6.133112;
18.700000;6.132702;
18.800000;6.129388;
18.900000;6.126843;
19.000000;6.124151;
19.100000;6.121437;
19.200000;6.111992;
19.300000;6.105625;
19.400000;6.103351;
19.500000;6.100616;
19.600000;6.098906;
19.700000;6.094791;
19.800000;6.094106;
19.900000;6.089308;
20.000000;6.079674;
20.102000;6.079334;
20.202000;6.077612;
20.302000;6.075533;
20.402000;6.073454;
20.502000;6.071038;
20.602000;6.066198;
20.702000;6.057554;
20.802000;6.055482;
20.902000;6.054787;
21.002000;6.052702;
21.102000;6.052005;
21.202000;6.049212;
21.302000;6.047136;
21.402000;6.039846;
21.502000;6.033565;
21.602000;6.032166;
21.702000;6.030062;
21.802000;6.029007;
21.902000;6.026546;
22.002000;6.025501;
22.102000;6.019187;
22.202000;6.011467;
22.302000;6.010063;
22.402000;6.008658;
22.502000;6.005475;
22.602000;6.005121;
22.702000;6.002294;
22.802000;5.997003;
22.902000;5.988510;
23.002000;5.986732;
23.102000;5.985662;
23.202000;5.983175;
23.302000;5.981742;
23.402000;5.979235;
23.502000;5.978169;
23.602000;5.969194;
23.702000;5.964530;
23.802000;5.962363;
23.902000;5.960913;
24.002000;5.958370;
24.102000;5.958006;
24.202000;5.955458;
24.302000;5.949997;
24.402000;5.940489;
24.502000;5.939021;
24.602000;5.937913;
24.702000;5.935309;
24.802000;5.933815;
24.902000;5.930820;
25.002000;5.924828;
25.102000;5.919892;
25.202000;5.912890;
25.302000;5.912093;
25.402000;5.911291;
25.502000;5.908446;
25.602000;5.906787;
25.702000;5.904171;
25.802000;5.897264;
25.902000;5.887272;
26.002000;5.886394;
26.102000;5.884293;
26.202000;5.882531;
26.302000;5.880424;
26.402000;5.877093;
26.502000;5.875031;
26.602000;5.868835;
26.702000;5.862612;
26.802000;5.861230;
26.902000;5.859845;
27.002000;5.858109;
27.102000;5.856716;
27.202000;5.854629;
27.302000;5.848043;
27.402000;5.844917;
27.502000;5.838652;
27.602000;5.837608;
27.702000;5.836913;
27.802000;5.835513;
27.902000;5.833760;
28.002000;5.830962;
28.102000;5.825037;
28.202000;5.821538;
28.302000;5.815237;
28.402000;5.814533;
28.502000;5.813828;
28.602000;5.812064;
28.702000;5.810657;
28.802000;5.807130;
28.902000;5.802220;
29.002000;5.797291;
29.102000;5.791991;
29.202000;5.790927;
29.302000;5.789865;
29.402000;5.788083;
29.502000;5.787019;
29.602000;5.784179;
29.702000;5.778149;
29.802000;5.773885;
29.902000;5.768161;
30.002000;5.767085;
30.102000;5.766725;
30.202000;5.764566;
30.302000;5.763122;
30.402000;5.761325;
30.502000;5.755220;
30.602000;5.751610;
30.702000;5.744366;
30.802000;5.744006;
30.902000;5.742545;
31.002000;5.741445;
31.102000;5.739251;
31.202000;5.738524;
31.302000;5.735223;
31.402000;5.728617;
31.502000;5.720448;
31.602000;5.719329;
31.702000;5.718207;
31.802000;5.717077;
31.902000;5.714807;
32.002000;5.714057;
32.102000;5.712164;
32.202000;5.706082;
32.302000;5.701840;
32.402000;5.693948;
32.502000;5.693127;
32.602000;5.692301;
32.702000;5.691046;
32.802000;5.688907;
32.902000;5.687571;
33.002000;5.679205;
33.102000;5.675960;
33.202000;5.664469;
33.302000;5.664004;
33.402000;5.663070;
33.502000;5.662136;
33.602000;5.660266;
33.702000;5.658054;
33.802000;5.655763;
33.902000;5.650679;
34.002000;5.647616;
34.102000;5.640463;
34.202000;5.639778;
34.302000;5.638755;
34.402000;5.637381;
34.502000;5.635316;
34.602000;5.634976;
34.702000;5.633268;
34.802000;5.627131;
34.902000;5.617541;
35.002000;5.617203;
35.102000;5.615825;
35.202000;5.615480;
35.302000;5.614428;
35.402000;5.612005;
35.502000;5.610279;
35.602000;5.605454;
35.702000;5.603046;
35.802000;5.594414;
35.902000;5.594072;
36.002000;5.593031;
36.102000;5.591985;
36.202000;5.589544;
36.302000;5.588853;
36.402000;5.587112;
36.502000;5.582249;
36.602000;5.574912;
36.702000;5.571413;
36.802000;5.570711;
36.902000;5.569659;
37.002000;5.568602;
37.102000;5.566132;
37.202000;5.565083;
37.302000;5.559116;
37.402000;5.557006;
37.500000;5.548517;
37.600000;5.547788;
37.700000;5.546724;
37.800000;5.545664;
37.900000;5.544952;
38.000000;5.542455;
38.100000;5.540668;
38.200000;5.535328;
38.300000;5.524529;
38.400000;5.523808;
38.500000;5.523082;
38.600000;5.521992;
38.700000;5.521268;
38.800000;5.519082;
38.900000;5.517632;
39.000000;5.511801;
39.100000;5.499987;
39.200000;5.499616;
39.300000;5.499242;
39.400000;5.498120;
39.500000;5.497376;
39.600000;5.494375;
39.700000;5.492872;
39.800000;5.486807;
39.900000;5.478692;
40.000000;5.475132;
40.100000;5.473509;
40.200000;5.472267;
40.300000;5.471431;
40.400000;5.467984;
40.500000;5.464891;
40.600000;5.457322;
40.700000;5.446879;
40.800000;5.445649;
40.900000;5.444416;
41.000000;5.442294;
41.100000;5.441848;
41.200000;5.438086;
41.300000;5.432574;
41.400000;5.428239;
41.500000;5.422032;
41.600000;5.420994;
41.700000;5.419262;
41.800000;5.418571;
41.900000;5.417534;
42.000000;5.413364;
42.100000;5.407829;
42.200000;5.399135;
42.300000;5.398442;
42.400000;5.397396;
42.500000;5.396001;
42.600000;5.395308;
42.700000;5.392169;
42.800000;5.386257;
42.900000;5.382759;
43.000000;5.376104;
43.100000;5.374699;
43.200000;5.373294;
43.300000;5.372596;
43.400000;5.371547;
43.500000;5.367684;
43.600000;5.362775;
43.700000;5.353233;
43.800000;5.352528;
43.900000;5.351111;
44.000000;5.349690;
44.100000;5.349690;
44.200000;5.346852;
44.300000;5.340126;
44.400000;5.335500;
44.500000;5.329083;
44.600000;5.328364;
44.700000;5.326565;
44.800000;5.326208;
44.900000;5.323695;
45.000000;5.316144;
45.100000;5.312895;
45.200000;5.305280;
45.300000;5.304914;
45.400000;5.303817;
45.500000;5.301990;
45.600000;5.300898;
45.700000;5.297972;
45.800000;5.291000;
45.900000;5.286551;
46.000000;5.280955;
46.100000;5.279827;
46.200000;5.277566;
46.300000;5.276818;
46.400000;5.274182;
46.500000;5.267333;
46.600000;5.263858;
46.700000;5.255969;
46.800000;5.254747;
46.900000;5.253091;
47.000000;5.251824;
47.100000;5.251397;
47.200000;5.246696;
47.300000;5.240487;
47.400000;5.234298;
47.500000;5.226370;
47.600000;5.225135;
47.700000;5.222898;
47.800000;5.222898;
47.900000;5.222211;
48.000000;5.217887;
48.100000;5.213081;
48.200000;5.204604;
48.300000;5.201839;
48.400000;5.200800;
48.500000;5.199760;
48.600000;5.199760;
48.700000;5.198383;
48.800000;5.191479;
48.900000;5.187325;
49.000000;5.179696;
49.100000;5.179001;
49.200000;5.177956;
49.300000;5.176911;
49.400000;5.176564;
49.500000;5.174132;
49.600000;5.167506;
49.700000;5.162967;
49.800000;5.157368;
49.900000;5.155620;
50.000000;5.154565;
50.100000;5.153161;
50.200000;5.152812;
50.300000;5.150363;
50.400000;5.144406;
50.500000;5.139472;
50.600000;5.133123;
50.700000;5.131349;
50.800000;5.129926;
50.900000;5.129926;
51.000000;5.129574;
51.100000;5.125690;
51.200000;5.120728;
51.300000;5.115029;
51.400000;5.109691;
51.500000;5.108616;
51.600000;5.106465;
51.700000;5.106465;
51.800000;5.105752;
51.900000;5.103965;
52.000000;5.097151;
52.100000;5.093177;
52.200000;5.087017;
52.300000;5.085925;
52.400000;5.083715;
52.500000;5.082619;
52.600000;5.082619;
52.700000;5.080432;
52.800000;5.073842;
52.900000;5.069777;
53.000000;5.062345;
53.100000;5.061594;
53.200000;5.059711;
53.300000;5.058577;
53.400000;5.057828;
53.500000;5.056326;
53.600000;5.053301;
53.700000;5.047964;
53.800000;5.041306;
53.900000;5.036888;
54.000000;5.034815;
54.100000;5.032687;
54.200000;5.032687;
54.300000;5.031800;
54.400000;5.029141;
54.500000;5.020870;
54.600000;5.017655;
54.700000;5.008244;
54.800000;5.007335;
54.900000;5.004612;
55.000000;5.003248;
55.100000;5.003248;
55.200000;5.002908;
55.300000;4.999847;
55.400000;4.993717;
55.500000;4.991103;
55.600000;4.984283;
55.700000;4.983598;
55.800000;4.981881;
55.900000;4.980161;
56.000000;4.980161;
56.100000;4.979820;
56.200000;4.977435;
56.300000;4.971274;
56.400000;4.968522;
56.500000;4.961629;
56.600000;4.961283;
56.700000;4.958521;
56.800000;4.957480;
56.900000;4.957137;
57.000000;4.957137;
57.100000;4.954041;
57.200000;4.948526;
57.300000;4.946442;
57.400000;4.938462;
57.500000;4.938114;
57.600000;4.936023;
57.700000;4.934627;
57.800000;4.934627;
57.900000;4.934283;
58.000000;4.933243;
58.100000;4.930818;
58.200000;4.924180;
58.300000;4.922428;
58.400000;4.915401;
58.500000;4.915049;
58.600000;4.912579;
58.700000;4.911520;
58.800000;4.911520;
58.900000;4.911171;
59.000000;4.909066;
59.100000;4.902383;
59.200000;4.899545;
59.300000;4.893142;
59.400000;4.891717;
59.500000;4.890645;
59.600000;4.888137;
59.700000;4.888137;
59.800000;4.888137;
59.900000;4.888137;
60.000000;4.886001;
60.100000;4.879203;
60.200000;4.875962;
60.300000;4.869084;
60.400000;4.869084;
60.500000;4.867270;
60.600000;4.865082;
60.700000;4.864353;
60.800000;4.864353;
60.900000;4.864353;
61.000000;4.862178;
61.100000;4.860720;
61.200000;4.853375;
61.300000;4.850787;
61.400000;4.844451;
61.500000;4.844075;
61.600000;4.841046;
61.700000;4.839906;
61.800000;4.839530;
61.900000;4.839153;
62.000000;4.839153;
62.100000;4.837263;
62.200000;4.828801;
62.300000;4.827624;
62.400000;4.819184;
62.500000;4.818767;
62.600000;4.815780;
62.700000;4.813553;
62.800000;4.813553;
62.900000;4.813081;
63.000000;4.812608;
63.100000;4.811661;
63.200000;4.808816;
63.300000;4.799259;
63.400000;4.797834;
63.500000;4.788777;
63.600000;4.787825;
63.700000;4.784488;
63.800000;4.782102;
63.900000;4.782102;
64.000000;4.782102;
64.100000;4.782102;
64.200000;4.781771;
64.300000;4.779113;
64.400000;4.771830;
64.500000;4.770827;
64.600000;4.764815;
64.700000;4.764143;
64.800000;4.762123;
64.900000;4.759758;
65.000000;4.759758;
65.100000;4.759758;
65.200000;4.759758;
65.300000;4.759758;
65.400000;4.758088;
65.500000;4.750379;
65.600000;4.748372;
65.700000;4.745343;
65.800000;4.742633;
65.900000;4.741278;
66.000000;4.738569;
66.100000;4.737551;
66.200000;4.737551;
66.300000;4.737551;
66.400000;4.737551;
66.500000;4.735866;
66.600000;4.734509;
66.700000;4.727792;
66.800000;4.726441;
66.900000;4.719947;
67.000000;4.719947;
67.100000;4.717210;
67.200000;4.715150;
67.300000;4.715150;
67.400000;4.715150;
67.500000;4.714812;
67.600000;4.714473;
67.700000;4.712768;
67.800000;4.710717;
67.900000;4.704912;
68.000000;4.704226;
68.100000;4.697677;
68.200000;4.697330;
68.300000;4.694897;
68.400000;4.692466;
68.500000;4.692466;
68.600000;4.692466;
68.700000;4.692466;
68.800000;4.692122;
68.900000;4.691091;
69.000000;4.688318;
69.100000;4.682098;
69.200000;4.681402;
69.300000;4.675451;
69.400000;4.674746;
69.500000;4.674043;
69.600000;4.670869;
69.700000;4.669450;
69.800000;4.669450;
69.900000;4.669450;
70.000000;4.669450;
70.100000;4.669101;
70.200000;4.666297;
70.300000;4.659223;
70.400000;4.658153;
70.500000;4.654211;
70.600000;4.651689;
70.700000;4.650602;
70.800000;4.647326;
70.900000;4.645866;
71.000000;4.645866;
71.100000;4.645866;
71.200000;4.645866;
71.300000;4.643693;
71.400000;4.640052;
71.500000;4.635319;
71.600000;4.633847;
71.700000;4.627524;
71.800000;4.627148;
71.900000;4.624125;
72.000000;4.621455;
72.100000;4.621455;
72.200000;4.621455;
72.300000;4.621077;
72.400000;4.621077;
72.500000;4.618035;
72.600000;4.610300;
72.700000;4.609512;
72.800000;4.607529;
72.900000;4.601445;
73.000000;4.601025;
73.100000;4.598028;
73.200000;4.594858;
73.300000;4.594858;
73.400000;4.594365;
73.500000;4.593872;
73.600000;4.593872;
73.700000;4.589919;
73.800000;4.579441;
73.900000;4.577953;
74.000000;4.576128;
74.100000;4.569654;
74.200000;4.568660;
74.300000;4.565178;
74.400000;4.562183;
74.500000;4.562183;
74.600000;4.562183;
74.700000;4.561856;
74.800000;4.560214;
74.900000;4.558566;
75.000000;4.551295;
75.100000;4.550633;
75.200000;4.545019;
75.300000;4.544687;
75.400000;4.544022;
75.500000;4.541699;
75.600000;4.540033;
75.700000;4.540033;
75.800000;4.540033;
75.900000;4.540033;
76.000000;4.538050;
76.100000;4.530767;
76.200000;4.529761;
76.300000;4.528436;
76.400000;4.523082;
76.500000;4.523082;
76.600000;4.521743;
76.700000;4.519046;
76.800000;4.518036;
76.900000;4.517705;
77.000000;4.517705;
77.100000;4.517705;
77.200000;4.515372;
77.300000;4.508666;
77.400000;4.507985;
77.500000;4.506646;
77.600000;4.500588;
77.700000;4.500588;
77.800000;4.499910;
77.900000;4.497532;
78.002000;4.495831;
78.102000;4.495831;
78.202000;4.495831;
78.302000;4.495157;
78.402000;4.493469;
78.502000;4.491444;
78.602000;4.485345;
78.702000;4.484662;
78.802000;4.478826;
78.902000;4.478141;
79.002000;4.478141;
79.102000;4.475381;
79.202000;4.473310;
79.302000;4.473310;
79.402000;4.472970;
79.502000;4.472970;
79.602000;4.472970;
79.702000;4.470924;
79.802000;4.463381;
79.902000;4.462678;
80.002000;4.461982;
80.102000;4.456078;
80.202000;4.455729;
80.302000;4.454688;
80.402000;4.452229;
80.502000;4.450468;
80.602000;4.450468;
80.702000;4.450468;
80.802000;4.450468;
80.902000;4.448371;
81.002000;4.440631;
81.102000;4.439578;
81.202000;4.438500;
81.302000;4.432792;
81.402000;4.432431;
81.502000;4.431710;
81.602000;4.428456;
81.702000;4.426997;
81.802000;4.426997;
81.902000;4.426997;
82.002000;4.424466;
82.102000;4.423018;
82.202000;4.416095;
82.302000;4.415726;
82.402000;4.413876;
82.502000;4.408305;
82.602000;4.407929;
82.702000;4.404911;
82.802000;4.402630;
82.902000;4.402630;
83.002000;4.402252;
83.102000;4.399217;
83.202000;4.398834;
83.302000;4.391485;
83.402000;4.390693;
83.502000;4.388303;
83.602000;4.382626;
83.702000;4.382626;
83.802000;4.378809;
83.902000;4.376088;
84.002000;4.375603;
84.102000;4.375603;
84.202000;4.370742;
84.302000;4.361486;
84.402000;4.361486;
84.502000;4.360510;
84.602000;4.351812;
84.702000;4.351324;
84.802000;4.350991;
84.902000;4.346270;
85.002000;4.344316;
