t;TC1;TC2;TC3;TC4;
10.300000;675.539074;671.018003;650.082765;-273.000000;
10.400000;675.538021;671.018226;649.800824;-273.000000;
10.500000;675.528437;670.961896;649.547832;-273.000000;
10.600000;675.445305;670.682298;649.323741;-273.000000;
10.700000;675.540582;670.706301;649.170453;-273.000000;
10.800000;675.379792;670.683733;648.786144;-273.000000;
10.900000;675.454774;670.622256;648.521903;-273.000000;
11.000000;675.506816;670.693453;648.300859;-273.000000;
11.100000;675.453974;670.639368;648.014412;-273.000000;
11.200000;675.482382;670.430594;647.641165;-273.000000;
11.300000;675.437047;670.565774;647.549912;-273.000000;
11.400000;675.279421;670.337479;647.269359;-273.000000;
11.500000;675.319597;670.274189;647.167106;-273.000000;
11.600000;675.230932;670.267679;646.773703;-273.000000;
11.700000;675.344366;670.092731;646.578121;-273.000000;
11.800000;675.345192;670.115934;646.443926;-273.000000;
11.900000;675.202618;670.063611;646.184524;-273.000000;
12.000000;675.164518;670.065801;646.099947;-273.000000;
12.100000;675.181571;670.090400;645.836521;-273.000000;
12.200000;675.178155;669.865109;645.546782;-273.000000;
12.300000;675.175703;669.961962;645.394312;-273.000000;
12.400000;675.213421;669.845173;645.017621;-273.000000;
12.500000;675.155511;669.752162;644.914588;-273.000000;
12.600000;675.240553;669.811153;644.757694;-273.000000;
12.700000;675.084676;669.616785;644.366968;-273.000000;
12.800000;675.164492;669.549359;644.061541;-273.000000;
12.900000;675.217271;669.515234;644.166306;-273.000000;
13.000000;675.116661;669.459181;643.692094;-273.000000;
13.100000;675.172297;669.335263;643.634841;-273.000000;
13.200000;675.203600;669.336862;643.474394;-273.000000;
13.300000;675.093929;669.173366;643.040235;-273.000000;
13.400000;675.049087;669.158720;642.897409;-273.000000;
13.500000;675.095589;669.161026;642.945891;-273.000000;
13.600000;675.058316;669.140791;642.520218;-273.000000;
13.700000;674.977682;668.935147;642.455300;-273.000000;
13.800000;674.957071;668.909568;642.210856;-273.000000;
13.900000;674.870218;668.796268;642.053447;-273.000000;
14.000000;674.975671;668.762013;641.923085;-273.000000;
14.100000;675.012168;668.766806;641.703371;-273.000000;
14.200000;674.865529;668.567517;641.465418;-273.000000;
14.300000;674.853237;668.680846;641.432350;-273.000000;
14.400000;674.779350;668.560464;641.074197;-273.000000;
14.500000;674.830624;668.413948;640.832215;-273.000000;
14.600000;674.903484;668.426913;640.774600;-273.000000;
14.700000;674.867245;668.353866;640.461591;-273.000000;
14.800000;674.866389;668.187090;640.249915;-273.000000;
14.900000;674.894134;668.235444;640.161374;-273.000000;
15.000000;674.854266;668.079515;639.953418;-273.000000;
15.100000;674.804434;668.051775;639.758559;-273.000000;
15.200000;674.759745;667.946234;639.543756;-273.000000;
15.300000;674.714950;667.703484;639.467474;-273.000000;
15.400000;674.669984;667.759934;639.335991;-273.000000;
15.500000;674.739311;667.707483;639.041976;-273.000000;
15.600000;674.581461;667.532572;638.852918;-273.000000;
15.700000;674.638276;667.524043;638.795688;-273.000000;
15.800000;674.595492;667.547014;638.552344;-273.000000;
15.900000;674.526934;667.321041;638.325421;-273.000000;
16.000000;674.579242;667.339189;638.311006;-273.000000;
16.100000;674.651261;667.261186;638.029932;-273.000000;
16.200000;674.551987;667.082792;637.855629;-273.000000;
16.300000;674.567011;667.192593;637.699974;-273.000000;
16.400000;674.677887;667.043342;637.426882;-273.000000;
16.500000;674.496224;666.954328;637.255235;-273.000000;
16.600000;674.610924;666.937629;637.184156;-273.000000;
16.700000;674.567208;666.787630;636.893862;-273.000000;
16.800000;674.496492;666.745514;636.917926;-273.000000;
16.900000;674.476750;666.778354;636.743288;-273.000000;
17.000000;674.513111;666.550892;636.400441;-273.000000;
17.100000;674.423818;666.525388;636.244976;-273.000000;
17.200000;674.594645;666.556810;636.121291;-273.000000;
17.300000;674.342734;666.332463;635.938394;-273.000000;
17.400000;674.393308;666.293725;635.930512;-273.000000;
17.500000;674.292326;666.280230;635.658791;-273.000000;
17.600000;674.256911;666.048056;635.495474;-273.000000;
17.700000;674.244829;666.003579;635.410338;-273.000000;
17.800000;674.269653;665.962092;635.066079;-273.000000;
17.900000;674.280105;665.982534;634.913000;-273.000000;
18.000000;674.266600;665.919966;634.826865;-273.000000;
18.100000;674.237008;665.782413;634.510647;-273.000000;
18.200000;674.290584;665.706678;634.518024;-273.000000;
18.300000;674.122184;665.545503;634.302144;-273.000000;
18.400000;674.158689;665.499783;634.289574;-273.000000;
18.500000;674.256958;665.493479;634.044676;-273.000000;
18.600000;674.163868;665.271352;633.780818;-273.000000;
18.700000;674.135603;665.260080;633.779188;-273.000000;
18.800000;674.007471;665.269865;633.572421;-273.000000;
18.900000;673.982161;665.058643;633.329132;-273.000000;
19.000000;673.985142;665.056842;633.410700;-273.000000;
19.100000;674.050921;664.977757;633.166882;-273.000000;
19.200000;673.886613;664.759500;632.893844;-273.000000;
19.300000;673.993103;664.772827;632.833312;-273.000000;
19.400000;673.857153;664.733343;632.820041;-273.000000;
19.500000;673.849989;664.626362;632.554350;-273.000000;
19.600000;673.805124;664.609335;632.548306;-273.000000;
19.700000;673.848639;664.578570;632.250441;-273.000000;
19.800000;673.683542;664.289713;632.013741;-273.000000;
19.900000;673.817134;664.315844;632.045553;-273.000000;
20.000000;673.850887;664.364169;631.792400;-273.000000;
20.102000;673.822387;664.258249;631.654592;-273.000000;
20.202000;673.792185;664.200584;631.581240;-273.000000;
20.302000;673.735757;663.977691;631.292146;-273.000000;
20.402000;673.693213;663.921629;631.297947;-273.000000;
20.502000;673.672963;663.912218;631.159024;-273.000000;
20.602000;673.526722;663.694226;630.894239;-273.000000;
20.702000;673.568602;663.711023;630.946948;-273.000000;
20.802000;673.621027;663.723731;630.678941;-273.000000;
20.902000;673.465681;663.566384;630.523600;-273.000000;
21.002000;673.449089;663.506182;630.538458;-273.000000;
21.102000;673.477025;663.465498;630.349654;-273.000000;
21.202000;673.363187;663.350750;630.170974;-273.000000;
21.302000;673.415004;663.262313;630.190073;-273.000000;
21.402000;673.425424;663.215605;629.945352;-273.000000;
21.502000;673.346211;663.143985;629.721868;-273.000000;
21.602000;673.305041;663.115372;629.774456;-273.000000;
21.702000;673.399043;662.959060;629.531546;-273.000000;
21.802000;673.220309;662.771312;629.301855;-273.000000;
21.902000;673.226287;662.761205;629.339860;-273.000000;
22.002000;673.281111;662.723650;629.142916;-273.000000;
22.102000;673.175448;662.558475;628.924915;-273.000000;
22.202000;673.183905;662.545781;628.917742;-273.000000;
22.302000;673.095174;662.448952;628.778374;-273.000000;
22.402000;673.229216;662.449012;628.558766;-273.000000;
22.502000;673.085686;662.248049;628.391709;-273.000000;
22.602000;673.015316;662.298487;628.524849;-273.000000;
22.702000;673.034067;662.231755;628.260862;-273.000000;
22.802000;672.923460;662.118395;628.109274;-273.000000;
22.902000;673.052557;662.050768;628.106707;-273.000000;
23.002000;672.976113;661.810338;627.843767;-273.000000;
23.102000;672.969686;661.847713;627.814900;-273.000000;
23.202000;672.966817;661.855682;627.638266;-273.000000;
23.302000;672.835073;661.671661;627.457629;-273.000000;
