t	fd_A	fd_V
0	0	0	0
0.002	0	0	0
0.0041	0	0	1.97215226305253E-30
0.006	0	0	2.01828999999996E-16
0.00800000000000001	0	0	4.06886999999969E-16
0.0101	0	0	3.78653234506086E-29
0.0121	0	0	1.76704842769507E-28
0.0141	0	0	4.79627430374375E-28
0.0161	0	0	9.08767762814606E-28
0.0180999999999999	0	0	1.61558713389263E-27
0.0200999999999999	0	0	2.52435489670724E-27
0.0220999999999999	0	0	3.837019442995E-27
0.0240999999999999	0	0	5.45260657688763E-27
0.0260999999999999	0	0	7.67403888599E-27
0.0280999999999999	0	0	1.0097419586829E-26
0.0300999999999999	0	0	1.33285938546142E-26
0.0320999999999999	0	0	1.37324906380874E-26
0.0341	0	0	7.27014210251684E-27
0.036	0	0	1.75248999999989E-14
0.0380000000000001	0	0	2.04206999999863E-14
0.0400000000000001	0	0	2.36971999999729E-14
0.0420000000000002	0	0	2.74075999999532E-14
0.0440000000000002	0	0	3.16143999999259E-14
0.0460000000000003	0	0	3.63906999998978E-14
0.0480000000000003	0	0	4.18222999998538E-14
0.0500000000000004	0	0	4.80093999998065E-14
0.0520000000000005	0	0	5.50687999997457E-14
0.0540000000000005	0	0	6.3136999999676E-14
0.0560000000000006	0	0	7.23728999995889E-14
0.0580000000000006	0	0	8.29616999994782E-14
0.0600000000000007	0	0	9.51183999993388E-14
0.0620000000000007	0	0	1.09092999999186E-13
0.0640000000000008	0	0	1.2517599999899E-13
0.0660000000000009	0	0	1.43701999998763E-13
0.0680000000000009	0	0	1.65061999998491E-13
0.070000000000001	0	0	1.8970499999817E-13
0.072000000000001	0	0	2.18150999997724E-13
0.0740000000000011	0	1.56008587219088E-13	2.50998999997222E-13
0.0760000000000012	0	1.55629274935945E-13	2.8893899999666E-13
0.0780000000000012	0	1.5525169551775E-13	3.32765999995962E-13
0.0800000000000013	0	1.54875837360691E-13	2.51963000000402E-13
0.0820000000000013	0	1.54501688963281E-13	1.31898000000103E-12
0.0840000000000014	0	1.5412923892518E-13	3.46631000000194E-12
0.0860000000000014	0	1.53758475946253E-13	7.00887000000317E-12
0.0880000000000015	0	1.53389388825173E-13	1.23285000000048E-11
0.0900000000000016	0	1.53021966458684E-13	1.98856000000069E-11
0.0920000000000016	0	1.5265619784035E-13	3.02318000000097E-11
0.0940000000000017	0	1.52292072059419E-13	4.40250000000132E-11
0.0960000000000017	0	1.51929578300148E-13	6.20462000000178E-11
0.0980000000000018	0	1.51568705840507E-13	8.52180000000234E-11
0.100000000000002	0	1.5120944405105E-13	1.1462700000003E-10
0.102000000000002	0	1.50851782394362E-13	1.51545000000039E-10
0.104000000000002	0	1.50495710423717E-13	1.9746100000005E-10
0.106000000000002	0	1.50141217781892E-13	2.54105000000063E-10
0.108000000000002	0	1.49788294200897E-13	3.2348700000008E-10
0.110000000000002	0	1.49436929500389E-13	4.07930000000099E-10
0.112000000000002	0	1.49087113587585E-13	5.10114000000122E-10
0.114000000000002	4.42312347161975E-10	6.98445647634813E-13	6.3312200000015E-10
0.116000000000002	2.21116359860065E-09	2.95941820174915E-12	7.80490000000185E-10
0.118000000000002	5.44767160426648E-09	7.23532180843377E-12	9.56261000000226E-10
0.120000000000002	1.02833295067222E-08	1.3844034801174E-11	1.16505000000027E-09
0.122000000000002	1.68575883485646E-08	2.31427166114925E-11	1.41212000000033E-09
0.124000000000003	2.53181185338379E-08	3.55317733596019E-11	1.7034400000004E-09
0.126000000000002	3.58211125471061E-08	5.14592055759105E-11	2.04578000000045E-09
0.128000000000002	4.85315722275202E-08	7.14252820741442E-11	2.44679000000048E-09
0.130000000000002	6.36235928846565E-08	9.59875760672573E-11	2.91512000000051E-09
0.132000000000002	8.12806434231902E-08	1.25766382724043E-10	3.46051000000053E-09
0.134000000000002	1.01695841666727E-07	1.61450537716093E-10	4.09392000000053E-09
0.136000000000001	1.2507222411177E-07	2.03803656648443E-10	4.82762000000053E-09
0.138000000000001	1.51623009396526E-07	2.5367081560274E-10	5.6754200000005E-09
0.140000000000001	1.81571854831072E-07	3.11985693346743E-10	6.65271000000046E-09
0.142000000000001	2.1515310540017E-07	3.79778196073895E-10	7.77671000000041E-09
0.144	2.52612034712859E-07	4.58182585825233E-10	9.06662000000033E-09
0.146	2.94205077429872E-07	5.48446134005229E-10	1.05438000000002E-08
0.148	3.40200052747606E-07	6.5193832162442E-10	1.22321E-08
0.1501	3.93538253274742E-07	7.76487238736981E-10	1.42607999999998E-08
0.1521	4.49443638149476E-07	9.11947967107781E-10	1.64672999999995E-08
0.154099999999999	5.10640292405723E-07	1.06567378272211E-09	1.89744999999991E-08
0.156099999999999	5.77444230025754E-07	1.23963526931808E-09	2.18184999999987E-08
0.158099999999999	6.50183828290948E-07	1.4359808189914E-09	2.50388999999981E-08
0.160099999999999	7.29199989383351E-07	1.65704960682483E-09	2.86795999999975E-08
0.162099999999998	8.14846290432645E-07	1.90538526581388E-09	3.27887999999967E-08
0.164099999999998	9.07489121566613E-07	2.18375028301865E-09	3.74195999999957E-08
0.166099999999998	1.00750781148487E-06	2.49514113734868E-09	4.26303999999946E-08
0.168099999999998	1.11529474003452E-06	2.84280419874289E-09	4.84850999999932E-08
0.170099999999998	1.23125543722225E-06	3.23025240772859E-09	5.50540999999916E-08
0.172099999999997	1.35580866805199E-06	3.66128275342351E-09	6.24140999999898E-08
