t	Cd
0	0	0
0.002	0	0
0.0041	0	5.02338
0.006	0	5.02104
0.00800000000000001	0	5.03273
0.0101	0	5.05844
0.0121	0	5.07013
0.0141	0	5.08182
0.0161	0	5.09350999999999
0.0180999999999999	0	5.10518999999999
0.0200999999999999	0	5.11687999999999
0.0220999999999999	0	5.12856999999999
0.0240999999999999	0	5.14025999999999
0.0260999999999999	0	5.15194999999999
0.0280999999999999	0	5.16363999999998
0.0300999999999999	0	5.17531999999998
0.0320999999999999	0	5.18700999999999
0.0341	0	5.19869999999999
0.036	0	5.19703
0.0380000000000001	0	5.20885000000001
0.0400000000000001	0	5.22068000000001
0.0420000000000002	0	5.23253000000002
0.0440000000000002	0	5.24439000000003
0.0460000000000003	0	5.25626000000004
0.0480000000000003	0	5.26816000000004
0.0500000000000004	0	5.28006000000005
0.0520000000000005	0	5.29198000000005
0.0540000000000005	0	5.30391000000006
0.0560000000000006	0	5.31585000000007
0.0580000000000006	0	5.32780000000007
0.0600000000000007	0	5.33977000000008
0.0620000000000007	0	5.35174000000008
0.0640000000000008	0	5.36371000000008
0.0660000000000009	0	5.37570000000009
0.0680000000000009	0	5.38768000000009
0.070000000000001	0	5.39967000000009
0.072000000000001	0	5.4116600000001
0.0740000000000011	0	5.4236500000001
0.0760000000000012	0	5.4356300000001
0.0780000000000012	0	5.4476200000001
0.0800000000000013	0	5.46695000000001
0.0820000000000013	0	5.47864000000001
0.0840000000000014	0	5.49032000000001
0.0860000000000014	0	5.50201000000001
0.0880000000000015	0	5.51370000000001
0.0900000000000016	0	5.52539000000001
0.0920000000000016	0	5.53708000000001
0.0940000000000017	0	5.54877000000001
0.0960000000000017	0	5.56045000000001
0.0980000000000018	0	5.57214000000001
0.100000000000002	0	5.58383000000001
0.102000000000002	0	5.59552000000001
0.104000000000002	0	5.60721000000001
0.106000000000002	0	5.61890000000001
0.108000000000002	0	5.63058000000001
0.110000000000002	0	5.64227000000001
0.112000000000002	0	5.65396000000001
0.114000000000002	5.66564932012768	5.66565000000001
0.116000000000002	5.67733762868435	5.67734000000001
0.118000000000002	5.68902593696261	5.68903000000001
0.120000000000002	5.700714244934	5.70071000000001
0.122000000000002	5.71240255256693	5.71240000000001
0.124000000000003	5.72409085982641	5.72409000000002
0.126000000000002	5.73577916667371	5.73578000000001
0.128000000000002	5.74746747306602	5.74747000000001
0.130000000000002	5.75915577895582	5.75916000000001
0.132000000000002	5.77084408429064	5.77084000000001
0.134000000000002	5.78253238901232	5.78253000000001
0.136000000000001	5.79422069305655	5.79422000000001
0.138000000000001	5.80590899635221	5.80591000000001
0.140000000000001	5.81759729882067	5.8176
0.142000000000001	5.82928560037488	5.82929
0.144	5.84097390091877	5.84097
0.146	5.85266220034614	5.85266
0.148	5.86435049853974	5.86435
0.1501	5.87662321017333	5.87662
0.1521	5.88831150541823	5.88831
0.154099999999999	5.89999979899117	5.9
0.156099999999999	5.91168809071765	5.91168999999999
0.158099999999999	5.92337638040535	5.92337999999999
0.160099999999999	5.93506466784248	5.93505999999999
0.162099999999998	5.94675295279584	5.94674999999999
0.164099999999998	5.95844123500896	5.95843999999999
0.166099999999998	5.97012951419982	5.97012999999999
0.168099999999998	5.98181779005854	5.98181999999999
0.170099999999998	5.99350606224476	5.99350999999999
0.172099999999997	6.00519433038487	6.00518999999998
0.174099999999997	6.0168825940691	6.01687999999998
0.176099999999997	6.02857085284814	6.02856999999998
0.178099999999997	6.04025910622978	6.04025999999998
0.180099999999996	6.05194735367508	6.05194999999998
0.182099999999996	6.06363559459412	6.06362999999998
0.184099999999996	6.07532382834193	6.07531999999998
0.186099999999996	6.08701205421359	6.08700999999998
0.188099999999996	6.09870027143907	6.09869999999997
0.190099999999995	6.11038847917792	6.11038999999997
0.192099999999995	6.12207667651328	6.12206999999997
0.194099999999995	6.13376486244561	6.13375999999997
0.196099999999995	6.14545303588593	6.14544999999997
0.198099999999995	6.15714119564853	6.15713999999997
0.200099999999994	6.16882934044307	6.16882999999997
0.202099999999994	6.18051746886647	6.18050999999997
0.204099999999994	6.19220557939373	6.19219999999996
0.206099999999994	6.20389367036853	6.20388999999996
0.208099999999993	6.21558173999286	6.21557999999996
0.210099999999993	6.22726978631626	6.22725999999996
0.212099999999993	6.23895780722394	6.23894999999996
0.214099999999993	6.2506458004245	6.25063999999996
0.216099999999993	6.26233376343643	6.26232999999996
0.218099999999992	6.27402169357411	6.27400999999995
0.220099999999992	6.28570958793256	6.28569999999995
0.222099999999992	6.29739744337129	6.29738999999995
0.224099999999992	6.30908525649729	6.30906999999995
0.226099999999991	6.32077302364654	6.32075999999995
0.228099999999991	6.3324607408647	6.33244999999995
0.230099999999991	6.3441484038865	6.34412999999995
0.232099999999991	6.3558360081136	6.35581999999994
0.234099999999991	6.36752354859141	6.36749999999994
0.23609999999999	6.37921101998412	6.37918999999994
0.23809999999999	6.39089841654856	6.39086999999994
0.24009999999999	6.40258573210624	6.40255999999994
0.24209999999999	6.41427296001366	6.41423999999994
0.244099999999989	6.4259600931311	6.42592999999994
0.246099999999989	6.43764712378919	6.43760999999994
0.248099999999989	6.44933404375383	6.44928999999994
0.250099999999989	6.46102084418885	6.46097999999993
0.252099999999989	6.47270751561663	6.47265999999993
0.254099999999988	6.48439404787623	6.48433999999993
0.256099999999988	6.49608043007945	6.49601999999993
0.258099999999988	6.50776665056404	6.50769999999993
0.260099999999988	6.51945269684448	6.51937999999993
0.262099999999987	6.53113855555998	6.53105999999993
0.264099999999987	6.54282421241943	6.54273999999993
