t	Sg
0	0
0.0101	121.817541102915
0.0200999999999999	483.628186377723
0.0300999999999999	874.814968203357
0.0400000000000001	1219.32738157641
0.0500000000000004	1523.74740582795
0.0600000000000007	1781.48914350348
0.070000000000001	2004.77292568615
0.0800000000000013	2202.04990145912
0.0900000000000016	2384.29601464765
0.100000000000002	2558.12375841545
0.110000000000002	2728.5023106903
0.120000000000002	2896.20189402004
0.130000000000002	3060.97301773773
0.140000000000001	3222.81853407553
0.1501	3389.90125475195
0.160099999999999	3556.98524247653
0.170099999999998	3720.32817839017
0.180099999999996	3885.33490047559
0.190099999999995	4043.5057334976
