t	Cl
0	0.0131274
0.0101	0.013113523294106
0.0200999999999999	0.0130895182814162
0.0300999999999999	0.0130740017005209
0.0400000000000001	0.013064103527361
0.0500000000000004	0.0130569855426392
0.0600000000000007	0.0130515886987845
0.070000000000001	0.0130470269718388
0.0800000000000013	0.0130428148756393
0.0900000000000016	0.0130386079672752
0.100000000000002	0.0130342238944714
0.110000000000002	0.0130295591991458
0.120000000000002	0.0130245940613201
0.130000000000002	0.013019341302612
0.140000000000001	0.0130138247779423
0.1501	0.0130079470901983
0.160099999999999	0.0130018766957012
0.170099999999998	0.0129956180917996
0.180099999999996	0.0129892175332671
0.190099999999995	0.0129827145806196
