t	T
0	894.5	894.5
0.002	894.41	894.41
0.0041	894.31550466726	894.3155
0.006	894.230019741057	894.23
0.00800000000000001	894.140047471871	894.14
0.0101	894.045590726577	894.04551
0.0121	893.955646682717	893.95552
0.0141	893.865718562935	893.86552
0.0161	893.775808086755	893.77553
0.0180999999999999	893.685917160378	893.68555
0.0200999999999999	893.596047846819	893.59556
0.0220999999999999	893.506202339564	893.50558
0.0240999999999999	893.416382940336	893.4156
0.0260999999999999	893.326592040916	893.32563
0.0280999999999999	893.236832108557	893.23567
0.0300999999999999	893.147105674461	893.14571
0.0320999999999999	893.057415324691	893.05576
0.0341	892.967763693039	892.96582
0.036	892.882632942416	892.88035
0.0380000000000001	892.793064541895	892.79043
0.0400000000000001	892.703542858215	892.70052
0.0420000000000002	892.614096953163	892.61062
0.0440000000000002	892.524800092417	892.52074
0.0460000000000003	892.435579322837	892.43087
0.0480000000000003	892.346438831637	892.34103
0.0500000000000004	892.257382825076	892.25121
0.0520000000000005	892.168415528291	892.16142
0.0540000000000005	892.079541184983	892.07166
0.0560000000000006	891.990764056978	891.98193
0.0580000000000006	891.902088423674	891.89224
0.0600000000000007	891.813518581383	891.80259
0.0620000000000007	891.725058842571	891.713
0.0640000000000008	891.636713535023	891.62347
0.0660000000000009	891.549005002637	891.53401
0.0680000000000009	891.462345570781	891.44462
0.070000000000001	891.379616892445	891.35533
0.072000000000001	891.297287195107	891.26614
0.0740000000000011	891.215387477243	891.17707
0.0760000000000012	891.133952042696	891.08814
0.0780000000000012	891.053018094142	890.99938
0.0800000000000013	890.972631088775	890.9118
0.0820000000000013	890.892844571193	890.82501
0.0840000000000014	890.813717361377	890.73863
0.0860000000000014	890.735383632124	890.65273
0.0880000000000015	890.658002933097	890.56737
0.0900000000000016	890.581634813107	890.48261
0.0920000000000016	890.506298424564	890.39853
0.0940000000000017	890.431810773695	890.31521
0.0960000000000017	890.358495471733	890.23276
0.0980000000000018	890.286497202322	890.15127
0.100000000000002	890.215924017958	890.07087
0.102000000000002	890.14689169381	889.99169
0.104000000000002	890.079523690371	889.91386
0.106000000000002	890.013882251467	889.83755
0.108000000000002	889.950035655453	889.76294
0.110000000000002	889.888205695593	889.69019
0.112000000000002	889.82842673405	889.61953
0.114000000000002	889.77110685294	889.55116
0.116000000000002	889.716407353453	889.48531
0.118000000000002	889.66446670217	889.42222
0.120000000000002	889.615239180754	889.36214
0.122000000000002	889.56889308295	889.30532
0.124000000000003	889.525705874714	889.25203
0.126000000000002	889.485757918379	889.20251
0.128000000000002	889.449241485139	889.15702
0.130000000000002	889.416261827062	889.11578
0.132000000000002	889.386793009092	889.07901
0.134000000000002	889.361081690427	889.04691
0.136000000000001	889.339180881911	889.01962
0.138000000000001	889.321097605458	888.99727
0.140000000000001	889.306673031639	888.97993
0.142000000000001	889.295976326633	888.96763
0.144	889.288926541778	888.96035
0.146	889.285583762382	888.95802
0.148	889.285817432079	888.96051
0.1501	889.289546306748	888.96813
0.1521	889.296334812053	888.97994
0.154099999999999	889.306238274286	888.99592
0.156099999999999	889.319066550097	889.0158
0.158099999999999	889.334558722538	889.03927
0.160099999999999	889.352442317621	889.066
0.162099999999998	889.372505251599	889.09566
0.164099999999998	889.394641012102	889.12791
0.166099999999998	889.418614747774	889.16242
