t	fg_A_per_fg_A_Det
0	0
0.002	0
0.0041	0.341414162965505
0.006	0.349744113200783
0.00800000000000001	0.36413560357912
0.0101	0.38497645234079
0.0121	0.411913949089842
0.0141	0.445059294419722
0.0161	0.484333581864157
0.0180999999999999	0.529598350578164
0.0200999999999999	0.580642660452844
0.0220999999999999	0.637179702806282
0.0240999999999999	0.698839596067253
0.0260999999999999	0.765172323465757
0.0280999999999999	0.835630058475504
0.0300999999999999	0.909583593767978
0.0320999999999999	0.986311206981615
0.0341	1.06500703424747
0.036	1.14736029815965
0.0380000000000001	1.22771342037222
0.0400000000000001	1.3072063291047
0.0420000000000002	1.39021853868645
0.0440000000000002	1.48804267976899
0.0460000000000003	1.58231113640978
0.0480000000000003	1.67173991710469
0.0500000000000004	1.75511287186099
0.0520000000000005	1.83132829864495
0.0540000000000005	1.89943119307053
0.0560000000000006	1.95861547685081
0.0580000000000006	2.00826402136792
0.0600000000000007	2.04794453803554
0.0620000000000007	2.07742821657754
0.0640000000000008	2.09667706421001
0.0660000000000009	2.14416852344359
0.0680000000000009	2.2386162723897
0.070000000000001	2.37470257844921
0.072000000000001	2.48314422818071
0.0740000000000011	2.5730063805663
0.0760000000000012	2.64868904811785
0.0780000000000012	2.71293653882018
0.0800000000000013	2.65525179832587
0.0820000000000013	2.50640571966467
0.0840000000000014	2.39926042627768
0.0860000000000014	2.2384210149884
0.0880000000000015	2.09534284273949
0.0900000000000016	1.97008814678301
0.0920000000000016	1.87692602924582
0.0940000000000017	1.84455953177761
0.0960000000000017	1.75455285933031
0.0980000000000018	1.67587777449957
0.100000000000002	1.60477947265111
0.102000000000002	1.54538909174525
0.104000000000002	1.48833794704176
0.106000000000002	1.4558064871735
0.108000000000002	1.42352328709469
0.110000000000002	1.39244720714112
0.112000000000002	1.33677844463263
0.114000000000002	1.28831101395145
0.116000000000002	1.24487161320772
0.118000000000002	1.21219491451054
0.120000000000002	1.19741319831165
0.122000000000002	1.1761884439478
0.124000000000003	1.15205805299936
0.126000000000002	1.12229375329226
0.128000000000002	1.09595666766765
0.130000000000002	1.08218591065733
0.132000000000002	1.06413642084216
0.134000000000002	1.04446781505731
0.136000000000001	1.02744799423799
0.138000000000001	1.01391743921429
0.140000000000001	1.00029908396141
0.142000000000001	0.986789710874169
0.144	0.969914879602329
0.146	0.955703418057527
0.148	0.950465705138216
0.1501	0.945463807247863
0.1521	0.933063239056169
0.154099999999999	0.922608096366758
0.156099999999999	0.913235122421398
0.158099999999999	0.907213405291272
0.160099999999999	0.904435323575954
0.162099999999998	0.897344754958694
0.164099999999998	0.890528261890496
0.166099999999998	0.885191320796329
0.168099999999998	0.886536885792743
0.170099999999998	0.881056410328968
0.172099999999997	0.877133395677372
0.174099999999997	0.872866109078941
0.176099999999997	0.869777640518055
0.178099999999997	0.868659299909621
0.180099999999996	0.866084841575859
0.182099999999996	0.863701127367169
0.184099999999996	0.860001762861418
0.186099999999996	0.857186060549109
0.188099999999996	0.855753196765309
0.190099999999995	0.856726990110612
0.192099999999995	0.85919046473171
0.194099999999995	0.858619723917198
0.196099999999995	0.857669829536348
0.198099999999995	0.855712292949619
0.200099999999994	0.854111424630877
0.202099999999994	0.853738276311441
0.204099999999994	0.853783623634445
0.206099999999994	0.854198294451596
0.208099999999993	0.853421781339971
0.210099999999993	0.852648012882144
0.212099999999993	0.852243405218211
0.214099999999993	0.852152223909899
0.216099999999993	0.851823761654922
0.218099999999992	0.851981377705684
0.220099999999992	0.852183934577977
0.222099999999992	0.854102472089859
0.224099999999992	0.853723426457123
0.226099999999991	0.853653138851118
0.228099999999991	0.854151883931696
0.230099999999991	0.85346264092532
0.232099999999991	0.852946595331314
0.234099999999991	0.852648573842602
0.23609999999999	0.85315215554155
0.23809999999999	0.853986333362063
0.24009999999999	0.854903765113222
0.24209999999999	0.857528289300911
0.244099999999989	0.857679699178525
0.246099999999989	0.857752017225084
0.248099999999989	0.857845432199366
0.250099999999989	0.857877335951976
0.252099999999989	0.857895260714924
0.254099999999988	0.857794168751654
0.256099999999988	0.857624559330802
0.258099999999988	0.857802703977437
0.260099999999988	0.858287742890216
0.262099999999987	0.858724483762849
0.264099999999987	0.859079061633603
0.266099999999987	0.861113435324454
0.268099999999987	0.861576653396154
0.270099999999987	0.862050511271291
0.272099999999986	0.863426620938339
0.274099999999986	0.863464559494629
0.276099999999986	0.863483374056032
0.278099999999986	0.86358202820987
0.280099999999985	0.86369603579377
0.282099999999985	0.863805213239416
0.284099999999985	0.863933477867149
0.286099999999985	0.864274583572228
0.288099999999985	0.864772437843177
0.290099999999984	0.865245637896467
0.292099999999984	0.865519673636611
0.294099999999984	0.865751154438257
0.296099999999984	0.867215101910069
0.298099999999983	0.867417681174214
0.300099999999983	0.867629153529
0.302099999999983	0.868097365555247
0.304099999999983	0.868249890420778
0.306099999999983	0.868404290200617
0.308099999999982	0.868655729883799
0.310099999999982	0.868933451099265
0.312099999999982	0.869435109823129
0.314099999999982	0.870310072067545
0.316099999999982	0.870374756002932
0.318099999999981	0.870500622531936
0.320099999999981	0.870652620572507
0.322099999999981	0.870989498362697
0.324099999999981	0.871442040673325
0.32609999999998	0.871937124054984
0.32809999999998	0.872732338908723
0.33009999999998	0.873158674856904
0.33209999999998	0.873585628842635
0.33409999999998	0.874008908434986
0.336099999999979	0.875674585620219
0.338099999999979	0.876856227940907
0.340099999999979	0.877216554346047
0.342099999999979	0.878004420140323
0.344099999999978	0.878298617439859
0.346099999999978	0.878604656620922
0.348099999999978	0.878846987619059
