t	dT
0	0	0
0.000222653588022716	0.00202247191011563	0.00201999629949444
0.000456439855446567	0.00414596253349271	0.00414999857173469
0.000667960764068147	0.00606697211107244	0.00606999788078817
0.000890614352090863	0.00808882085683753	0.00809000316258747
0.00112440061951471	0.01021144434658	0.0102320030975736
0.00134705420753743	0.0122326588153514	0.0122075962829117
0.00156970779556014	0.0142535154396642	0.0142570779556014
0.00179236138358286	0.01627397557855	0.0163036138358286
0.00201501497160557	0.0182939963960068	0.0182750748580278
0.00223766855962828	0.020313531532154	0.0202966855962828
0.002460322147651	0.0223325316951968	0.02235322147651
0.00268297573567371	0.0243509451609809	0.0243997573567371
0.00290562932369643	0.0263687181816729	0.0263681466184821
0.00312828291171914	0.0283857953133183	0.0283928291171914
0.00335093649974185	0.0304021196750327	0.0304403014971604
0.00357359008776457	0.0324176331530197	0.0324894909654103
0.00379624367578729	0.0344322765609305	0.0344424367578729
0.00400776458440888	0.0363453271367275	0.0363754104284977
0.0042304181724316	0.0383581001821251	0.038424181724316
0.00445307176045432	0.0403698234109097	0.0404707176045432
0.00467572534847705	0.0423798437491518	0.0424386267423852
0.00489837893649977	0.0443865147771494	0.0444637893649977
0.00512103252452249	0.046391475891305	0.0465103252452249
0.00534368611254521	0.0483946329969267	0.0485568611254521
0.00556633970056793	0.0503958915713238	0.0504933970056793
0.00578899328859065	0.0523951566676127	0.0525399328859065
0.00601164687661338	0.0543923329217281	0.0545864687661338
0.0062343004646361	0.0563873245623015	0.0566115023231805
0.00645695405265882	0.0583800354230625	0.0585695405265882
0.00667960764068154	0.0603703689576945	0.060615684047497
0.00690226122870426	0.0623582282568212	0.0626526122870427
0.00712491481672699	0.0643435160668968	0.0646645740836349
0.00734756840474971	0.0663144943227605	0.0666256840474971
0.00757022199277243	0.068261897285819	0.0686622199277243
0.00779287558079515	0.0701209687090979	0.0706987558079515
0.00801552916881788	0.0719710742672596	0.0726476458440894
0.0082381827568406	0.0738115173653211	0.074651827568406
0.00846083634486332	0.0756415271304264	0.0766783634486332
0.00868348993288604	0.0774602675473611	0.0787014093959744
0.00890614352090876	0.0792667171061781	0.0805952916881789
0.00912879710893148	0.081059672557471	0.0825691739803834
0.00935145069695421	0.0828378121038895	0.0845430562725878
0.00957410428497693	0.0845981206264292	0.0864784692823962
0.00979675787299965	0.0863370127394033	0.0883408208569968
0.0100194114610224	0.0880531502672654	0.0902741146102237
0.0102420650490451	0.0897461028187899	0.0921885854414058
0.0104647186370678	0.0914199826136027	0.0940612338668052
0.0106873722250905	0.0930675174891558	0.0958663500258148
0.0109100258131133	0.0946854561275921	0.0977202581311326
0.011132679401136	0.0962713703829752	0.0995541146102238
0.0113553329891587	0.0978226585660584	0.101288998451214
0.0115779865771814	0.0993365462838018	0.103041879194633
0.0118006401652041	0.100811634798506	0.104775761486837
0.0120232937532269	0.102246389765104	0.106476350025815
0.0122459473412496	0.103635827065331	0.108071763035623
0.0124686009292723	0.104979174515737	0.109660206504906
0.012691254517295	0.106267261731689	0.11122003613836
0.0129139081053178	0.107496463967355	0.112703678368612
0.0131365616933405	0.108663669614158	0.114085931853383
0.0133592152813632	0.109769906050462	0.115454506969542
0.0135818688693859	0.110811391394382	0.116743082085701
0.0138045224574086	0.111781890455859	0.117943567372226
0.0140271760454314	0.112679597339802	0.119025880227157
0.014249829633454	0.113500191345185	0.12006914816727
0.0144724832214767	0.114241307257025	0.121002416107384
0.0146951368094994	0.114903527885581	0.121810273618999
0.0149177903975221	0.115481310327473	0.122533371192566
0.0151404439855448	0.115973463327837	0.123151331956634
0.0153630975735675	0.116379829090839	0.123666195147135
0.0155857511615902	0.116703976817107	0.12404575116159
0.0158084047496129	0.116944352210498	0.124318404749613
0.0160310583376356	0.117102774342073	0.12449
0.0162537119256583	0.11717789298017	0.12454
0.016476365513681	0.117172641975746	0.124483634486319
0.0167101517811048	0.117088847039361	0.124309848218895
0.0169328053691275	0.116936296358349	0.124044389261745
0.0171554589571502	0.116713746645261	0.12369454104285
0.0173781125451728	0.116425470784332	0.123243774909654
0.0176007661331955	0.116077332077796	0.122707701600413
0.0178234197212182	0.115675453536609	0.122099740836345
0.0180460733092409	0.115224601087668	0.121455890036139
0.0182687268972636	0.114727168267367	0.120725092410946
0.0184913804852863	0.114188432634283	0.119944478058855
0.018714034073309	0.113615038686261	0.119119914816728
0.0189366876613317	0.113013139808644	0.118283249354673
0.0191593412493544	0.112382775533638	0.117392635002582
0.0193819948373771	0.111729413333912	0.116470025813115
0.0196046484253998	0.111057663320439	0.115538378936501
0.0198273020134225	0.110370504721272	0.114623489932888
0.0200499556014451	0.109673500062157	0.113660221992774
0.0202726091894678	0.108967697550147	0.112696954052661
0.0204952627774905	0.108256475828394	0.111771843056274
0.0207179163655132	0.107540702201798	0.110820418172434
0.0209405699535359	0.106823024913811	0.10986715023232
0.0211632235415586	0.106104842426869	0.108913882292207
0.0213858771295813	0.105391302571817	0.108018245740837
0.021608530717604	0.10468220813982	0.10709734641198
0.0218311843056267	0.103979021094206	0.106194078471867
0.0220538378936494	0.103284192509139	0.105294648425403
0.0222764914816721	0.102596748310834	0.104454034073312
0.0224991450696947	0.101917015393265	0.103593419721221
0.0227217986577174	0.101247161486368	0.10274280536913
0.0229444522457401	0.100588685607133	0.10192886938565
0.0231671058337628	0.0999420831082685	0.101141576664949
0.0233897594217855	0.0993073703711074	0.100350962312858
0.0236124130098082	0.0986837018552895	0.0995803479607672
0.0238350665978309	0.0980714909574703	0.0988498668043382
0.0240577201858536	0.0974713917328832	0.0981168394424393
0.0242803737738763	0.096884194990084	0.0973985049044949
0.024503027361899	0.096309339869728	0.0966909179143031
0.0247256809499217	0.0957475436874457	0.0960286381001567
0.0249483345379443	0.095198122075999	0.095364996386167
0.025170988125967	0.0946602289099108	0.0947070356220989
0.0253936417139897	0.094134587912608	0.0940754331440411
0.0256162953020124	0.0936210224752746	0.0934811140939628
0.0258389488900351	0.0931190752672832	0.0928731533298947
0.0260616024780578	0.0926281938268582	0.0922851925658266
0.0262842560660805	0.0921482573260241	0.0917136159008793
0.0265069096541032	0.0916791811464157	0.0911792710376904
0.0267295632421259	0.0912213873215161	0.0906308735157483
0.0269522168301486	0.0907734889228982	0.0900955663397029
0.0271748704181713	0.0903358729135511	0.0895826943727431
0.0273975240061939	0.0899088556735003	0.0890949519876121
