t	La
0	0	0
0.002	0	0
0.0041	177.429535649156	348.09555
0.006	187.808309450774	348.12288
0.00800000000000001	196.084938962008	348.18826
0.0101	211.068601300874	348.324
0.0121	230.301018071217	348.52761
0.0141	253.136460855719	348.83071
0.0161	278.564350979002	349.25732
0.0180999999999999	299.846365705432	349.83306
0.0200999999999999	326.989752051981	350.585
0.0220999999999999	353.838279579544	351.54157
0.0240999999999999	380.558017369203	352.73258
0.0260999999999999	407.229065332355	354.18909
0.0280999999999999	434.521728804331	355.9434
0.0300999999999999	460.10089652073	358.02903
0.0320999999999999	487.444678432657	360.48065
0.0341	514.992502969783	363.33408
0.036	541.290577644956	366.27623
0.0380000000000001	569.061642759572	369.99577
0.0400000000000001	595.350712270908	374.227220000001
0.0420000000000002	622.98473142535	379.010630000001
0.0440000000000002	648.180631418033	384.387080000001
0.0460000000000003	675.994504989271	390.398640000002
0.0480000000000003	703.995262739781	397.088400000002
0.0500000000000004	731.783089158437	404.500410000003
0.0520000000000005	758.466668938226	412.679670000004
0.0540000000000005	786.410767893656	421.672110000005
0.0560000000000006	814.394423030384	431.524570000006
0.0580000000000006	840.827827433942	442.284770000007
0.0600000000000007	868.669285284431	454.001270000009
0.0620000000000007	896.84108369963	466.72348000001
0.0640000000000008	923.929305207504	480.501550000012
0.0660000000000009	957.158265788399	495.386390000013
0.0680000000000009	991.016173563707	511.429610000015
0.070000000000001	1026.49745680202	528.683430000018
0.072000000000001	1063.63293986694	547.20066000002
0.0740000000000011	1101.39512821639	567.034590000022
0.0760000000000012	1142.45434122042	588.238900000025
0.0780000000000012	1185.14148825364	610.867590000028
0.0800000000000013	1230.65621727557	652.050540000031
0.0820000000000013	1278.74778288567	703.352300000035
0.0840000000000014	1329.34172040413	757.772320000039
0.0860000000000014	1384.30419645946	815.407000000043
0.0880000000000015	1441.94086509739	876.350090000047
0.0900000000000016	1501.55816690429	940.692070000051
0.0920000000000016	1565.33506708879	1008.51937000006
0.0940000000000017	1630.0496956307	1079.91350000006
0.0960000000000017	1701.4997390649	1154.95012000007
0.0980000000000018	1774.38921990386	1233.69796000007
0.100000000000002	1851.38935074125	1316.21760000008
0.102000000000002	1929.86731080254	1402.56024000008
0.104000000000002	2012.67585415649	1492.76621000009
0.106000000000002	2099.21155255635	1586.8634900001
0.108000000000002	2188.83745347913	1684.8660500001
0.110000000000002	2281.26253847739	1786.77217000011
0.112000000000002	2377.1062836229	1892.56261000012
0.114000000000002	2476.15151725044	2002.19886000013
0.116000000000002	2579.68959763984	2115.62135000013
0.118000000000002	2684.09674936539	2232.74780000014
0.120000000000002	2792.88030078519	2353.47160000015
0.122000000000002	2903.78095471472	2477.66063000016
0.124000000000003	3017.92288904173	2605.15617000016
0.126000000000002	3134.73465614274	2735.77245000016
0.128000000000002	3252.80263893157	2869.29652000015
0.130000000000002	3374.14930047806	3005.48888000014
0.132000000000002	3496.06152245214	3144.08463000012
0.134000000000002	3620.38260287275	3284.79547000011
0.136000000000001	3745.77499829454	3427.31236000009
0.138000000000001	3870.64607901616	3571.30885000008
0.140000000000001	3999.37309097086	3716.44514000007
0.142000000000001	4127.63551998949	3862.37259000005
0.144	4254.70371566861	4008.73865000003
0.146	4383.32725952434	4155.19197000002
0.148	4511.06367584727	4301.38749
0.1501	4645.95438436689	4454.25026999998
0.1521	4772.96364253593	4598.89095999997
0.154099999999999	4900.17264618011	4742.30917999996
0.156099999999999	5024.69831966075	4884.23071999994
0.158099999999999	5148.5633996319	5024.40692999992
0.160099999999999	5271.05338436391	5162.61641999991
0.162099999999998	5391.27634106426	5298.6659099999
0.164099999999998	5509.29200056294	5432.39039999988
0.166099999999998	5626.51173235454	5563.65263999987
0.168099999999998	5741.60943695293	5692.34204999986
0.170099999999998	5855.7977276915	5818.37324999985
0.172099999999997	5966.55507783815	5941.68419999984
0.174099999999997	6074.91954260749	6062.23415999983
0.176099999999997	6182.65401515267	6180.00149999982
0.178099999999997	6286.67228499238	6294.98153999981
0.180099999999996	6389.59155834275	6407.1843099998
0.182099999999996	6490.05924838597	6516.6325299998
0.184099999999996	6587.43694761643	6623.35958999979
0.186099999999996	6683.10058325004	6727.40776999979
0.188099999999996	6777.12906256873	6828.82659999978
0.190099999999995	6868.55024155415	6927.67132999978
0.192099999999995	6958.21809215249	7024.00168999977
0.194099999999995	7046.19939153432	7117.88069999977
0.196099999999995	7130.77072416748	7209.37368999976
0.198099999999995	7214.85870178645	7298.54749999976
0.200099999999994	7296.69516944795	7385.46966999976
0.202099999999994	7376.25302039376	7470.20795999975
0.204099999999994	7454.10979569852	7552.82972999975
0.206099999999994	7529.90934446914	7633.40166999975
0.208099999999993	7604.70001630353	7711.98933999974
0.210099999999993	7678.16377886275	7788.65701999974
0.212099999999993	7748.87982641297	7863.46745999974
0.214099999999993	7818.23616661084	7936.48174999974
0.216099999999993	7887.21211490456	8007.75918999974
0.218099999999992	7953.49187103906	8077.35723999974
0.220099999999992	8018.76882137577	8145.33147999973
0.222099999999992	8082.76985827089	8211.73554999973
0.224099999999992	8144.83359962183	8276.62121999973
0.226099999999991	8206.45315141847	8340.03833999973
0.228099999999991	8266.25139033351	8402.03488999973
0.230099999999991	8325.25651321447	8462.65702999973
0.232099999999991	8383.10328245294	8521.94912999973
0.234099999999991	8438.82161199458	8579.95381999973
0.23609999999999	8493.9644952928	8636.71206999973
0.23809999999999	8548.32659391707	8692.26319999973
0.24009999999999	8601.75775653432	8746.64497999973
0.24209999999999	8653.47179303319	8799.89364999973
0.244099999999989	8704.30782941342	8852.04404999973
0.246099999999989	8754.34430755671	8903.12958999973
0.248099999999989	8803.85401364609	8953.18235999973
0.250099999999989	8852.22996058671	9002.23318999973
0.252099999999989	8899.86189541395	9050.31168999973
0.254099999999988	8945.70244700509	9097.44628999973
0.256099999999988	8991.17665447126	9143.66432999973
0.258099999999988	9035.68703765546	9188.99208999973
0.260099999999988	9079.98729893262	9233.45480999973
0.262099999999987	9123.2909031173	9277.07679999973
0.264099999999987	9165.75072595579	9319.88140999973
0.266099999999987	9207.60544348001	9361.89114999973
0.268099999999987	9248.50015376831	9403.12765999973
0.270099999999987	9288.22699959257	9443.61178999973
0.272099999999986	9327.72014705676	9483.36362999973
0.274099999999986	9366.66428838627	9522.40252999973
0.276099999999986	9405.01925719479	9560.74714999973
0.278099999999986	9442.6397590689	9598.41548999973
0.280099999999985	9480.13286069206	9635.42490999973
0.282099999999985	9516.31996395671	9671.79216999974
0.284099999999985	9552.33746436665	9707.53342999973
0.286099999999985	9587.47836969905	9742.66432999973
0.288099999999985	9622.49447392865	9777.19994999974
0.290099999999984	9655.99086710985	9811.15488999974
0.292099999999984	9689.09237512982	9844.54324999974
0.294099999999984	9722.00747619679	9877.37867999974
0.296099999999984	9754.67227990437	9909.67436999974
0.298099999999983	9786.72250403619	9941.44308999974
0.300099999999983	9818.50201792555	9972.69722999974
0.302099999999983	9849.55491345786	10003.4487499997
0.304099999999983	9880.11386321971	10033.7092799997
0.306099999999983	9910.03757858974	10063.4900499997
0.308099999999982	9939.52956298939	10092.8019699997
0.310099999999982	9968.4951506105	10121.6556299997
0.312099999999982	9997.3927121283	10150.0612799997
0.314099999999982	10025.3782947079	10178.0288799997
0.316099999999982	10053.2788446414	10205.5680999997
0.318099999999981	10081.001388975	10232.6883199997
0.320099999999981	10108.2108394859	10259.3986599997
0.322099999999981	10134.9522056219	10285.7079799997
0.324099999999981	10161.4012513561	10311.6248899997
0.32609999999998	10187.5848803899	10337.1577499998
0.32809999999998	10213.2799478228	10362.3146999998
0.33009999999998	10238.4791620043	10387.1036599998
0.33209999999998	10263.0935914667	10411.5323099998
0.33409999999998	10287.3495076671	10435.6081599998
0.336099999999979	10311.4374210724	10459.3384899998
0.338099999999979	10335.0960753978	10482.7304099998
0.340099999999979	10358.8911151624	10505.7908299998
0.342099999999979	10382.4468392334	10528.5264799998
0.344099999999978	10405.5890778944	10550.9439199998
0.346099999999978	10428.4850832284	10573.0495399998
0.348099999999978	10450.6699640491	10594.8495899998
0.350099999999978	10473.0114061505	10616.3501199998
0.352099999999978	10494.7197736229	10637.5570599998
0.354099999999977	10516.1432678159	10658.4761899998
0.356099999999977	10537.1227861992	10679.1131399998
0.358099999999977	10558.1477352702	10699.4733999998
0.360099999999977	10578.6151286335	10719.5623499998
0.362099999999976	10598.9187101508	10739.3852099998
0.364099999999976	10619.0279768986	10758.9470999998
0.366099999999976	10639.0787936154	10778.2529999998
0.368099999999976	10658.7080550274	10797.3077899998
0.370099999999976	10678.3639092018	10816.1162099998
0.372099999999975	10697.7715022932	10834.6829199998
0.374099999999975	10716.7376754297	10853.0124599998
0.376099999999975	10735.5052421578	10871.1092699998
0.378099999999975	10753.8245955112	10888.9776599998
0.380099999999974	10772.0798044206	10906.6218899998
0.382099999999974	10790.0573678569	10924.0460999998
0.384099999999974	10807.6193815417	10941.2543199998
0.386099999999974	10825.4162748382	10958.2505199998
0.388099999999974	10842.6464032845	10975.0385599998
0.390099999999973	10859.772375152	10991.6222399998
0.392099999999973	10876.9158750717	11008.0052499998
0.394099999999973	10893.5619910214	11024.1912199998
0.396099999999973	10910.1498090983	11040.1836799998
0.398099999999972	10926.6480069468	11055.9860999998
0.400099999999972	10942.7487059409	11071.6018799998
0.402099999999972	10959.0435958552	11087.0343299998
0.404099999999972	10975.1829739319	11102.2866999998
0.406099999999972	10990.9495325772	11117.3621699998
0.408099999999971	11006.6396839421	11132.2638499998
0.410099999999971	11022.3080976343	11146.9947999998
0.412099999999971	11037.5144630638	11161.5579899998
0.414099999999971	11052.5994725576	11175.9563499998
0.41609999999997	11067.5801684464	11190.1927299998
0.41809999999997	11082.293206758	11204.2699399998
