t	wld
0	0	0
0.002	0	0
0.0041	0	8.74850999999999E-08
0.006	0	2.22133E-07
0.00800000000000001	0	4.47645000000001E-07
0.0101	0	7.88856999999999E-07
0.0121	0	1.22339E-06
0.0141	0	1.77373999999999E-06
0.0161	0	2.44799999999999E-06
0.0180999999999999	0	3.25374999999998E-06
0.0200999999999999	0	4.19816999999997E-06
0.0220999999999999	0	5.28812999999995E-06
0.0240999999999999	0	6.53021999999994E-06
0.0260999999999999	0	7.93081999999992E-06
0.0280999999999999	0	9.4961299999999E-06
0.0300999999999999	0	1.12321999999999E-05
0.0320999999999999	0	1.31447999999999E-05
0.0341	0	1.52398999999999E-05
0.036	0	1.74043E-05
0.0380000000000001	0	1.98712000000001E-05
0.0400000000000001	0	2.25371000000002E-05
0.0420000000000002	0	2.54071000000003E-05
0.0440000000000002	0	2.84869000000004E-05
0.0460000000000003	0	3.17816000000005E-05
0.0480000000000003	0	3.52965000000006E-05
0.0500000000000004	0	3.90368000000008E-05
0.0520000000000005	0	4.3007600000001E-05
0.0540000000000005	0	4.72142000000011E-05
0.0560000000000006	0	5.16616000000013E-05
0.0580000000000006	0	5.63549000000016E-05
0.0600000000000007	0	6.12991000000018E-05
0.0620000000000007	0	6.6499300000002E-05
0.0640000000000008	0	7.19604000000022E-05
0.0660000000000009	0	7.76875000000025E-05
0.0680000000000009	0	8.36854000000028E-05
0.070000000000001	0	8.99592000000031E-05
0.072000000000001	0	9.65139000000035E-05
0.0740000000000011	0	0.000103354000000004
0.0760000000000012	0	0.000110485000000004
0.0780000000000012	0	0.000117912000000005
0.0800000000000013	0	0.000125639000000005
0.0820000000000013	0	0.000133671000000005
0.0840000000000014	0	0.000142014000000006
0.0860000000000014	0	0.000150672000000006
0.0880000000000015	0	0.000159649000000007
0.0900000000000016	0	0.000168952000000007
0.0920000000000016	0	0.000178585000000008
0.0940000000000017	0	0.000188552000000008
0.0960000000000017	0	0.000198859000000009
0.0980000000000018	0	0.00020951100000001
0.100000000000002	0	0.00022051200000001
0.102000000000002	0	0.000231867000000011
0.104000000000002	0	0.000243581000000012
0.106000000000002	0	0.000255659000000012
0.108000000000002	0	0.000268106000000013
0.110000000000002	0	0.000280927000000014
0.112000000000002	0	0.000294127000000015
0.114000000000002	0	0.000307710000000015
0.116000000000002	0	0.000321682000000016
0.118000000000002	0	0.000336047000000017
0.120000000000002	0	0.000350810000000018
0.122000000000002	0	0.000365975000000019
0.124000000000003	0	0.00038154900000002
0.126000000000002	0	0.00039753500000002
0.128000000000002	0	0.000413938000000018
0.130000000000002	0	0.000430764000000017
0.132000000000002	0	0.000448016000000015
0.134000000000002	0	0.000465700000000014
0.136000000000001	0	0.000483820000000012
0.138000000000001	0	0.00050238000000001
0.140000000000001	0	0.000521385000000008
0.142000000000001	0	0.000540840000000007
0.144	0	0.000560749000000005
0.146	0	0.000581116000000003
0.148	0	0.000601946
0.1501	0	0.000624318999999998
0.1521	0	0.000646107999999995
0.154099999999999	0	0.000668371999999993
0.156099999999999	0	0.00069111199999999
0.158099999999999	0	0.000714333999999987
0.160099999999999	0	0.000738039999999984
0.162099999999998	0	0.000762231999999981
0.164099999999998	0	0.000786912999999978
0.166099999999998	0	0.000812084999999975
0.168099999999998	0	0.000837748999999971
0.170099999999998	0	0.000863907999999968
0.172099999999997	0	0.000890560999999965
0.174099999999997	0	0.000917708999999961
0.176099999999997	0	0.000945351999999957
0.178099999999997	0	0.000973486999999953
0.180099999999996	0	0.001
0.182099999999996	0	0.00103
0.184099999999996	0	0.00106
0.186099999999996	0	0.00109
0.188099999999996	0	0.00112
0.190099999999995	0	0.00115
0.192099999999995	0	0.00118
0.194099999999995	0	0.0012199999999995
0.196099999999995	0	0.00125
0.198099999999995	0	0.00128
0.200099999999994	0	0.00131
0.202099999999994	0	0.00135
0.204099999999994	0	0.00138
0.206099999999994	0	0.00141999999999936
0.208099999999993	0	0.00145
0.210099999999993	0	0.00148999999999931
0.212099999999993	0	0.00152
0.214099999999993	0	0.00155999999999927
0.216099999999993	0	0.00159
0.218099999999992	0	0.00163
0.220099999999992	0	0.00166
0.222099999999992	0	0.0017
0.224099999999992	0	0.00173999999999916
0.226099999999991	0	0.00177
0.228099999999991	0	0.00181
0.230099999999991	0	0.00184
0.232099999999991	0	0.00188
0.234099999999991	0	0.00191
0.23609999999999	0	0.00195
0.23809999999999	0	0.00198
0.24009999999999	0	0.00201999999999899
0.24209999999999	0	0.00205
0.244099999999989	0	0.00208
0.246099999999989	0	0.00211
0.248099999999989	0	0.00214
0.250099999999989	0	0.00217
0.252099999999989	0	0.0022
0.254099999999988	0	0.00223
0.256099999999988	0	0.00225999999999881
0.258099999999988	0	0.00228
0.260099999999988	0	0.0023
0.262099999999987	0	0.00232999999999875
0.264099999999987	0	0.00235
0.266099999999987	0	0.00236
0.268099999999987	0	0.00238
0.270099999999987	0	0.0024
0.272099999999986	0	0.00241
0.274099999999986	0	0.00242
0.276099999999986	0	0.00243
0.278099999999986	0	0.00244
0.280099999999985	0	0.00244
0.282099999999985	0	0.00244
0.284099999999985	0	0.00244
0.286099999999985	0	0.00244
0.288099999999985	0	0.00244
0.290099999999984	0	0.00244
0.292099999999984	0	0.00243
0.294099999999984	0	0.00242
0.296099999999984	0	0.00241
0.298099999999983	0	0.0024
0.300099999999983	0	0.00239
0.302099999999983	0	0.00237
0.304099999999983	0	0.00236
0.306099999999983	0	0.00234
0.308099999999982	0	0.00232
0.310099999999982	0	0.0023
0.312099999999982	0	0.00228
0.314099999999982	0	0.00226
0.316099999999982	0	0.00224
0.318099999999981	0	0.00222
0.320099999999981	0	0.0022
0.322099999999981	0	0.00217
0.324099999999981	0	0.00215
0.32609999999998	0	0.00212000000000196
0.32809999999998	0	0.0021
0.33009999999998	0	0.00208
0.33209999999998	0	0.00205
0.33409999999998	0	0.00203
0.336099999999979	0	0.002
0.338099999999979	0	0.00198
0.340099999999979	0	0.00195
0.342099999999979	0	0.00193
0.344099999999978	0	0.0019
0.346099999999978	0	0.00188
0.348099999999978	0	0.0018500000000022
0.350099999999978	0	0.00183
0.352099999999978	0	0.00181
0.354099999999977	0	0.00178000000000227
0.356099999999977	0	0.00176
0.358099999999977	0	0.00174
0.360099999999977	0	0.00172
0.362099999999976	0	0.0017
0.364099999999976	0	0.00167000000000238
0.366099999999976	0	0.00165
0.368099999999976	0	0.00163
0.370099999999976	0	0.00161
0.372099999999975	0	0.00159
0.374099999999975	0	0.00157
0.376099999999975	0	0.00155
0.378099999999975	0	0.00153000000000253
0.380099999999974	0	0.00152
0.382099999999974	0	0.0015
0.384099999999974	0	0.00148
0.386099999999974	0	0.00146
0.388099999999974	0	0.00145
0.390099999999973	0	0.00143
0.392099999999973	0	0.00141
0.394099999999973	0	0.0014
0.396099999999973	0	0.00138
0.398099999999972	0	0.00137
0.400099999999972	0	0.00135
0.402099999999972	0	0.00134
0.404099999999972	0	0.00132
0.406099999999972	0	0.00131
0.408099999999971	0	0.0013
0.410099999999971	0	0.00128
0.412099999999971	0	0.00127
0.414099999999971	0	0.00126
0.41609999999997	0	0.00124
0.41809999999997	0	0.00123
0.42009999999997	0	0.00122
0.42209999999997	0	0.00121
0.42409999999997	0	0.0012
0.426099999999969	0	0.00118000000000305
0.428099999999969	0	0.00117
0.430099999999969	0	0.00116
0.432099999999969	0	0.00115
0.434099999999969	0	0.00114
0.436099999999968	0	0.00113
0.438099999999968	0	0.00112
0.440099999999968	0	0.00111
0.442099999999968	0	0.0011
0.444099999999967	0	0.00109
0.446099999999967	0	0.00108
0.448099999999967	0	0.00107
0.450099999999967	0	0.00107
0.452099999999967	0	0.00106
0.454099999999966	0	0.00105
0.456099999999966	0	0.00104
0.458099999999966	0	0.00103
0.460099999999966	0	0.00102
0.462099999999965	0	0.00102
0.464099999999965	0	0.00101
0.466099999999965	0	0.00099962800000013
0.468099999999965	0	0.000992108000000132
0.470099999999965	0	0.00098472400000013
0.472099999999964	0	0.000977472000000128
0.474099999999964	0	0.000970349000000127
0.476099999999964	0	0.000963351000000125
0.478099999999964	0	0.000956476000000124
0.480099999999963	0	0.000949720000000123
0.482099999999963	0	0.000943081000000121
0.484099999999963	0	0.00093655600000012
0.486099999999963	0	0.000930142000000118
0.488099999999963	0	0.000923836000000117
0.490099999999962	0	0.000917635000000116
0.492099999999962	0	0.000911538000000115
0.494099999999962	0	0.000905542000000113
0.496099999999962	0	0.000899644000000112
0.498099999999961	0	0.000893841000000111
0.500099999999961	0	0.00088813300000011
0.502099999999961	0	0.000882516000000109
0.504099999999961	0	0.000876989000000108
0.506099999999961	0	0.000871549000000107
0.50809999999996	0	0.000866194000000106
0.51009999999996	0	0.000860923000000104
0.51209999999996	0	0.000855733000000103
0.51409999999996	0	0.000850623000000102
0.516099999999959	0	0.000845591000000101
0.518099999999959	0	0.0008406340000001
0.520099999999959	0	0.000835753000000099
0.522099999999959	0	0.000830943000000099
0.524099999999959	0	0.000826205000000097
0.526099999999958	0	0.000821537000000097
0.528099999999958	0	0.000816936000000096
0.530099999999958	0	0.000812402000000095
0.532099999999958	0	0.000807933000000094
0.534099999999958	0	0.000803528000000093
0.536099999999957	0	0.000799185000000092
0.538099999999957	0	0.000794904000000091
0.540099999999957	0	0.000790681000000091
0.542099999999957	0	0.00078651800000009
0.544099999999956	0	0.000782411000000089
0.546099999999956	0	0.000778361000000088
0.548099999999956	0	0.000774365000000088
0.550099999999956	0	0.000770423000000087
0.552099999999956	0	0.000766534000000086
0.554099999999955	0	0.000762696000000085
0.556099999999955	0	0.000758909000000084
0.558099999999955	0	0.000755171000000084
0.560099999999955	0	0.000751482000000083
0.562099999999954	0	0.000747840000000083
