t	nv
0	0
0.0101	16373227327.1438
0.0200999999999999	141876340165.073
0.0300999999999999	361834634939.813
0.0400000000000001	517766910014.853
0.0500000000000004	525065045687.564
0.0600000000000007	525065045687.564
0.070000000000001	525065045687.564
0.0800000000000013	525065045687.564
0.0900000000000016	525065045687.564
0.100000000000002	525065045687.564
0.110000000000002	525065045687.564
0.120000000000002	525065045687.564
0.130000000000002	525065045687.564
0.140000000000001	525065045687.564
0.1501	525065045687.564
0.160099999999999	525065045687.564
0.170099999999998	525065045687.564
0.180099999999996	525065045687.564
0.190099999999995	525065045687.564
