t;y = 0.116 m;y = 0.109 m;y = 0.101 m;y = 0.094 m;y = 0.086 m;y = 0.079 m;y = 0.071 m;y = 0.064 m;y = 0.056 m;y = 0.049 m;y = 0.041 m;y = 0.034 m;y = 0.026 m;y = 0.019 m;y = 0.011 m;y = 0.004 m;
3.000000;677.607054;677.156161;676.705268;676.259243;675.766020;675.256649;674.207542;673.158435;671.952403;670.835319;669.718236;668.157978;666.542610;658.287016;646.330609;634.374203;
3.100000;677.526696;677.095089;676.663482;676.105757;675.638980;674.984071;673.940500;672.896929;672.002458;670.863708;669.724958;668.151787;666.486566;657.934641;645.611984;633.289328;
3.200000;677.448804;677.005411;676.562018;676.150566;675.712803;675.201649;674.182542;673.163435;671.947382;670.793424;669.639465;667.964963;666.262684;657.477641;644.784984;632.092328;
3.300000;677.421411;676.981232;676.541054;676.093743;675.645520;675.134607;674.094250;673.053893;672.075326;670.943035;669.810743;668.088426;666.408868;657.310812;644.257687;631.204562;
3.400000;677.391161;676.978482;676.565804;676.186914;675.707507;675.112714;674.067000;673.021286;671.893653;670.739069;669.584486;667.972243;666.301287;656.995594;643.592156;630.188719;
3.500000;677.554375;677.128125;676.701875;676.174559;675.686072;675.089976;674.057833;673.025690;671.961424;670.821215;669.681007;668.023522;666.323890;656.709844;642.963906;629.217969;
3.600000;677.525393;677.062179;676.598964;676.179901;675.689046;675.104756;674.080292;673.055827;671.967021;670.833896;669.700771;668.083412;666.316941;656.430828;642.371297;628.311766;
3.700000;677.535071;677.077214;676.619357;676.081776;675.587171;675.038851;674.002958;672.967065;671.933576;670.793785;669.653993;667.810809;666.020956;655.983000;641.593000;627.203000;
3.800000;677.520554;677.064661;676.608768;676.153000;675.673000;675.051625;674.020375;672.989125;671.893674;670.745965;669.598257;667.921154;666.118728;655.787297;641.055578;626.323859;
3.900000;677.453196;677.016589;676.579982;676.140507;675.636230;675.091744;674.061208;673.030673;672.022306;670.853139;669.683972;667.858515;666.010426;655.373078;640.341047;625.309016;
4.000000;677.575875;677.134625;676.693375;676.169296;675.661862;675.041375;674.002625;672.963875;671.870813;670.668937;669.467062;667.676647;665.800765;654.972562;639.661938;624.351313;
4.100000;677.554536;677.095607;676.636679;676.130362;675.650164;675.105137;674.064958;673.024780;671.932944;670.724611;669.516278;667.679654;665.742228;654.656797;639.080078;623.503359;
4.200000;677.405714;676.987143;676.568571;676.121270;675.650941;675.106042;674.047292;672.988542;671.903917;670.676417;669.448917;667.547265;665.541676;654.313359;638.466016;622.618672;
4.302000;677.520887;677.089101;676.657316;676.192083;675.720372;675.075405;674.037012;672.998619;671.861766;670.631975;669.402183;667.392014;665.350249;653.902143;637.761362;621.620581;
4.402000;677.482315;677.028565;676.574815;676.088486;675.630393;675.165670;674.123170;673.080670;672.024431;670.781098;669.537764;667.576662;665.487691;653.707485;637.316235;620.924985;
4.502000;677.496369;677.059048;676.621726;676.195048;675.739916;675.152419;674.088133;673.023848;671.853058;670.599516;669.345975;667.285424;665.116159;653.222456;636.603394;619.984331;
4.602000;677.582886;677.131279;676.679672;676.196410;675.744239;675.187442;674.136192;673.084942;671.943175;670.716925;669.490675;667.409641;665.133833;652.948520;636.113520;619.278520;
