t	fs
0	0
0.001	0
0.002	0
0.0031	2.5E-05
0.0041	2.5E-05
0.005	2.5E-05
0.006	2.5E-05
0.00700000000000001	5E-05
0.00800000000000001	7.5E-05
0.009	9.65696914289472E-05
0.0091	9.65702042573913E-05
0.0101	0.000114851336388293
0.0111	0.000144993032045963
0.0121	0.000169584568820594
0.0131	0.000190537946097063
0.0141	0.000208907127541025
0.0151	0.000232839276253477
0.0161	0.000253602500468222
0.0171	0.000271954772188862
0.0180999999999999	0.000288482341961869
0.0190999999999999	0.000308187866174729
0.0200999999999999	0.000325847854377814
0.0210999999999999	0.000341892874775111
0.0220999999999999	0.000356621976120903
0.0230999999999999	0.000370268475310649
0.0240999999999999	0.000385924122406631
0.0250999999999999	0.000400393509882551
0.0260999999999999	0.000411440510291247
0.0270999999999999	0.000426567454973941
0.0280999999999999	0.000438583185028568
0.0290999999999999	0.000450040034353752
0.0300999999999999	0.000461034957983292
0.0310999999999999	0.000473385074072356
0.0320999999999999	0.00048522290157993
0.0330999999999999	0.00049511983387088
0.0341	0.000506297174534994
0.0351	0.000517212941836615
0.036	0.000527641371227273
0.037	0.000538199603355702
0.0380000000000001	0.000548684359957511
0.0390000000000001	0.000559147193547634
0.0400000000000001	0.000570682423175786
0.0410000000000001	0.000581206437308192
0.0420000000000002	0.00059280863942426
0.0430000000000002	0.000603601032347808
0.0440000000000002	0.000615480605724402
0.0450000000000003	0.000626733565952831
0.0460000000000003	0.000639096250580657
0.0470000000000003	0.000651759102645282
0.0480000000000003	0.000664048258779161
0.0490000000000004	0.00067749819839224
0.0500000000000004	0.000691406851491519
0.0510000000000004	0.000705181423287712
0.0520000000000005	0.000720195349824291
0.0530000000000005	0.000735835683831525
0.0540000000000005	0.000752158902261923
0.0550000000000005	0.000768672179240139
0.0560000000000006	0.000786574424756483
0.0570000000000006	0.000805356090920558
0.0580000000000006	0.000825085156238358
0.0590000000000007	0.000845349584467131
0.0600000000000007	0.00086721251568971
0.0610000000000007	0.000890254004992143
0.0620000000000007	0.000914115911225324
0.0630000000000008	0.000939782056561825
0.0640000000000008	0.000966889886267485
0.0650000000000008	0.000995132820098925
0.0660000000000009	0.00102542924544831
0.0670000000000009	0.00105708819599922
0.0680000000000009	0.00109099414162883
0.0690000000000009	0.00112650667968406
0.070000000000001	0.00116412482981163
0.071000000000001	0.00120397099516389
0.072000000000001	0.00124650722238373
0.0730000000000011	0.00129118742425269
0.0740000000000011	0.00133848828613362
0.0750000000000011	0.0013882361312815
0.0760000000000012	0.00144120249153802
0.0770000000000012	0.00149721106856352
0.0780000000000012	0.00155611408191364
0.0790000000000012	0.00161864793347804
0.0800000000000013	0.00168437953146904
0.0810000000000013	0.00175374388276881
0.0820000000000013	0.00182688095269357
0.0830000000000014	0.00190392772697309
0.0840000000000014	0.00198501555635709
0.0850000000000014	0.00207026747673977
0.0860000000000014	0.002159547485579
0.0870000000000015	0.0022532183649871
0.0880000000000015	0.00235137134447421
0.0890000000000015	0.00245408176768693
0.0900000000000016	0.00256117060917415
0.0910000000000016	0.00267315778244786
0.0920000000000016	0.00278958874018768
0.0930000000000016	0.00291069853385668
0.0940000000000017	0.00303646066093503
0.0950000000000017	0.00316659692311525
0.0960000000000017	0.00330126025425091
0.0970000000000018	0.00344034727680693
0.0980000000000018	0.00358372849776558
0.0990000000000018	0.00373102867367852
0.100000000000002	0.00388229215891612
0.101000000000002	0.00403731760703887
0.102000000000002	0.0041958833170988
0.103000000000002	0.00435753116581212
0.104000000000002	0.00452222577558275
0.105000000000002	0.00468980652739698
0.106000000000002	0.00485993794183132
0.107000000000002	0.00503229058932293
0.108000000000002	0.00520658152000077
0.109000000000002	0.00538252906003425
0.110000000000002	0.00555985580809923
0.111000000000002	0.00573829135365014
0.112000000000002	0.0059176029031755
0.113000000000002	0.00609758154250653
0.114000000000002	0.00627791719304507
0.115000000000002	0.00645838757217595
0.116000000000002	0.00663878568864143
0.117000000000002	0.00681892042645476
0.118000000000002	0.00699861682824032
0.119000000000002	0.00717771610810206
0.120000000000002	0.00735612723382391
0.121000000000002	0.0075337073530382
0.122000000000002	0.00771030282939237
0.123000000000002	0.00788581530017548
0.124000000000003	0.00806015950766035
0.125000000000003	0.00823326230263855
0.126000000000002	0.0084051105730221
0.127000000000002	0.00857563598804309
0.128000000000002	0.00874475873026979
0.129000000000002	0.00891244457405284
0.130000000000002	0.00907866680290881
0.131000000000002	0.00924345214809353
0.132000000000002	0.00940676949087258
0.133000000000002	0.00956857659186097
0.134000000000002	0.00972886992301131
0.135000000000001	0.00988767991739949
0.136000000000001	0.0100450244111066
0.137000000000001	0.01020086387585
0.138000000000001	0.0103552089568381
0.139000000000001	0.0105081199337239
0.140000000000001	0.0106595860293911
0.141000000000001	0.0108095991105701
0.142000000000001	0.0109582101527341
0.143000000000001	0.0111054406666563
0.144	0.0112512736953407
0.145	0.0113957072731913
0.146	0.0115387805779057
0.147	0.0116805304615354
0.148	0.0118210348193341
0.1491	0.0119741063845814
0.1501	0.0121119090188759
0.1511	0.0122484782404166
0.1521	0.0123838787596136
0.153099999999999	0.0125181111083998
0.154099999999999	0.0126512168812997
0.155099999999999	0.0127831978202978
0.156099999999999	0.0129141069271416
0.157099999999999	0.0130439302510404
0.158099999999999	0.0131727200093019
0.159099999999999	0.0133004881985951
0.160099999999999	0.0134272199842987
0.161099999999999	0.0135529153865548
0.162099999999998	0.0136776511330583
0.163099999999998	0.0138014396785148
0.164099999999998	0.0139243130647823
0.165099999999998	0.0140462940041544
0.166099999999998	0.0141673961969456
