t	Cl
0	0.0131274
0.001	0.0131274
0.002	0.0131274
0.0031	0.0131274
0.0041	0.0131274
0.005	0.0131274
0.006	0.0131274
0.00700000000000001	0.0131274
0.00800000000000001	0.0131274
0.009	0.013127399984302
0.0091	0.0131273999792684
0.0101	0.0131273998837609
0.0111	0.0131273996547714
0.0121	0.0131273992198361
0.0131	0.0131273984990691
0.0141	0.0131273973897163
0.0151	0.0131273957802904
0.0161	0.0131273935430924
0.0171	0.013127390562667
0.0180999999999999	0.0131273866614269
0.0190999999999999	0.0131273816909002
0.0200999999999999	0.0131273754807777
0.0210999999999999	0.0131273678020939
0.0220999999999999	0.0131273584780086
0.0230999999999999	0.0131273473821237
0.0240999999999999	0.0131273342273528
0.0250999999999999	0.0131273187624888
0.0260999999999999	0.0131273007873495
0.0270999999999999	0.0131272801477863
0.0280999999999999	0.0131272563556667
0.0290999999999999	0.01312722938939
0.0300999999999999	0.0131271988543363
0.0310999999999999	0.0131271645648404
0.0320999999999999	0.0131271261110849
0.0330999999999999	0.0131270832647439
0.0341	0.0131270357672393
0.0351	0.0131269832035105
0.036	0.0131269313616679
0.037	0.0131268683264046
0.0380000000000001	0.0131267992577246
0.0390000000000001	0.0131267237444089
0.0400000000000001	0.0131266415636855
0.0410000000000001	0.013126552211865
0.0420000000000002	0.013126455215092
0.0430000000000002	0.0131263503092259
0.0440000000000002	0.0131262368759268
0.0450000000000003	0.0131261145437788
0.0460000000000003	0.0131259828445077
0.0470000000000003	0.0131258411780726
0.0480000000000003	0.0131256891366102
0.0490000000000004	0.0131255260092364
0.0500000000000004	0.0131253510865013
0.0510000000000004	0.0131251638975206
0.0520000000000005	0.0131249639075714
0.0530000000000005	0.0131247500616263
0.0540000000000005	0.0131245218197317
0.0550000000000005	0.0131242782817315
0.0560000000000006	0.013124018583702
0.0570000000000006	0.0131237418661085
0.0580000000000006	0.0131234471291209
0.0590000000000007	0.013123133380453
0.0600000000000007	0.0131227996679217
0.0610000000000007	0.0131224444714695
0.0620000000000007	0.0131220667882285
0.0630000000000008	0.0131216653360376
0.0640000000000008	0.0131212384206987
0.0650000000000008	0.0131207845685713
0.0660000000000009	0.013120302682877
0.0670000000000009	0.0131197905226899
0.0680000000000009	0.0131192466462772
0.0690000000000009	0.0131186690228218
0.070000000000001	0.013118055836943
0.071000000000001	0.0131174046831709
0.072000000000001	0.0131167135822866
0.0730000000000011	0.0131159800192334
0.0740000000000011	0.0131152017213127
0.0750000000000011	0.0131143760255956
0.0760000000000012	0.0131135004314345
0.0770000000000012	0.0131125723172436
0.0780000000000012	0.0131115887191061
0.0790000000000012	0.0131105467834525
0.0800000000000013	0.0131094430164688
0.0810000000000013	0.0131082748618891
0.0820000000000013	0.013107039113362
0.0830000000000014	0.0131057323173962
0.0840000000000014	0.0131043513047811
0.0850000000000014	0.0131028926989539
0.0860000000000014	0.0131013531144255
0.0870000000000015	0.0130997299041951
0.0880000000000015	0.0130980195621799
0.0890000000000015	0.0130962194072232
