t	fs
0	0	0
0.001	0	0
0.002	0	7.17254545454546E-08
0.0031	2.5E-05	3.08602636363636E-07
0.0041	2.5E-05	8.35207818181815E-07
0.005	2.5E-05	1.5253E-06
0.006	2.5E-05	2.25195454545455E-06
0.00700000000000001	5E-05	3.07289090909091E-06
0.00800000000000001	7.5E-05	3.96117363636364E-06
0.009	9.65715329799788E-05	4.89656454545455E-06
0.0091	9.65725672333484E-05	4.99215181818182E-06
0.0101	0.000114863363306535	5.9601509090909E-06
0.0111	0.000145025110198375	7.48537636363635E-06
0.0121	0.000169650854955579	8.47143999999998E-06
0.0131	0.000190657025006515	9.44931909090907E-06
0.0141	0.000209102826661367	1.04139636363636E-05
0.0151	0.000233141443713661	1.13616090909091E-05
0.0161	0.000254047893018444	1.22896818181818E-05
0.0171	0.000272587888002045	1.3239509090909E-05
0.0180999999999999	0.000289356421951767	1.45459636363636E-05
0.0190999999999999	0.000309365917675638	1.53916545454545E-05
0.0200999999999999	0.000327403791374938	1.62149727272727E-05
0.0210999999999999	0.000343912715715366	1.70167636363636E-05
0.0220999999999999	0.000359205082865407	1.77981999999999E-05
0.0230999999999999	0.000373528912665817	1.85606999999999E-05
0.0240999999999999	0.000389992274836821	1.93048727272727E-05
0.0250999999999999	0.000402768328119472	2.03869454545454E-05
0.0260999999999999	0.000417588742239437	2.10889545454545E-05
0.0270999999999999	0.000431758314189673	2.17802181818181E-05
0.0280999999999999	0.000447572898128455	2.2463109090909E-05
0.0290999999999999	0.000460797813055748	2.31400181818181E-05
0.0300999999999999	0.000473830376210202	2.38136363636363E-05
0.0310999999999999	0.00048852009774999	2.44870999999999E-05
0.0320999999999999	0.000501415818974842	2.52569999999999E-05
0.0330999999999999	0.000515987367636923	2.60963636363636E-05
0.0341	0.000530641618988889	2.67773E-05
0.0351	0.000545505463524659	2.74719727272727E-05
0.036	0.000558646900842829	2.81116636363636E-05
0.037	0.000574272356801727	2.88416363636364E-05
0.0380000000000001	0.000591627845519466	2.95961818181819E-05
0.0390000000000001	0.000608465772428848	3.03806363636364E-05
0.0400000000000001	0.000626143504979408	3.12005090909092E-05
0.0410000000000001	0.000644809570090637	3.20602000000001E-05
0.0420000000000002	0.000665574651389059	3.29655727272729E-05
0.0430000000000002	0.000686660604973112	3.39229090909093E-05
0.0440000000000002	0.000709248156967841	3.49391000000003E-05
0.0450000000000003	0.00073437860591113	3.60259272727276E-05
0.0460000000000003	0.000760574471485663	3.71886909090913E-05
0.0470000000000003	0.000788957616721279	3.84367909090913E-05
0.0480000000000003	0.000820545776183364	3.97805272727278E-05
0.0490000000000004	0.000854150569065021	4.12314545454551E-05
0.0500000000000004	0.000890890817737999	4.28060000000007E-05
