t	Sg
0	0	0
0.001	0	0
0.002	0	0.00414272727272727
0.0031	0	0.0255818181818181
0.0041	0.184263546384712	0.096023636363636
0.005	0.184263546384712	0.211059090909091
0.006	0.184263546384712	0.361077272727273
0.00700000000000001	0.521176012696448	0.55895090909091
0.00800000000000001	1.17264602856701	0.802954545454547
0.009	1.42216793920127	1.09129363636364
0.0091	1.42218301081435	1.12261545454545
0.0101	1.88614801718024	1.45709272727272
0.0111	2.79652841108638	2.04991363636363
0.0121	3.67911023228665	2.47505999999999
0.0131	4.53495110174088	2.93105363636363
0.0141	5.36704315764291	3.41280727272726
0.0151	6.57123344347243	3.91723909090907
0.0161	7.73123339853406	4.44151636363634
0.0171	8.85073414835526	5.01079636363631
0.0180999999999999	9.93737931085621	5.84847818181815
0.0190999999999999	11.3343676117646	6.42332999999997
0.0200999999999999	12.8810220313546	7.00775272727269
0.0210999999999999	14.1876935650464	7.60026181818178
0.0220999999999999	15.2707143488662	8.19961272727268
0.0230999999999999	16.517962279941	8.80476999999995
0.0240999999999999	18.2107917801513	9.41514363636358
0.0250999999999999	19.2266013410923	10.3548645454545
0.0260999999999999	20.6801800587977	10.9725109090908
0.0270999999999999	22.1103066065276	11.5933663636363
0.0280999999999999	23.9469684712757	12.2174709090908
0.0290999999999999	25.3419149961916	12.8451072727272
0.0300999999999999	26.5661561295765	13.476689090909
0.0310999999999999	28.3581382028764	14.1127018181817
0.0320999999999999	29.5939481111823	14.865469090909
0.0330999999999999	31.2288538182055	15.7057081818181
0.0341	33.0380246983681	16.35638
0.0351	34.7075949479612	17.0157918181818
0.036	35.9980959583553	17.6176718181818
0.037	37.7385862363673	18.2970627272727
0.0380000000000001	39.8777210856164	18.98956
0.0390000000000001	41.7260847634083	19.6977145454546
0.0400000000000001	43.6487879771698	20.423990909091
0.0410000000000001	45.5019549288847	21.170510909091
0.0420000000000002	47.9457783218989	21.9400727272729
0.0430000000000002	50.1751364461405	22.7357145454547
0.0440000000000002	52.3813100039853	23.5608100000002
0.0450000000000003	55.2264701025791	24.421121818182
0.0460000000000003	57.9276710861833	25.3191218181821
0.0470000000000003	60.6684135698533	26.2592900000003
0.0480000000000003	64.1251268191716	27.246503636364
0.0490000000000004	67.5296008107907	28.2860827272731
0.0500000000000004	71.0601070899555	29.3856554545459
0.0510000000000004	75.4247441873753	30.5521827272732
0.0520000000000005	79.8616029087602	31.6678463636368
0.0530000000000005	84.7410605053912	32.886907272728
0.0540000000000005	90.1223012141731	34.2975718181826
0.0550000000000005	96.0712242318079	35.8049300000007
0.0560000000000006	102.332474904013	37.2115909090919
0.0570000000000006	109.873214914016	38.9524481818193
0.0580000000000006	117.679079054691	40.7269127272737
0.0590000000000007	126.645331141246	42.6242063636378
0.0600000000000007	136.658816765364	44.5826400000016
0.0610000000000007	147.754504074883	46.7301854545469
0.0620000000000007	160.153705492446	49.2220572727292
0.0630000000000008	174.290908207902	51.7191763636385
0.0640000000000008	189.601881934477	54.3413090909112
0.0650000000000008	206.120902581047	57.2719227272751
0.0660000000000009	224.671556994179	60.215530000003
0.0670000000000009	244.880942282173	63.5713236363665
0.0680000000000009	266.727058785715	66.9398090909123
0.0690000000000009	290.089950611302	70.506444545458
0.070000000000001	314.771902047452	74.2605554545492
0.071000000000001	340.53145617922	78.1880072727314
0.072000000000001	367.106926844747	82.2754072727316
0.0730000000000011	394.241186026975	86.5013681818227
0.0740000000000011	421.697229408846	90.8405372727321
0.0750000000000011	446.299626472831	95.2715536363687
0.0760000000000012	473.67520244687	99.7734427272779
0.0770000000000012	500.869543988228	104.326400000005
0.0780000000000012	527.781265473504	108.912790909096
0.0790000000000012	554.333560016109	113.513872727278
0.0800000000000013	580.470842526284	118.115263636369
0.0810000000000013	606.15568429246	122.704990909097
0.0820000000000013	631.368584713791	127.272800000006
0.0830000000000014	656.098643571668	131.80916363637
0.0840000000000014	680.341182634579	136.30676363637
0.0850000000000014	704.099667162494	140.761327272734
0.0860000000000014	727.379693113316	145.167890909097
0.0870000000000015	750.193899514923	149.52536363637
0.0880000000000015	766.684596806103	153.830400000006
0.0890000000000015	788.473348237193	158.080154545461
0.0900000000000016	809.841600103511	162.276536363643
0.0910000000000016	830.803801895077	166.418618181825
0.0920000000000016	845.24476466842	170.506490909097
0.0930000000000016	865.321417093607	174.540500000007
0.0940000000000017	885.042831859992	178.51986363637
0.0950000000000017	904.419040708194	182.445536363643
0.0960000000000017	917.074859363624	186.31996363637
0.0970000000000018	935.693971811979	190.144290909098
0.0980000000000018	954.010341084739	193.919600000007
0.0990000000000018	972.036347766314	197.647100000007
0.100000000000002	983.141501104534	201.32556363637
0.101000000000002	1000.51812044501	204.958954545461
0.102000000000002	1017.63944051127	208.548427272734
0.103000000000002	1029.21145524885	212.095327272734
0.104000000000002	1045.74987156237	215.60076363637
0.105000000000002	1062.04495668696	219.065036363643
0.106000000000002	1078.1031831411	222.489318181825
0.107000000000002	1093.9361089687	225.875981818189
0.108000000000002	1109.55223027671	229.226054545461
0.109000000000002	1124.96001406255	232.54067272728
0.110000000000002	1140.16364052496	235.821000000007
0.111000000000002	1155.17429747332	239.066090909098
0.112000000000002	1169.7158752371	242.27897272728
0.113000000000002	1179.53258038333	245.460563636371
0.114000000000002	1193.93613357674	248.611854545462
0.115000000000002	1208.16679239275	251.733609090916
0.116000000000002	1222.23401768107	254.826063636371
0.117000000000002	1236.14175018802	257.88997272728
0.118000000000002	1244.9475729914	260.927063636371
0.119000000000002	1251.03914588148	263.938000000007
0.120000000000002	1264.37783569259	266.923536363644
