0	0
0.0101	0.67518
0.0201	0.68795
0.0301	0.73001
0.04	0.82158
0.05	0.99284
0.06	1.27324
0.07	1.69709
0.08	2.30229
0.09	3.31624
0.1	5.51011
0.11	8.33616
0.12	11.89792
0.13	16.30579
0.14	21.67699
0.1501	28.20589
0.1601	35.8944
0.1701	44.93696
0.1801	55.47263
0.1901	67.64107
0.2001	81.57728
0.2101	97.4031
0.2201	115.21398
0.2301	135.06007
0.2401	156.92126
0.2501	180.67908
0.2601	206.09205
0.2701	232.7863
0.2801	260.27373
0.2901	288.00245
0.3001	315.42896
0.3101	342.08853
0.3201	367.64051
0.3301	391.87935
0.3401	414.71815
0.3501	436.15863
0.3601	456.26
0.3701	475.1133
0.3801	492.82326
0.3901	509.49668
0.4001	525.23581
0.4101	540.13502
0.4201	554.2795
0.4301	567.74513
0.4401	580.59897
0.4501	592.90006
0.4601	604.70028
0.4701	616.04523
0.4801	626.97501
0.4901	637.52496
0.5001	647.72632
0.5101	657.60674
0.5201	667.19078
0.5301	676.50033
0.5401	685.55493
0.5501	694.37212
0.5601	702.96764
0.5701	711.35568
0.5801	719.54907
0.5901	727.55944
0.6001	735.39735
0.6101	743.07242
0.6201	750.59344
0.6301	757.96845
0.6401	765.20483
0.6501	772.30935
0.6601	779.28826
0.6701	786.14732
0.6801	792.89184
0.6901	799.52677
0.7001	806.05668
0.7101	812.4858
0.7201	818.81809
0.7301	825.05723
0.7401	831.20664
0.7501	837.26953
0.7601	843.24888
0.7701	849.1475
0.7801	854.96799
0.7901	860.71281
0.8001	866.38425
0.8101	871.98447
0.8201	877.51547
0.8301	882.97916
0.8401	888.37729
0.8501	893.71154
0.8601	898.98345
0.8701	904.19448
0.8801	909.34597
0.8901	914.43921
0.9001	919.47537
0.9101	924.45553
0.9201	929.38072
0.9301	934.25187
0.9401	939.06982
0.9501	943.83536
0.9601	948.54919
0.9701	953.21193
0.9801	957.82415
0.9901	962.3863
1.0001	966.89881
1.0101	971.36198
1.0201	975.77607
1.0301	980.14122
1.0401	984.45753
1.0501	988.72497
1.0601	992.94343
1.0701	997.11272
1.0801	1001.23252
1.0901	1005.30241
1.1001	1009.32185
1.1101	1013.29016
1.1201	1017.20653
1.1301	1021.07001
1.1401	1024.87945
1.1501	1028.63355
1.1601	1032.33079
1.1701	1035.96945
1.1801	1039.54756
1.1901	1043.06287
1.2001	1046.51286
1.2101	1049.89468
1.2201	1053.20512
1.2301	1056.44058
1.2401	1059.59708
1.2501	1062.67015
1.2601	1065.65486
1.2701	1068.54581
1.2801	1071.33711
1.2901	1074.02241
1.3001	1076.59496
1.3101	1079.04774
1.3201	1081.37361
1.3301	1083.56558
1.3401	1085.61707
1.3501	1087.52236
1.3601	1089.27701
1.3701	1090.8783
1.3801	1092.32565
1.3901	1093.62092
1.4001	1094.76852
1.4101	1095.77533
1.4201	1096.65037
1.4301	1097.40437
1.4401	1098.04909
1.4501	1098.59677
1.4601	1099.05957
1.4701	1099.44908
1.4801	1099.77601
1.4901	1100.05001
1.5001	1100.27957
1.5101	1100.47204
1.5201	1100.63369
1.5301	1100.7698
1.5401	1100.8848
1.5501	1100.98235
1.5601	1101.06549
1.5701	1101.1367
1.5801	1101.19804
1.5901	1101.25119
1.6001	1101.29753
1.6101	1101.33819
1.6201	1101.3741
1.6301	1101.40603
1.6401	1101.43461
1.6501	1101.46036
1.6601	1101.48372
1.6701	1101.50504
1.6801	1101.52463
1.6901	1101.54274
1.7001	1101.55957
1.7101	1101.57531
1.7201	1101.59011
1.7301	1101.60409
1.7401	1101.61736
1.7501	1101.63001
1.7601	1101.64214
1.7701	1101.65379
1.7801	1101.66504
1.7901	1101.67593
1.8001	1101.68651
1.8101	1101.69682
1.8201	1101.70688
1.8301	1101.71674
1.8401	1101.72641
1.8501	1101.73592
1.8601	1101.74529
1.8701	1101.75453
1.8801	1101.76366
1.8901	1101.7727
1.9001	1101.78166
1.9101	1101.79055
1.9201	1101.79937
1.9301	1101.80813
1.9401	1101.81686
1.9501	1101.82554
1.9601	1101.83418
1.9701	1101.8428
1.9801	1101.8514
1.9901	1101.85997
