t	Rg
0	0	0
0.002	0	0
0.0041	0	1.73918E-06
0.006	0	1.73931E-06
0.00800000000000001	0	1.73964E-06
0.0101	0	1.74032E-06
0.0121	0	1.74134E-06
0.0141	0	1.74285E-06
0.0161	0	1.74498E-06
0.0180999999999999	0	1.74786E-06
0.0200999999999999	0	1.75162E-06
0.0220999999999999	0	1.7564E-06
0.0240999999999999	0	1.76235E-06
0.0260999999999999	0	1.76962E-06
0.0280999999999999	0	1.77839E-06
0.0300999999999999	0	1.78881E-06
0.0320999999999999	0	1.80106E-06
0.0341	0	1.81531E-06
0.036	0	1.83001E-06
0.0380000000000001	0	1.8486E-06
0.0400000000000001	0	1.86974E-06
0.0420000000000002	0	1.89364E-06
0.0440000000000002	0	1.92050000000001E-06
0.0460000000000003	0	1.95054000000001E-06
0.0480000000000003	0	1.98396000000001E-06
0.0500000000000004	0	2.02099000000002E-06
0.0520000000000005	0	2.06186000000002E-06
0.0540000000000005	0	2.10679000000002E-06
0.0560000000000006	0	2.15601000000003E-06
0.0580000000000006	0	2.20977000000004E-06
0.0600000000000007	0	2.26831000000004E-06
0.0620000000000007	0	2.33188000000005E-06
0.0640000000000008	0	2.40071000000006E-06
0.0660000000000009	0	2.47508000000007E-06
0.0680000000000009	0	2.55524000000008E-06
0.070000000000001	0	2.64144000000009E-06
0.072000000000001	0	2.7339600000001E-06
0.0740000000000011	0	2.83306000000011E-06
0.0760000000000012	0	2.93900000000013E-06
0.0780000000000012	0	3.05206000000014E-06
0.0800000000000013	0	3.25782000000016E-06
0.0820000000000013	0	3.51414000000017E-06
0.0840000000000014	0	3.78603000000019E-06
0.0860000000000014	0	4.07399000000021E-06
0.0880000000000015	0	4.37848000000023E-06
0.0900000000000016	0	4.69995000000026E-06
0.0920000000000016	0	5.03883000000028E-06
0.0940000000000017	0	5.3955400000003E-06
0.0960000000000017	0	5.77044000000033E-06
0.0980000000000018	0	6.16388000000036E-06
0.100000000000002	0	6.57617000000039E-06
0.102000000000002	0	7.00757000000042E-06
0.104000000000002	0	7.45826000000045E-06
0.106000000000002	0	7.92839000000048E-06
0.108000000000002	0	8.41804000000052E-06
0.110000000000002	0	8.92719000000055E-06
0.112000000000002	0	9.45575000000059E-06
0.114000000000002	0	1.00035000000006E-05
0.116000000000002	0	1.05702000000007E-05
0.118000000000002	0	1.11554000000007E-05
0.120000000000002	0	1.17586000000007E-05
0.122000000000002	0	1.23791000000008E-05
0.124000000000003	0	1.30161000000008E-05
0.126000000000002	0	1.36687000000008E-05
0.128000000000002	0	1.43358000000007E-05
0.130000000000002	0	1.50162000000007E-05
0.132000000000002	0	1.57087000000006E-05
0.134000000000002	0	1.64117000000006E-05
0.136000000000001	0	1.71238000000005E-05
0.138000000000001	0	1.78432000000004E-05
0.140000000000001	0	1.85684000000003E-05
0.142000000000001	0	1.92974000000003E-05
0.144	0	2.00287000000002E-05
0.146	0	2.07604000000001E-05
0.148	0	2.14909E-05
0.1501	0	2.22545999999999E-05
0.1521	0	2.29772999999998E-05
0.154099999999999	0	2.36937999999998E-05
0.156099999999999	0	2.44028999999997E-05
0.158099999999999	0	2.51032999999996E-05
0.160099999999999	0	2.57937999999996E-05
0.162099999999998	0	2.64735999999995E-05
0.164099999999998	0	2.71416999999994E-05
0.166099999999998	0	2.77974999999994E-05
0.168099999999998	0	2.84404999999993E-05
0.170099999999998	0	2.90700999999992E-05
0.172099999999997	0	2.96861999999992E-05
0.174099999999997	0	3.02884999999991E-05
0.176099999999997	0	3.08768999999991E-05
0.178099999999997	0	3.14513999999991E-05
0.180099999999996	0	3.2011999999999E-05
0.182099999999996	0	3.2558799999999E-05
0.184099999999996	0	3.3092099999999E-05
0.186099999999996	0	3.36118999999989E-05
0.188099999999996	0	3.41185999999989E-05
0.190099999999995	0	3.46124999999989E-05
0.192099999999995	0	3.50937999999988E-05
0.194099999999995	0	3.55627999999988E-05
0.196099999999995	0	3.60199999999988E-05
0.198099999999995	0	3.64654999999988E-05
0.200099999999994	0	3.68997999999988E-05
0.202099999999994	0	3.73231999999988E-05
0.204099999999994	0	3.77359999999987E-05
0.206099999999994	0	3.81384999999987E-05
0.208099999999993	0	3.85311999999987E-05
0.210099999999993	0	3.89141999999987E-05
0.212099999999993	0	3.92879999999987E-05
0.214099999999993	0	3.96527999999987E-05
0.216099999999993	0	4.00088999999987E-05
0.218099999999992	0	4.03565999999987E-05
0.220099999999992	0	4.06962999999987E-05
0.222099999999992	0	4.10279999999987E-05
0.224099999999992	0	4.13521999999987E-05
0.226099999999991	0	4.16690999999986E-05
0.228099999999991	0	4.19787999999987E-05
0.230099999999991	0	4.22816999999986E-05
0.232099999999991	0	4.25778999999986E-05
0.234099999999991	0	4.28676999999986E-05
0.23609999999999	0	4.31512999999986E-05
0.23809999999999	0	4.34288999999986E-05
0.24009999999999	0	4.37005999999986E-05
0.24209999999999	0	4.39665999999986E-05
0.244099999999989	0	4.42271999999986E-05
0.246099999999989	0	4.44823999999986E-05
0.248099999999989	0	4.47324999999986E-05
0.250099999999989	0	4.49775999999986E-05
0.252099999999989	0	4.52177999999986E-05
0.254099999999988	0	4.54532999999986E-05
0.256099999999988	0	4.56841999999987E-05
0.258099999999988	0	4.59106999999986E-05
0.260099999999988	0	4.61327999999986E-05
0.262099999999987	0	4.63507999999986E-05
0.264099999999987	0	4.65645999999986E-05
0.266099999999987	0	4.67744999999986E-05
0.268099999999987	0	4.69804999999987E-05
0.270099999999987	0	4.71827999999987E-05
0.272099999999986	0	4.73813999999987E-05
0.274099999999986	0	4.75764999999987E-05
0.276099999999986	0	4.77679999999987E-05
0.278099999999986	0	4.79561999999987E-05
0.280099999999985	0	4.81411999999987E-05
0.282099999999985	0	4.83228999999987E-05
0.284099999999985	0	4.85013999999987E-05
0.286099999999985	0	4.86769999999987E-05
0.288099999999985	0	4.88494999999987E-05
0.290099999999984	0	4.90191999999987E-05
0.292099999999984	0	4.91859999999987E-05
0.294099999999984	0	4.93499999999987E-05
0.296099999999984	0	4.95113999999987E-05
0.298099999999983	0	4.96700999999987E-05
0.300099999999983	0	4.98262999999987E-05
0.302099999999983	0	4.99798999999987E-05
0.304099999999983	0	5.01310999999987E-05
0.306099999999983	0	5.02798999999987E-05
0.308099999999982	0	5.04262999999987E-05
0.310099999999982	0	5.05704999999987E-05
0.312099999999982	0	5.07123999999987E-05
0.314099999999982	0	5.08521999999987E-05
0.316099999999982	0	5.09896999999987E-05
0.318099999999981	0	5.11251999999987E-05
0.320099999999981	0	5.12586999999988E-05
0.322099999999981	0	5.13900999999988E-05
0.324099999999981	0	5.15195999999988E-05
0.32609999999998	0	5.16471999999988E-05
0.32809999999998	0	5.17728999999988E-05
0.33009999999998	0	5.18966999999988E-05
0.33209999999998	0	5.20187999999988E-05
0.33409999999998	0	5.21390999999988E-05
0.336099999999979	0	5.22576999999988E-05
0.338099999999979	0	5.23744999999988E-05
0.340099999999979	0	5.24896999999988E-05
0.342099999999979	0	5.26032999999988E-05
0.344099999999978	0	5.27152999999988E-05
0.346099999999978	0	5.28257999999988E-05
0.348099999999978	0	5.29346999999988E-05
0.350099999999978	0	5.30420999999988E-05
0.352099999999978	0	5.31480999999988E-05
0.354099999999977	0	5.32525999999988E-05
0.356099999999977	0	5.33556999999988E-05
0.358099999999977	0	5.34573999999988E-05
0.360099999999977	0	5.35577999999988E-05
0.362099999999976	0	5.36567999999988E-05
0.364099999999976	0	5.37545999999988E-05
0.366099999999976	0	5.38509999999988E-05
0.368099999999976	0	5.39461999999989E-05
0.370099999999976	0	5.40401999999989E-05
0.372099999999975	0	5.41329999999989E-05
0.374099999999975	0	5.42245999999989E-05
0.376099999999975	0	5.43149999999989E-05
0.378099999999975	0	5.44041999999989E-05
0.380099999999974	0	5.44923999999989E-05
0.382099999999974	0	5.45794999999989E-05
0.384099999999974	0	5.46653999999989E-05
0.386099999999974	0	5.47502999999989E-05
0.388099999999974	0	5.48341999999989E-05
0.390099999999973	0	5.49170999999989E-05
0.392099999999973	0	5.49988999999989E-05
0.394099999999973	0	5.50797999999989E-05
0.396099999999973	0	5.51596999999989E-05
0.398099999999972	0	5.52386999999989E-05
0.400099999999972	0	5.53166999999989E-05
0.402099999999972	0	5.53937999999989E-05
0.404099999999972	0	5.54699999999989E-05
0.406099999999972	0	5.55452999999989E-05
0.408099999999971	0	5.56197999999989E-05
0.410099999999971	0	5.56933999999989E-05
0.412099999999971	0	5.5766099999999E-05
0.414099999999971	0	5.5838099999999E-05
0.41609999999997	0	5.5909199999999E-05
0.41809999999997	0	5.5979499999999E-05
0.42009999999997	0	5.60490999999989E-05
0.42209999999997	0	5.61178999999989E-05
0.42409999999997	0	5.6185899999999E-05
0.426099999999969	0	5.6253199999999E-05
0.428099999999969	0	5.6319699999999E-05
0.430099999999969	0	5.6385599999999E-05
0.432099999999969	0	5.6450699999999E-05
0.434099999999969	0	5.6515199999999E-05
0.436099999999968	0	5.6578899999999E-05
0.438099999999968	0	5.6641999999999E-05
0.440099999999968	0	5.6704399999999E-05
0.442099999999968	0	5.6766199999999E-05
0.444099999999967	0	5.6827399999999E-05
0.446099999999967	0	5.6887899999999E-05
0.448099999999967	0	5.6947799999999E-05
0.450099999999967	0	5.7007099999999E-05
0.452099999999967	0	5.7065799999999E-05
0.454099999999966	0	5.7123899999999E-05
0.456099999999966	0	5.7181399999999E-05
0.458099999999966	0	5.7238399999999E-05
0.460099999999966	0	5.7294799999999E-05
0.462099999999965	0	5.7350699999999E-05
0.464099999999965	0	5.74059999999991E-05
0.466099999999965	0	5.7460799999999E-05
0.468099999999965	0	5.7515099999999E-05
0.470099999999965	0	5.75687999999991E-05
0.472099999999964	0	5.7622099999999E-05
