t	Cl
0	5	5
0.002	5	5
0.0041	5.00000008697614	5.00003
0.006	5.0000002859715	5.00003
0.00800000000000001	5.00000068620948	5.00003
0.0101	5.00000134022848	5.00003
0.0121	5.00000221558071	5.00004
0.0141	5.00000337231912	5.00004
0.0161	5.00000484948915	5.00004
0.0180999999999999	5.00000668955116	5.00005
0.0200999999999999	5.00000893757919	5.00005
0.0220999999999999	5.00001164071544	5.00006
0.0240999999999999	5.00001484783552	5.00007
0.0260999999999999	5.00001867813333	5.00007
0.0280999999999999	5.00002281481299	5.00008
0.0300999999999999	5.00002698431331	5.00009
0.0320999999999999	5.00003117415168	5.0001
0.0341	5.00003859268375	5.00011
0.036	5.00005449477045	5.00012
0.0380000000000001	5.00007080790463	5.00013
0.0400000000000001	5.00008680076881	5.00014
0.0420000000000002	5.00010255383573	5.00016
0.0440000000000002	5.00011812393776	5.00017
0.0460000000000003	5.00013355262137	5.00019
0.0480000000000003	5.0001488710788	5.0002
0.0500000000000004	5.00017791787672	5.00022
0.0520000000000005	5.00021249483228	5.00024
0.0540000000000005	5.00024673671957	5.00026
0.0560000000000006	5.0002807404658	5.00028
0.0580000000000006	5.00031459287145	5.0003
0.0600000000000007	5.00034894289908	5.00032
0.0620000000000007	5.00038355270349	5.00035
0.0640000000000008	5.00041842031111	5.00037
0.0660000000000009	5.00045159519822	5.0004
0.0680000000000009	5.0004864510263	5.00043
0.070000000000001	5.00052109053727	5.00047
0.072000000000001	5.00055579810853	5.0005
0.0740000000000011	5.00059885608062	5.00054
0.0760000000000012	5.00065912251771	5.00058
0.0780000000000012	5.00072189270944	5.00062
0.0800000000000013	5.00078829201976	5.00066
0.0820000000000013	5.00088395790173	5.00069
0.0840000000000014	5.00098141840517	5.00073
0.0860000000000014	5.00107951448991	5.00078
0.0880000000000015	5.00117497961758	5.00082
0.0900000000000016	5.00127090026818	5.00088
0.0920000000000016	5.00137179334812	5.00093
0.0940000000000017	5.00151069810068	5.001
0.0960000000000017	5.00164267070304	5.00107
