t	fsi_A	fsi_V
0	0	0	0
0.002	0	0	0
0.0041	1	0.0540928730757113	1
0.006	1	0.102512631805324	0.999962034207179
0.00800000000000001	1	0.186868888006944	0.999922217078853
0.0101	1	0.295823772251173	1
0.0121	1	0.403495117136127	1
0.0141	1	0.504212130643476	1
0.0161	1	0.592471080038248	1
0.0180999999999999	1	0.666647422842902	1
0.0200999999999999	1	0.727413830188143	1
0.0220999999999999	1	0.776483489600067	0.999999999999999
0.0240999999999999	1	0.815840953080093	0.999999999999999
0.0260999999999999	1	0.848579199763357	0.999999999999999
0.0280999999999999	1	0.877448465210928	0.999999999999998
0.0300999999999999	1	0.899818953695513	0.999999999999998
0.0320999999999999	1	0.917292980955451	0.999999999999998
0.0341	1	0.93309322332608	0.999999999999999
0.036	1	0.948301327861554	0.997159100143346
0.0380000000000001	1	0.959224815020042	0.996789441249299
0.0400000000000001	1	0.966983953995565	0.996400418428522
0.0420000000000002	1	0.972712252832685	0.995995768671769
0.0440000000000002	1	0.977069879223924	0.995576227593344
0.0460000000000003	1	0.980465347423914	0.995141703658671
0.0480000000000003	1	0.983163782861188	0.99469812252212
0.0500000000000004	1	0.985674679660072	0.994246615886439
0.0520000000000005	1	0.987748400263891	0.99379059245882
0.0540000000000005	1	0.989381651276263	0.993332201519495
0.0560000000000006	1	0.990694253060869	0.992874955468513
0.0580000000000006	0.999535311965921	0.989666957082406	0.992420832146744
0.0600000000000007	1	0.991243055455793	0.991976975192354
0.0620000000000007	1	0.99202387297162	0.991532903729804
0.0640000000000008	1	0.992714357140151	0.99111340073418
0.0660000000000009	1	0.987358641301222	0.99069958686594
0.0680000000000009	0.996809925301445	0.974397901342692	0.990305940946372
0.070000000000001	0.997053800447897	0.963845125837171	0.989924027813644
0.072000000000001	0.997257597662413	0.95175769677269	0.989566453997215
0.0740000000000011	0.996081647397877	0.944721942514741	0.989227406451507
0.0760000000000012	0.992176412744637	0.947164097033956	0.988910376385844
0.0780000000000012	0.984137334809156	0.940750657824775	0.988617456937861
0.0800000000000013	0.97492089676709	0.930817977481306	0.995455753541787
0.0820000000000013	0.966126350800809	0.937444376159674	0.975677405098821
0.0840000000000014	0.954575970748703	0.933191361877971	0.945324866556207
0.0860000000000014	0.944547095583972	0.925687317058681	0.90857320126745
0.0880000000000015	0.929445458203828	0.90569822709966	0.868383505306732
0.0900000000000016	0.915079673296984	0.884485710672392	0.826822275246272
0.0920000000000016	0.891643675145441	0.850929112080637	0.785318321647712
0.0940000000000017	0.875358081567463	0.837128669969068	0.744801271860061
0.0960000000000017	0.845122329771377	0.79934557358204	0.705914462021499
0.0980000000000018	0.830412631608336	0.780688317585546	0.66902111324373
0.100000000000002	0.812904135435688	0.755880840269816	0.634319472591667
0.102000000000002	0.794326121633555	0.735668208915706	0.601900150653529
0.104000000000002	0.773549537683294	0.712889175495111	0.571762553119742
0.106000000000002	0.751938258620018	0.694113230674669	0.543852581408699
0.108000000000002	0.732450661109854	0.675663939038304	0.518082719356974
0.110000000000002	0.714533059592145	0.655647834527861	0.49434326245912
0.112000000000002	0.694083952634892	0.630601609393875	0.472509945096664
0.114000000000002	0.676780853979765	0.609060112570727	0.453439999999962
0.116000000000002	0.659482401855233	0.591134002060762	0.434903389830485
0.118000000000002	0.645000607247536	0.575230514988587	0.417094964028765
0.120000000000002	0.629367245234126	0.561069476228711	0.401093865030674
0.122000000000002	0.611548468903183	0.544282279928721	0.387304736842111
0.124000000000003	0.596044471506197	0.530784950909988	0.374066063348428
0.126000000000002	0.581335049494462	0.516288553524078	0.362044140624982
0.128000000000002	0.568530294870223	0.502565140252076	0.352542372881303
0.130000000000002	0.556246544884301	0.488698120514785	0.342182890855417
0.132000000000002	0.544801316263483	0.477780206116313	0.332474226804124
0.134000000000002	0.534128940378156	0.469333457246777	0.322799097065475
0.136000000000001	0.523315205351331	0.4591780717591	0.316103379721671
0.138000000000001	0.512437896065425	0.450088748175966	0.307557117750441
0.140000000000001	0.502798891452082	0.441389007311931	0.301092043681744
0.142000000000001	0.494463262046875	0.433211572649709	0.296244784422805
0.144	0.485260709411106	0.424521413645582	0.289800995024873
0.146	0.477018178654282	0.417916862534705	0.284598214285713
0.148	0.469419256156185	0.411778953999901	0.279678068410463
0.1501	0.461983726153901	0.404971082324536	0.274705349048051
0.1521	0.455009157006508	0.399030266030281	0.27018121911038
0.154099999999999	0.448466750379798	0.393180950180768	0.265765765765769
0.156099999999999	0.442595832667129	0.38808933012566	0.262542955326458
0.158099999999999	0.436331808397317	0.383027162053938	0.258838383838383
0.160099999999999	0.430634692942992	0.378868391567465	0.255529685681022
0.162099999999998	0.425403080242889	0.374642299182513	0.25201938610663
0.164099999999998	0.420496058583367	0.370227105436032	0.248751248751258
0.166099999999998	0.416041822944068	0.366110860859196	0.246046511627914
0.168099999999998	0.411796017212797	0.362602853983224	0.243161094224933
0.170099999999998	0.407788289661281	0.359521712471853	0.240748271655153
0.172099999999997	0.403769223782144	0.356333720861048	0.238258877434144
0.174099999999997	0.399697926695201	0.353373843584887	0.235801581595983
0.176099999999997	0.395934439985582	0.350498055396835	0.233797081778078
0.178099999999997	0.392548144713165	0.347738048866767	0.231781701444624
0.180099999999996	0.389460500050452	0.345084034001856	0.229598051157134
0.182099999999996	0.38636424106648	0.342200148287719	0.22778581765557
0.184099999999996	0.383434672202227	0.339846897551593	0.226019845644984
