t(s)	TM (0 mm) TM (24 mm) TM (41 mm) TM (59 mm) TM (80 mm) TM (99 mm) TM (121 mm)
8.50	856.920	925.698	939.038	944.613	947.972	949.217	950.393
8.60	856.457	925.520	939.193	944.803	948.088	949.203	950.288
8.70	855.802	925.078	938.849	944.631	947.959	949.096	950.188
8.80	855.487	924.943	938.805	944.595	947.930	949.106	950.279
8.90	855.049	924.642	938.719	944.519	947.935	949.107	950.291
9.00	854.462	924.215	938.466	944.489	947.763	949.104	950.314
9.10	854.083	923.985	938.427	944.407	947.911	949.080	950.371
9.20	853.433	923.669	938.298	944.447	947.820	949.023	950.054
9.30	853.028	923.250	938.210	944.462	947.832	949.042	950.253
9.40	852.762	923.211	938.026	944.369	947.866	949.172	950.164
9.50	852.180	922.792	937.771	944.386	947.794	948.997	950.027
9.60	851.724	922.460	937.774	944.286	947.671	949.023	950.165
9.70	851.498	922.272	937.601	944.277	947.854	948.968	950.083
9.80	850.940	921.909	937.305	944.119	947.692	949.090	950.186
9.90	850.651	921.651	937.330	944.151	947.693	949.092	950.099
10.00	850.351	921.475	937.092	944.054	947.684	948.937	950.033
10.10	849.912	920.925	936.908	943.966	947.715	949.006	950.018
10.20	849.663	920.785	936.971	944.094	947.689	948.866	950.030
10.30	849.207	920.486	936.838	943.881	947.557	948.909	949.898
10.40	848.894	920.185	936.533	944.039	947.592	948.964	950.033
10.50	848.707	919.917	936.509	943.957	947.599	948.851	950.012
10.60	848.402	919.686	936.223	943.675	947.469	948.795	949.998
10.70	848.024	919.510	936.189	943.629	947.512	948.894	949.910
10.80	847.885	919.111	935.934	943.622	947.344	948.815	949.922
10.90	847.567	918.825	935.689	943.596	947.459	948.861	950.014
11.00	847.178	918.571	935.668	943.673	947.537	948.897	949.855
11.10	846.936	918.262	935.541	943.631	947.513	948.843	949.900
11.20	846.557	917.877	935.258	943.366	947.536	948.816	949.911
11.30	846.264	917.784	935.211	943.537	947.473	948.818	949.768
11.40	845.974	917.499	934.902	943.362	947.306	948.635	949.819
11.50	846.559	917.368	934.851	943.250	947.335	948.706	949.791
11.60	847.995	916.958	934.723	943.221	947.264	948.624	949.839
11.70	849.953	916.754	934.446	943.119	947.354	948.676	949.702
11.80	851.830	916.599	934.470	943.052	947.282	948.707	949.937
11.90	853.313	916.323	934.277	943.112	947.094	948.618	949.699
12.00	854.765	916.220	934.300	943.023	947.097	948.648	949.767
12.10	855.681	915.953	934.139	943.050	947.215	948.625	949.790
12.20	856.667	915.650	933.775	942.857	947.195	948.466	949.585
12.30	857.266	915.461	933.814	942.969	947.119	948.575	949.590
12.40	857.758	915.072	933.657	942.846	947.103	948.578	949.689
12.50	858.008	914.970	933.478	942.705	947.066	948.671	949.544
12.60	858.402	914.795	933.367	942.797	947.177	948.594	949.556
12.70	858.466	914.371	933.107	942.636	947.046	948.579	949.625
12.80	858.742	914.062	933.053	942.551	947.115	948.463	949.616
12.90	858.848	914.162	932.943	942.445	947.100	948.663	949.548
13.00	858.787	913.670	932.721	942.490	947.034	948.570	949.613
13.10	858.876	913.611	932.616	942.305	947.037	948.504	949.569
13.20	858.902	913.428	932.501	942.308	946.998	948.680	949.611
13.30	858.664	912.967	932.256	942.186	946.937	948.599	949.557
13.40	858.663	912.826	932.237	942.143	946.921	948.468	949.560
13.50	858.588	912.864	932.130	942.102	946.952	948.534	949.538
13.60	858.384	912.423	931.966	942.175	946.883	948.473	949.523
13.70	858.379	912.353	931.812	941.947	946.771	948.441	949.452
13.80	858.165	912.108	931.715	941.823	946.785	948.462	949.547
13.90	858.147	911.944	931.410	941.831	946.789	948.363	949.371
14.00	858.170	911.781	931.471	941.789	946.831	948.256	949.375
14.10	857.979	911.562	931.439	941.658	946.746	948.496	949.504
14.20	857.796	911.325	931.006	941.614	946.599	948.361	949.403
14.30	857.789	911.272	931.137	941.623	946.595	948.346	949.430
14.40	857.575	910.904	930.836	941.559	946.608	948.347	949.439
14.50	857.453	910.659	930.648	941.394	946.691	948.201	949.281
14.60	857.467	910.594	930.564	941.374	946.695	948.346	949.315
14.70	857.246	910.269	930.351	941.353	946.631	948.332	949.382
14.80	857.204	910.047	930.168	941.191	946.531	948.259	949.412
14.90	857.088	909.961	930.173	941.201	946.487	948.463	949.505
15.00	856.804	909.759	929.848	941.005	946.494	948.421	949.390
15.10	856.877	909.540	929.677	941.121	946.411	948.257	949.357
15.20	856.759	909.314	929.707	940.960	946.318	948.337	949.417
15.30	856.533	909.232	929.510	940.724	946.297	948.277	949.342
15.40	856.589	909.084	929.549	940.672	946.256	948.209	949.343
15.50	856.546	908.788	929.274	940.683	946.321	948.290	949.462
15.60	856.248	908.591	929.081	940.574	946.170	948.135	949.345
15.70	856.268	908.519	929.105	940.437	946.216	948.166	949.315
15.80	856.149	908.267	928.943	940.566	946.135	948.130	949.348
15.90	855.940	908.045	928.740	940.301	946.065	948.121	949.347
16.00	855.918	908.034	928.648	940.247	946.153	948.152	949.225
16.10	855.855	907.743	928.395	940.283	946.185	948.142	949.372
16.20	855.634	907.544	928.283	940.068	946.054	948.164	949.321
16.30	855.582	907.370	928.333	940.126	946.135	948.180	949.353
16.40	855.493	907.090	928.060	940.028	946.221	948.148	949.232
16.50	855.426	906.912	927.962	939.934	945.973	948.087	949.183
16.60	855.337	906.841	927.891	939.886	946.074	948.185	949.070
16.70	855.259	906.565	927.614	939.723	946.000	948.152	949.229
16.80	855.270	906.587	927.457	939.742	945.899	948.094	949.213
16.90	855.094	906.391	927.466	939.739	945.867	948.103	949.237
17.00	854.936	906.031	927.170	939.538	945.903	948.132	949.105
17.10	854.929	905.856	927.147	939.504	945.822	948.059	949.147
17.20	854.821	905.737	927.122	939.491	945.920	948.126	949.256
17.30	854.634	905.568	926.800	939.340	945.689	948.128	949.147
