t	Cl
0	5	5
0.002	5	5
0.0041	5.00000000027579	5
0.006	5.00000000117089	5
0.00800000000000001	5.000000002807	5
0.0101	5.00000000534256	5
0.0121	5.00000000860307	5
0.0141	5.00000001276906	5
0.0161	5.00000001793269	5
0.0180999999999999	5.00000002419732	5
0.0200999999999999	5.00000003167605	5
0.0220999999999999	5.0000000404905	5
0.0240999999999999	5.00000005076999	5
0.0260999999999999	5.00000006265093	5
0.0280999999999999	5.0000000762765	5
0.0300999999999999	5.00000009179656	5
0.0320999999999999	5.00000010936768	5
0.0341	5.00000012915342	5
0.036	5.00000015015665	5
0.0380000000000001	5.0000001747592	5
0.0400000000000001	5.00000020210291	5
0.0420000000000002	5.00000023238285	5
0.0440000000000002	5.00000026580347	5
0.0460000000000003	5.00000030257926	5
0.0480000000000003	5.0000003429355	5
0.0500000000000004	5.000000387109	5
0.0520000000000005	5.00000043534893	5
0.0540000000000005	5.0000004879176	5
0.0560000000000006	5.00000054509146	5
0.0580000000000006	5.00000060716192	5
0.0600000000000007	5.00000067443641	5
0.0620000000000007	5.00000074723934	5
0.0640000000000008	5.00000082591318	5
0.0660000000000009	5.00000091081959	5
0.0680000000000009	5.00000100234056	5
0.070000000000001	5.00000109569964	5
0.072000000000001	5.00000120239218	5
0.0740000000000011	5.00000132414059	5
0.0760000000000012	5.00000146198112	5
0.0780000000000012	5.00000161708013	5
0.0800000000000013	5.00000179073645	5
0.0820000000000013	5.00000198438672	5
0.0840000000000014	5.00000219961323	5
0.0860000000000014	5.00000243815381	5
0.0880000000000015	5.00000270191354	5
0.0900000000000016	5.00000299297821	5
0.0920000000000016	5.00000331362956	5
0.0940000000000017	5.00000366636225	5
0.0960000000000017	5.00000405390271	5
0.0980000000000018	5.0000044792301	5
0.100000000000002	5.00000494559923	5
0.102000000000002	5.000005456566	5
0.104000000000002	5.00000601601522	5
0.106000000000002	5.00000662819122	5
0.108000000000002	5.00000729773137	5
0.110000000000002	5.00000802970292	5
0.112000000000002	5.00000882964352	5
0.114000000000002	5.0000097036061	5
0.116000000000002	5.00001065759157	5
0.118000000000002	5.0000116983555	5
0.120000000000002	5.00001283483261	5
0.122000000000002	5.00001407694403	5
0.124000000000003	5.00001543568673	5
0.126000000000002	5.00001692325017	5
0.128000000000002	5.00001855314497	5
0.130000000000002	5.00002034034493	5
0.132000000000002	5.00002230144354	5
0.134000000000002	5.00002445482629	5.00001
0.136000000000001	5.00002682086027	5.00001
0.138000000000001	5.00002942210256	5.00001
0.140000000000001	5.00003228352901	5.00001
0.142000000000001	5.00003543278518	5.00001
0.144	5.0000389004612	5.00001
0.146	5.00004272039267	5.00001
0.148	5.00004692998948	5.00001
0.1501	5.00005181473866	5.00001
0.1521	5.00005695713622	5.00001
0.154099999999999	5.00006262928283	5.00001
0.156099999999999	5.00006888708562	5.00001
0.158099999999999	5.00007565535014	5.00001
0.160099999999999	5.00008298490958	5.00001
0.162099999999998	5.00009102610046	5.00002
0.164099999999998	5.00009984963965	5.00002
0.166099999999998	5.00010953307459	5.00002
0.168099999999998	5.00012016138499	5.00002
0.170099999999998	5.00013182762888	5.00002
0.172099999999997	5.00014463363531	5.00002
0.174099999999997	5.00015869074547	5.00002
0.176099999999997	5.00017412060409	5.00002
0.178099999999997	5.00019105600254	5.00003
0.180099999999996	5.00020959714477	5.00003
0.182099999999996	5.0002243113613	5.00003
0.184099999999996	5.00023991032791	5.00003
0.186099999999996	5.00025643990132	5.00003
0.188099999999996	5.00027396195494	5.00004
0.190099999999995	5.00029253983125	5.00004
0.192099999999995	5.00031223855822	5.00004
0.194099999999995	5.00033312500203	5.00004
0.196099999999995	5.00035526797011	5.00005
0.198099999999995	5.00038182114568	5.00005
0.200099999999994	5.00041624874804	5.00005
0.202099999999994	5.0004535701758	5.00005
0.204099999999994	5.00049399858487	5.00006
0.206099999999994	5.00053774554269	5.00006
0.208099999999993	5.00055223415685	5.00006
0.210099999999993	5.00059640862662	5.00007
0.212099999999993	5.00064330955294	5.00007
0.214099999999993	5.00069302699446	5.00008
0.216099999999993	5.00074564616776	5.00008
0.218099999999992	5.0008012464657	5.00008
0.220099999999992	5.00085990041256	5.00009
0.222099999999992	5.00092167255978	5.00009
0.224099999999992	5.00096746037169	5.0001
0.226099999999991	5.00101941013698	5.0001
0.228099999999991	5.00107142396727	5.00011
0.230099999999991	5.00115057914137	5.00011
0.232099999999991	5.00124991259505	5.00012
0.234099999999991	5.00135388991142	5.00012
0.23609999999999	5.00146249000847	5.00013
0.23809999999999	5.00157566168505	5.00014
0.24009999999999	5.00165950023569	5.00014
0.24209999999999	5.00172166547647	5.00015
0.244099999999989	5.00181093218144	5.00016
0.246099999999989	5.00191891813963	5.00016
0.248099999999989	5.00203378316279	5.00017
0.250099999999989	5.00219663585121	5.00018
0.252099999999989	5.00235222364645	5.00018
0.254099999999988	5.00245759942029	5.00019
0.256099999999988	5.0025585361158	5.0002
0.258099999999988	5.00272722042324	5.00021
0.260099999999988	5.0028928396284	5.00022
0.262099999999987	5.00305420301847	5.00023
0.264099999999987	5.00323904411496	5.00024
0.266099999999987	5.00336902728492	5.00025
0.268099999999987	5.0035364148641	5.00025
0.270099999999987	5.00371579052239	5.00026
0.272099999999986	5.00395121493204	5.00027
0.274099999999986	5.0042038432603	5.00029
0.276099999999986	5.00444410805413	5.0003
0.278099999999986	5.00456770989565	5.00031
0.280099999999985	5.00464498164153	5.00032
0.282099999999985	5.00489145212599	5.00033
0.284099999999985	5.00518551112892	5.00034
0.286099999999985	5.00546325904227	5.00035
