t;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;
1.100000;7.000000;7.000000;7.000000;
2.000000;7.000000;7.000000;7.000000;
3.000000;7.000000;7.000000;7.000000;
4.000000;7.000000;7.000000;7.000000;
5.005000;7.000010;7.000000;7.000000;
6.005000;7.004627;7.011000;7.015005;
7.005000;7.008179;7.012365;7.069043;
8.005000;7.010178;7.012365;7.135227;
9.000000;7.010178;7.012365;7.212610;
10.000000;7.010178;7.012365;7.283897;
11.000000;7.010178;7.012365;7.322994;
12.000000;7.010178;7.012365;7.328123;
13.000000;
